maneuver,att_rows,xkf1_rows_total,xkf1_rows_C0,merged_rows_before_drop,merged_rows_after_drop,dropped_rows_after_merge,duration_sec,median_dt_sec,approx_sample_rate_hz,output_file
baseline_01_hover,1253,1253,1253,1253,1253,0,125.1999,0.09995999999999938,10.004001600640319,/home/tchowdh4/sensor_recovery_project/phase2c_matlab_section31_si/merged_csv/baseline_01_hover_merged_ATT_XKF1_C0.csv
baseline_02_high_altitude_hover,1411,1411,1411,1411,1411,0,140.999411,0.09995999999999938,10.004001600640319,/home/tchowdh4/sensor_recovery_project/phase2c_matlab_section31_si/merged_csv/baseline_02_high_altitude_hover_merged_ATT_XKF1_C0.csv
baseline_03_forward_motion,1138,1138,1138,1138,1138,0,113.700335,0.09995999999999938,10.004001600640319,/home/tchowdh4/sensor_recovery_project/phase2c_matlab_section31_si/merged_csv/baseline_03_forward_motion_merged_ATT_XKF1_C0.csv
baseline_04_yaw_rotation,1848,1848,1848,1848,1848,0,184.700257,0.09995999999999938,10.004001600640319,/home/tchowdh4/sensor_recovery_project/phase2c_matlab_section31_si/merged_csv/baseline_04_yaw_rotation_merged_ATT_XKF1_C0.csv
baseline_05_mixed_maneuver,2388,2388,2388,2388,2388,0,238.699482,0.09996000000000116,10.00400160064014,/home/tchowdh4/sensor_recovery_project/phase2c_matlab_section31_si/merged_csv/baseline_05_mixed_maneuver_merged_ATT_XKF1_C0.csv
