x,Baseline,Axis,AttackType,AttackActive,AbsResidual,Threshold_static_global,PointExceed_static_global,WindowCount_static_global,WindowDetection_static_global,Threshold_scenario_specific,PointExceed_scenario_specific,WindowCount_scenario_specific,WindowDetection_scenario_specific,Threshold_dynamic_xkf1,PointExceed_dynamic_xkf1,WindowCount_dynamic_xkf1,WindowDetection_dynamic_xkf1
0.0,baseline_01_hover,Roll,bias,0,0.0020442453620976,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
0.09996,baseline_01_hover,Roll,bias,0,0.0022520510201832,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
0.19992,baseline_01_hover,Roll,bias,0,0.0015781902860791,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
0.29988,baseline_01_hover,Roll,bias,0,0.0013299778124876,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
0.39984,baseline_01_hover,Roll,bias,0,0.0007660487922227,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
0.4998,baseline_01_hover,Roll,bias,0,0.0028905891282356,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
0.59976,baseline_01_hover,Roll,bias,0,0.0001593872287251,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
0.69972,baseline_01_hover,Roll,bias,0,0.0013361754359032,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
0.79968,baseline_01_hover,Roll,bias,0,0.00100447624955,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
0.89964,baseline_01_hover,Roll,bias,0,0.0049800317553855,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
0.9996,baseline_01_hover,Roll,bias,0,0.0032811967797651,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
1.09956,baseline_01_hover,Roll,bias,0,0.001888266587297,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
1.19952,baseline_01_hover,Roll,bias,0,0.0008527231114679,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
1.29948,baseline_01_hover,Roll,bias,0,0.0033683463492003,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
1.39944,baseline_01_hover,Roll,bias,0,0.0032698590544286,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
1.4994,baseline_01_hover,Roll,bias,0,0.0022019904334761,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
1.59936,baseline_01_hover,Roll,bias,0,0.0026297484606288,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
1.69932,baseline_01_hover,Roll,bias,0,0.0007941318682752,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
1.800113,baseline_01_hover,Roll,bias,0,0.0008857980592744,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
1.900073,baseline_01_hover,Roll,bias,0,0.0033224570866779,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
2.000033,baseline_01_hover,Roll,bias,0,0.0006514288183255,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
2.099993,baseline_01_hover,Roll,bias,0,0.0024665673227209,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
2.199953,baseline_01_hover,Roll,bias,0,0.0001193892012342,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
2.299913,baseline_01_hover,Roll,bias,0,0.0016321266105779,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
2.399873,baseline_01_hover,Roll,bias,0,0.0007150877224846,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
2.499833,baseline_01_hover,Roll,bias,0,0.0005549343482524,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
2.599793,baseline_01_hover,Roll,bias,0,0.0013454384823861,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
2.699753,baseline_01_hover,Roll,bias,0,0.0003362130005239,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
2.799713,baseline_01_hover,Roll,bias,0,0.0023398048229991,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
2.899673,baseline_01_hover,Roll,bias,0,0.0010816536068631,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
2.999633,baseline_01_hover,Roll,bias,0,0.0008736338218816,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
3.099593,baseline_01_hover,Roll,bias,0,0.0008543860390261,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
3.199553,baseline_01_hover,Roll,bias,0,0.0015027702701588,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
3.299513,baseline_01_hover,Roll,bias,0,0.0034441755939898,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
3.399473,baseline_01_hover,Roll,bias,0,0.0013450857650713,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
3.499433,baseline_01_hover,Roll,bias,0,0.0028647578867305,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
3.599393,baseline_01_hover,Roll,bias,0,0.0021460565669309,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
3.699353,baseline_01_hover,Roll,bias,0,0.0001731284274884,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
3.799313,baseline_01_hover,Roll,bias,0,0.0023221497322813,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
3.900106,baseline_01_hover,Roll,bias,0,0.002864979998168,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
4.000066,baseline_01_hover,Roll,bias,0,0.0009660528794789,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
4.100026,baseline_01_hover,Roll,bias,0,0.0017161921779859,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
4.199986,baseline_01_hover,Roll,bias,0,0.0033698730950943,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
4.299946,baseline_01_hover,Roll,bias,0,0.0010356456796077,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
4.399906,baseline_01_hover,Roll,bias,0,0.0002182314078214,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
4.499866,baseline_01_hover,Roll,bias,0,0.0020159340418837,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
4.599826,baseline_01_hover,Roll,bias,0,0.0007274945818621,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
4.699786,baseline_01_hover,Roll,bias,0,0.0013242907468179,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
4.799746,baseline_01_hover,Roll,bias,0,0.0003819304223989,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
4.899706,baseline_01_hover,Roll,bias,0,0.0001009651377048,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
4.999666,baseline_01_hover,Roll,bias,0,0.0056161040637492,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
5.099626,baseline_01_hover,Roll,bias,0,0.0040567891098918,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
5.199586,baseline_01_hover,Roll,bias,0,0.0007366398868243,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
5.299546,baseline_01_hover,Roll,bias,0,0.0035319650350434,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
5.399506,baseline_01_hover,Roll,bias,0,0.0012634176459581,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
5.499466,baseline_01_hover,Roll,bias,0,0.0014217045431344,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
5.599426,baseline_01_hover,Roll,bias,0,0.000234094826983,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
5.699386,baseline_01_hover,Roll,bias,0,0.0001309814251468,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
5.799346,baseline_01_hover,Roll,bias,0,0.0011643470589157,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
5.899306,baseline_01_hover,Roll,bias,0,0.0015886702252767,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
6.000099,baseline_01_hover,Roll,bias,0,0.0025206432630238,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
6.100059,baseline_01_hover,Roll,bias,0,0.0019338484960774,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
6.200019,baseline_01_hover,Roll,bias,0,0.0013135094207422,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
6.299979,baseline_01_hover,Roll,bias,0,0.0064415406946343,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
6.399939,baseline_01_hover,Roll,bias,0,0.0027913709809861,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
6.499899,baseline_01_hover,Roll,bias,0,0.0029023022161602,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
6.599859,baseline_01_hover,Roll,bias,0,0.0009727310285308,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
6.699819,baseline_01_hover,Roll,bias,0,0.0028027432444671,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
6.799779,baseline_01_hover,Roll,bias,0,0.0021085736749476,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
6.899739,baseline_01_hover,Roll,bias,0,0.0052034584712465,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
6.999699,baseline_01_hover,Roll,bias,0,0.0020909254093811,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
7.099659,baseline_01_hover,Roll,bias,0,0.0008671706121545,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
7.199619,baseline_01_hover,Roll,bias,0,0.001291039464542,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
7.299579,baseline_01_hover,Roll,bias,0,0.0030526726430624,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
7.399539,baseline_01_hover,Roll,bias,0,0.0003928820214668,0.010307,0,0.0,0,0.006865,0,0.0,0,0.006865,0,0.0,0
7.499499,baseline_01_hover,Roll,bias,1,0.0251146427595434,0.010307,1,1.0,0,0.006865,1,1.0,0,0.006865,1,1.0,0
7.599459,baseline_01_hover,Roll,bias,1,0.0247334256042364,0.010307,1,2.0,0,0.006865,1,2.0,0,0.006865,1,2.0,0
7.699419,baseline_01_hover,Roll,bias,1,0.0302029615231521,0.010307,1,3.0,1,0.006865,1,3.0,1,0.006865,1,3.0,1
