x,Baseline,Axis,AttackType,AttackActive,AbsResidual,Threshold_static_global,PointExceed_static_global,WindowCount_static_global,WindowDetection_static_global,Threshold_scenario_specific,PointExceed_scenario_specific,WindowCount_scenario_specific,WindowDetection_scenario_specific,Threshold_yaw_static_global,PointExceed_yaw_static_global,WindowCount_yaw_static_global,WindowDetection_yaw_static_global
1.09956,baseline_01_hover,Yaw,ramp,0,0.0002334594726676,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
1.19952,baseline_01_hover,Yaw,ramp,0,0.0003295898437727,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
1.29948,baseline_01_hover,Yaw,ramp,0,0.0002059936523437,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
1.39944,baseline_01_hover,Yaw,ramp,0,1.3732910133512632e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
1.4994,baseline_01_hover,Yaw,ramp,0,0.0002609252929346,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
1.59936,baseline_01_hover,Yaw,ramp,0,0.0001647949219432,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
1.69932,baseline_01_hover,Yaw,ramp,0,0.0004394531249545,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
1.800113,baseline_01_hover,Yaw,ramp,0,0.0003295898437727,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
1.900073,baseline_01_hover,Yaw,ramp,0,6.866455078125e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
2.000033,baseline_01_hover,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
2.099993,baseline_01_hover,Yaw,ramp,0,8.239746097160605e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
2.199953,baseline_01_hover,Yaw,ramp,0,1.3732910133512632e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
2.299913,baseline_01_hover,Yaw,ramp,0,0.0001785278320767,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
2.399873,baseline_01_hover,Yaw,ramp,0,5.493164064773737e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
2.499833,baseline_01_hover,Yaw,ramp,0,0.0002883911133153,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
