x,Baseline,Axis,AttackType,AttackActive,AbsResidual,Threshold_static_global,PointExceed_static_global,WindowCount_static_global,WindowDetection_static_global,Threshold_scenario_specific,PointExceed_scenario_specific,WindowCount_scenario_specific,WindowDetection_scenario_specific,Threshold_yaw_static_global,PointExceed_yaw_static_global,WindowCount_yaw_static_global,WindowDetection_yaw_static_global
4.000066,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
4.100026,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
4.199986,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
4.299946,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
4.399906,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
4.499866,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
4.599826,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
4.700619,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
4.800579,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
4.900539,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
5.000499,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
5.100459,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
5.200419,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
5.300379,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
5.400339,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
5.500299,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
5.600259,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
5.700219,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
5.800179,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
5.900139,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
6.000099,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
6.100059,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
6.200019,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
6.299979,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
6.399939,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
6.499899,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
6.599859,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
6.699819,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
6.800612,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
6.900572,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
7.000532,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
7.100492,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
7.200452,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
7.300412,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
7.400372,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
7.500332,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
7.600292,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
7.700252,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
7.800212,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
7.900172,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
8.000132,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
8.100092,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
