source_prediction_file,baseline_name,axis,row_index,true_future,hybrid_prediction,naive_component,cv_component,arx_component,hybrid_residual,naive_residual,cv_residual,arx_residual
,,,0,0.091432124376297,0.0929901156574487,0.0985497534275055,0.0899964645504951,0.0921776953967805,-0.0015579912811517077,-0.007117629051208496,0.001435659825801891,-0.0007455710204835042
,,,1,0.0873657017946243,0.0868056654930114,0.091432124376297,0.0843144953250885,0.0866565143127876,0.0005600363016129012,-0.004066422581672696,0.0030512064695358,0.0007091874818366956
,,,2,0.0868997052311897,0.084722527116537,0.0873657017946243,0.0832992792129516,0.0865167354649754,0.002177178114652706,-0.00046599656343460083,0.0036004260182380954,0.00038296976621429724
,,,3,0.0877327546477317,0.0865968074649572,0.0868997052311897,0.0864337086677551,0.0876638073865071,0.0011359471827745021,0.0008330494165419977,0.0012990459799765985,6.894726122459727e-05
,,,4,0.0856118351221084,0.0882742367684839,0.0877327546477317,0.0885658040642737,0.0885849605632929,-0.0026624016463754896,-0.0021209195256232938,-0.0029539689421652915,-0.0029731254411844987
,,,5,0.0804608315229415,0.0842332374304532,0.0856118351221084,0.0834909155964851,0.0813982452152552,-0.0037724059075116972,-0.005151003599166898,-0.0030300840735435902,-0.0009374136923136905
,,,6,0.0863452181220054,0.077112679183483,0.0804608315229415,0.0753098279237746,0.0741953257791963,0.009232538938522397,0.005884386599063887,0.011035390198230799,0.012149892342809096
,,,7,0.0907528400421142,0.0901700694113969,0.0863452181220054,0.0922296047210692,0.0904495230146579,0.0005827706307173081,0.004407621920108809,-0.0014767646789549949,0.0003033170274562985
,,,8,0.098801165819168,0.0936177942901849,0.0907528400421142,0.095160461962223,0.0891927705594325,0.0051833715289830995,0.008048325777053791,0.003640703856944996,0.009608395259735489
,,,9,0.1058796271681785,0.1040325775742529,0.098801165819168,0.1068494915962217,0.1005262453545194,0.0018470495939256065,0.007078461349010509,-0.0009698644280431989,0.005353381813659103
,,,10,0.1092900335788726,0.1104806270450353,0.1058796271681785,0.112958088517189,0.1038008275996402,-0.0011905934661627093,0.0034104064106940946,-0.0036680549383164007,0.0054892059792324005
,,,11,0.1146807372570037,0.1115067977458237,0.1092900335788726,0.1127004399895666,0.1048254015662467,0.0031739395111800017,0.0053907036781311035,0.001980297267437106,0.009855335690757
,,,12,0.1163345500826835,0.1181846946477889,0.1146807372570037,0.1200714409351348,0.1158485949657731,-0.001850144565105405,0.001653812825679793,-0.0037368908524513106,0.0004859551169103943
