source_prediction_file,baseline_name,axis,row_index,true_future,hybrid_prediction,naive_component,cv_component,arx_component,hybrid_residual,naive_residual,cv_residual,arx_residual
,,,0,0.073538914322853,0.0690457716965473,0.0676333531737327,0.0703473165631294,0.0679105373143143,0.004493142626305707,0.005905561149120303,0.003191597759723608,0.005628377008538701
,,,1,0.075905717909336,0.07659050373653,0.073538914322853,0.0794444754719733,0.0740329585184373,-0.0006847858271939872,0.0023668035864830017,-0.0035387575626372875,0.001872759390898704
,,,2,0.0796469673514366,0.0765704710342919,0.075905717909336,0.078272521495819,0.073312474567908,0.0030764963171446974,0.0037412494421005943,0.0013744458556176065,0.0063344927835286
,,,3,0.0820918306708335,0.0817705832105668,0.0796469673514366,0.0833882167935372,0.0809119230418362,0.00032124746026671036,0.0024448633193969033,-0.001296386122703691,0.0011799076289973065
,,,4,0.0817621201276779,0.0834749241119707,0.0820918306708335,0.0845366939902304,0.0828951395780275,-0.001712803984292799,-0.0003297105431556008,-0.00277457386255249,-0.00113301945034959
,,,5,0.084925390779972,0.0811416975981865,0.0817621201276779,0.0814324095845223,0.0794842838381102,0.003783693181785494,0.0031632706522940895,0.0034929811954496903,0.005441106941861798
,,,6,0.0827567875385284,0.0868056685512121,0.084925390779972,0.088088661432266,0.0864186030054374,-0.0040488810126837055,-0.0021686032414435924,-0.005331873893737599,-0.0036618154669089964
,,,7,0.0789854303002357,0.0814775977406312,0.0827567875385284,0.0805881842970848,0.0817823466526513,-0.0024921674403954874,-0.003771357238292694,-0.0016027539968490878,-0.0027969163524155932
,,,8,0.0745196267962455,0.0769023451193254,0.0789854303002357,0.075214073061943,0.077998397491416,-0.002382718323079888,-0.004465803503990201,-0.0006944462656974931,-0.0034787706951704966
,,,9,0.0806951746344566,0.071596870894788,0.0745196267962455,0.0700538232922553,0.0710703560489337,0.009098303739668606,0.006175547838211101,0.010641351342201302,0.009624818585522901
,,,10,0.0816822201013565,0.0847832948044727,0.0806951746344566,0.0868707224726677,0.0856969058890093,-0.0031010747031161995,0.0009870454668998996,-0.005188502371311188,-0.004014685787652794
,,,11,0.0837507545948028,0.0821783250687491,0.0816822201013565,0.0826692655682564,0.0816951312710701,0.0015724295260537008,0.0020685344934462946,0.001081489026546395,0.0020556233237327
,,,12,0.0840555429458618,0.0848413901958924,0.0837507545948028,0.0858192890882491,0.0840325963666353,-0.0007858472500305996,0.0003047883510590016,-0.001763746142387293,2.294657922649601e-05
,,,13,0.0854982882738113,0.0836787000394326,0.0840555429458618,0.0843603312969208,0.0814093575360687,0.001819588234378694,0.0014427453279494962,0.0011379569768904946,0.004088930737742594
,,,14,0.0918620377779007,0.0863966762171855,0.0854982882738113,0.0869410336017608,0.0863833646708088,0.005465361560715198,0.006363749504089397,0.004921004176139901,0.005478673107091894
,,,15,0.0926479995250701,0.0954271941838428,0.0918620377779007,0.09822578728199,0.0937784460473879,-0.0027791946587727018,0.0007859617471693975,-0.0055777877569199025,-0.0011304465223178073
,,,16,0.0893901735544204,0.0920651255010674,0.0926479995250701,0.0934339612722394,0.0877687250371335,-0.0026749519466469918,-0.0032578259706496915,-0.004043787717818992,0.0016214485172869053
,,,17,0.0914547145366668,0.0870252947138073,0.0893901735544204,0.0861323475837707,0.0857103442779793,0.004429419822859507,0.002064540982246399,0.005322366952896104,0.005744370258687501
