source_prediction_file,baseline_name,axis,row_index,true_future,hybrid_prediction,naive_component,cv_component,arx_component,hybrid_residual,naive_residual,cv_residual,arx_residual
,,,0,352.6801452636719,352.67983551025395,352.6802062988281,352.67938232421875,352.6798416401569,0.00030975341792327526,-6.103515625e-05,0.000762939453125,0.00030362351498069984
,,,1,352.6800842285156,352.6801177978516,352.6801452636719,352.6800842285156,352.6797187250912,-3.3569335982974735e-05,-6.103515625e-05,0.0,0.00036550342440477834
,,,2,352.6813049316406,352.68005676269536,352.6800842285156,352.6800231933594,352.67911675358005,0.0012481689452670253,0.001220703125,0.00128173828125,0.0021881780605781387
,,,3,352.6837463378906,352.6818542480469,352.6813049316406,352.6825256347656,352.68126014357085,0.00189208984375,0.00244140625,0.001220703125,0.0024861943197720393
,,,4,352.6833801269531,352.6848449707031,352.6837463378906,352.6861877441406,352.68265643067554,-0.00146484375,-0.0003662109375,-0.0028076171875,0.0007236962775891698
,,,5,352.6809997558594,352.6832153320313,352.6833801269531,352.6830139160156,352.68232484725064,-0.0022155761719204747,-0.00238037109375,-0.00201416015625,-0.001325091391265687
,,,6,352.67889404296875,352.67992858886726,352.6809997558594,352.6786193847656,352.67995612726656,-0.001034545898505712,-0.002105712890625,0.000274658203125,-0.001062084297814181
,,,7,352.6781005859375,352.677946472168,352.67889404296875,352.6767883300781,352.6778083765624,0.00015411376949714395,-0.00079345703125,0.001312255859375,0.000292209375118091
,,,8,352.6778869628906,352.67774353027346,352.6781005859375,352.67730712890625,352.6785540331653,0.00014343261716476263,-0.000213623046875,0.000579833984375,-0.0006670702746873758
,,,9,352.67828369140625,352.6777908325196,352.6778869628906,352.6776733398437,352.6782888903053,0.0004928588866732753,0.000396728515625,0.0006103515625568434,-5.198899032166082e-06
,,,10,352.6788024902344,352.6784622192383,352.67828369140625,352.6786804199219,352.6771609767037,0.00034027099604827526,0.000518798828125,0.0001220703125,0.0016415135306715456
,,,11,352.6795349121094,352.67903594970704,352.6788024902344,352.6793212890625,352.6772387241587,0.0004989624023323813,0.000732421875,0.000213623046875,0.0022961879506624427
,,,12,352.67999267578125,352.67986450195315,352.6795349121094,352.6802673339844,352.6782232858307,0.00012817382810226263,0.000457763671875,-0.000274658203125,0.00176938995053888
,,,13,352.6800231933594,352.6801986694336,352.67999267578125,352.6804504394531,352.6785540426628,-0.00017547607421875,3.0517578125e-05,-0.00042724609375,0.0014691506965505141
,,,14,352.6806030273437,352.6800369262695,352.6800231933594,352.6800537109375,352.6792205435895,0.000566101074184644,0.0005798339843181566,0.0005493164061931566,0.0013824837541847046
,,,15,352.68096923828125,352.6808639526366,352.6806030273437,352.681182861328,352.67945635438844,0.00010528564462219947,0.0003662109375568434,-0.00021362304676131316,0.001512883892814898
,,,16,352.67999267578125,352.6811340332032,352.68096923828125,352.6813354492188,352.6804754155829,-0.001141357421943212,-0.0009765625,-0.0013427734375568434,-0.0004827398016686857
,,,17,352.67926025390625,352.6795532226563,352.67999267578125,352.67901611328125,352.6794816652896,-0.00029296875004547474,-0.000732421875,0.000244140625,-0.00022141138333608978
,,,18,352.6791076660156,352.6789306640625,352.67926025390625,352.67852783203125,352.6784338422577,0.00017700195314773737,-0.000152587890625,0.000579833984375,0.0006738237579497763
,,,19,352.6791076660156,352.67903900146484,352.6791076660156,352.678955078125,352.6780389442592,6.866455078125e-05,0.0,0.000152587890625,0.0010687217564395723
,,,20,352.6792907714844,352.6791076660156,352.6791076660156,352.6791076660156,352.6774035513532,0.00018310546875,0.00018310546875,0.00018310546875,0.0018872201311523895
,,,21,352.67926025390625,352.67937316894535,352.6792907714844,352.6794738769531,352.6783468278965,-0.00011291503909660605,-3.0517578125e-05,-0.000213623046875,0.0009134260097312108
,,,22,352.6796569824219,352.6792465209961,352.67926025390625,352.6792297363281,352.6779438765565,0.00041046142575851263,0.000396728515625,0.00042724609375,0.0017131058653490072
,,,23,352.6797790527344,352.67983551025395,352.6796569824219,352.6800537109375,352.67755895692227,-5.6457519576724735e-05,0.0001220703125,-0.000274658203125,0.0022200958121061376
,,,24,352.680419921875,352.679833984375,352.6797790527344,352.6799011230469,352.6781878090936,0.0005859374999772626,0.000640869140625,0.000518798828125,0.002232112781427986
,,,25,352.68096923828125,352.6807083129883,352.680419921875,352.6810607910156,352.678750405671,0.00026092529293464395,0.00054931640625,-9.1552734375e-05,0.002218832610253685
,,,26,352.6813049316406,352.6812164306641,352.68096923828125,352.6815185546875,352.679631760626,8.850097651702526e-05,0.000335693359375,-0.000213623046875,0.0016731710146018486
,,,27,352.6810302734375,352.6814559936524,352.6813049316406,352.681640625,352.68090853467896,-0.00042572021487785605,-0.000274658203125,-0.0006103515625,0.00012173875853704885
,,,28,352.6807861328125,352.6809066772461,352.6810302734375,352.6807556152344,352.67968263249,-0.00012054443362785605,-0.000244140625,3.0517578125e-05,0.001103500322471973
,,,29,352.68048095703125,352.68067626953126,352.6807861328125,352.6805419921875,352.6793525263272,-0.00019531250001136868,-0.00030517578125,-6.103515625e-05,0.001128430704056882
,,,30,352.6801147460937,352.6803436279297,352.68048095703125,352.68017578125,352.6796005349695,-0.00022888183599434342,-0.0003662109375568434,-6.103515630684342e-05,0.0005142111241980274
,,,31,352.6797790527344,352.6799499511718,352.6801147460937,352.67974853515614,352.6795840172208,-0.0001708984374317879,-0.0003356933593181566,3.051757823868684e-05,0.000195035513570474
,,,32,352.6798095703125,352.6796279907227,352.6797790527344,352.67944335937506,352.6777129234616,0.00018157958982101263,3.0517578125e-05,0.0003662109374431566,0.002096646850873185
,,,33,352.6801147460937,352.6798233032227,352.6798095703125,352.6798400878906,352.67843125295167,0.00029144287100280053,0.0003051757811931566,0.0002746582030681566,0.0016834931420248722
,,,34,352.6801147460937,352.68025207519526,352.6801147460937,352.6804199218749,352.6786188147269,-0.0001373291015625,0.0,-0.0003051757811931566,0.0014959313667759488
,,,35,352.6798095703125,352.6801147460937,352.6801147460937,352.6801147460937,352.67795013793653,-0.0003051757811931566,-0.0003051757811931566,-0.0003051757811931566,0.0018594323759657527
,,,36,352.6796875,352.679672241211,352.6798095703125,352.6795043945313,352.67980036621515,1.5258789005656581e-05,-0.0001220703125,0.00018310546869315658,-0.00011286621514727813
,,,37,352.6796264648437,352.6796325683593,352.6796875,352.6795654296875,352.6798501755846,-6.1035156022626325e-06,-6.103515630684342e-05,6.103515619315658e-05,-0.00022371074089733156
,,,38,352.6794128417969,352.67959899902337,352.6796264648437,352.6795654296874,352.68024204821705,-0.0001861572264942879,-0.00021362304681815658,-0.00015258789051131316,-0.0008292064201782523
,,,39,352.678955078125,352.6793167114258,352.6794128417969,352.67919921875006,352.67990042834936,-0.00036163330082672474,-0.000457763671875,-0.0002441406250568434,-0.0009453502243559342
,,,40,352.6786193847656,352.67874908447266,352.678955078125,352.6784973144531,352.6777979116966,-0.00012969970703125,-0.000335693359375,0.0001220703125,0.0008214730690383476
,,,41,352.6781921386719,352.678468322754,352.6786193847656,352.67828369140625,352.6775400365528,-0.0002761840821108308,-0.00042724609375,-9.1552734375e-05,0.000652102119090614
,,,42,352.6783752441406,352.67799987792966,352.6781921386719,352.6777648925781,352.67739980295846,0.00037536621096023737,0.00018310546875,0.0006103515625,0.0009754411821631948
,,,43,352.6787414550781,352.6784576416016,352.6783752441406,352.6785583496094,352.6767483926871,0.00028381347652839395,0.0003662109375,0.00018310546875,0.001993062391022704
,,,44,352.6789855957031,352.67890625,352.6787414550781,352.6791076660156,352.676771125019,7.934570311363132e-05,0.000244140625,-0.0001220703125,0.002214470684123171
,,,45,352.6791687011719,352.6790954589844,352.6789855957031,352.6792297363281,352.6771479536328,7.324218745452526e-05,0.00018310546875,-6.103515625e-05,0.00202074753906345
,,,46,352.6791687011719,352.67925109863285,352.6791687011719,352.6793518066406,352.67713473657864,-8.239746097160605e-05,0.0,-0.00018310546875,0.0020339645932381245
,,,47,352.6787414550781,352.6791687011719,352.6791687011719,352.6791687011719,352.6781996068443,-0.00042724609375,-0.00042724609375,-0.00042724609375,0.0005418482338086505
,,,48,352.6791381835937,352.678549194336,352.6787414550781,352.6783142089844,352.6777474943799,0.0005889892577215505,0.0003967285155681566,0.0008239746093181566,0.0013906892137924842
,,,49,352.67926025390625,352.6793167114257,352.6791381835937,352.67953491210926,352.67968246559286,-5.64575194630379e-05,0.00012207031255684342,-0.00027465820301131316,-0.0004222116866117176
,,,50,352.679443359375,352.6793151855469,352.67926025390625,352.6793823242188,352.67877997041336,0.00012817382810226263,0.00018310546875,6.103515619315658e-05,0.000663388961640976
,,,51,352.6793212890625,352.679525756836,352.679443359375,352.6796264648437,352.6776545260354,-0.00020446777347160605,-0.0001220703125,-0.0003051757811931566,0.001666763027117213
,,,52,352.6792297363281,352.6792663574219,352.6793212890625,352.67919921875,352.6792007735975,-3.662109378410605e-05,-9.1552734375e-05,3.0517578125e-05,2.8962730652892787e-05
,,,53,352.6789245605469,352.67918853759767,352.6792297363281,352.6791381835937,352.67895175588086,-0.0002639770507926187,-0.00030517578125,-0.00021362304681815658,-2.7195333984764147e-05
,,,54,352.67889404296875,352.6787872314453,352.6789245605469,352.6786193847656,352.67724056923555,0.0001068115234375,-3.0517578125e-05,0.000274658203125,0.001653473733199462
,,,55,352.6790771484375,352.6788803100586,352.67889404296875,352.6788635253906,352.6777431732838,0.00019683837888351263,0.00018310546875,0.000213623046875,0.0013339751537273514
,,,56,352.6798095703125,352.6791595458984,352.6790771484375,352.67926025390625,352.6775944355492,0.0006500244140852374,0.000732421875,0.00054931640625,0.002215134763275728
,,,57,352.6806335449219,352.6801391601563,352.6798095703125,352.6805419921875,352.67770364524125,0.0004943847656022626,0.000823974609375,9.1552734375e-05,0.0029298996806232935
,,,58,352.6813659667969,352.6810043334961,352.6806335449219,352.68145751953125,352.67943435294643,0.0003616333007698813,0.000732421875,-9.1552734375e-05,0.0019316138504450464
,,,59,352.6818542480469,352.68169555664065,352.6813659667969,352.6820983886719,352.6815147352405,0.00015869140622726263,0.00048828125,-0.000244140625,0.00033951280636301817
,,,60,352.6819152832031,352.6820739746093,352.6818542480469,352.6823425292969,352.6826161857117,-0.00015869140617041921,6.103515625e-05,-0.00042724609375,-0.0007009025085835674
,,,61,352.68182373046875,352.6819427490235,352.6819152832031,352.6819763183594,352.6820213395813,-0.0001190185547557121,-9.1552734375e-05,-0.000152587890625,-0.00019760911254707025
,,,62,352.68170166015625,352.6817825317383,352.68182373046875,352.6817321777344,352.67993620751133,-8.087158204261868e-05,-0.0001220703125,-3.0517578125e-05,0.0017654526449177865
,,,63,352.68133544921875,352.6816467285156,352.68170166015625,352.6815795898437,352.681459746935,-0.00031127929685226263,-0.0003662109375,-0.00024414062494315658,-0.0001242977162405623
,,,64,352.6810302734375,352.6811706542969,352.68133544921875,352.68096923828125,352.6820625576861,-0.00014038085942047474,-0.00030517578125,6.103515625e-05,-0.0010322842485948058
,,,65,352.68072509765625,352.68089294433594,352.6810302734375,352.68072509765625,352.6807212796048,-0.0001678466796875,-0.00030517578125,0.0,3.81805142524172e-06
,,,66,352.6810302734375,352.6805877685547,352.68072509765625,352.680419921875,352.679682520309,0.0004425048828125,0.00030517578125,0.0006103515625,0.001347753128527529
,,,67,352.6813049316406,352.68116760253906,352.6810302734375,352.68133544921875,352.6798765116648,0.0001373291015625,0.000274658203125,-3.0517578125e-05,0.0014284199758094474
,,,68,352.6814880371094,352.68142852783205,352.6813049316406,352.6815795898437,352.67962214517445,5.950927732101263e-05,0.00018310546875,-9.155273431815658e-05,0.001865891934926367
,,,69,352.68133544921875,352.68157043457035,352.6814880371094,352.6816711425781,352.6806235373029,-0.00023498535159660605,-0.000152587890625,-0.000335693359375,0.0007119119158573994
,,,70,352.6814880371094,352.681266784668,352.68133544921875,352.6811828613281,352.6817421277,0.00022125244134940658,0.000152587890625,0.00030517578125,-0.0002540905906016633
,,,71,352.6815490722656,352.68155670166016,352.6814880371094,352.681640625,352.68127967418525,-7.62939453125e-06,6.103515625e-05,-9.1552734375e-05,0.0002693980803769591
,,,72,352.68170166015625,352.68157653808595,352.6815490722656,352.6816101074219,352.68103397001937,0.00012512207030113132,0.000152587890625,9.1552734375e-05,0.0006676901368791732
,,,73,352.6814880371094,352.68177032470703,352.68170166015625,352.6818542480469,352.6808861947838,-0.00028228759765625,-0.000213623046875,-0.0003662109375,0.0006018423255795824
,,,74,352.681396484375,352.6813919067383,352.6814880371094,352.6812744140625,352.6818195235673,4.577636673275265e-06,-9.1552734375e-05,0.0001220703125,-0.00042303919229880194
,,,75,352.6816101074219,352.68135528564454,352.681396484375,352.6813049316406,352.6823439187668,0.0002548217773323813,0.000213623046875,0.00030517578125,-0.0007338113449009143
,,,76,352.681640625,352.68170623779304,352.6816101074219,352.68182373046875,352.6832137540006,-6.56127930369621e-05,3.0517578125e-05,-0.00018310546875,-0.0015731290005760457
,,,77,352.6816711425781,352.6816543579102,352.681640625,352.6816711425781,352.6815274536452,1.678466793464395e-05,3.0517578125e-05,0.0,0.00014368893295113594
,,,78,352.6817932128906,352.68168487548826,352.6816711425781,352.68170166015625,352.68033542254125,0.00010833740236648737,0.0001220703125,9.1552734375e-05,0.0014577903493773192
,,,79,352.6816711425781,352.6818481445313,352.6817932128906,352.6819152832031,352.6815694382044,-0.00017700195314773737,-0.0001220703125,-0.000244140625,0.000101704373719258
,,,80,352.6820068359375,352.6816162109375,352.6816711425781,352.6815490722656,352.6818405830944,0.00039062500002273737,0.000335693359375,0.000457763671875,0.00016625284308702248
,,,81,352.6822509765625,352.6821578979492,352.6820068359375,352.6823425292969,352.6806915558837,9.307861330398737e-05,0.000244140625,-9.1552734375e-05,0.0015594206788023257
,,,82,352.6829528808594,352.6823608398438,352.6822509765625,352.6824951171875,352.68120050557684,0.0005920410155795253,0.000701904296875,0.000457763671875,0.0017523752825354677
,,,83,352.683349609375,352.683268737793,352.6829528808594,352.68365478515625,352.6841243080234,8.087158198577526e-05,0.000396728515625,-0.00030517578125,-0.0007746986483994078
,,,84,352.683837890625,352.6835281372071,352.683349609375,352.6837463378906,352.6861772886798,0.00030975341792327526,0.00048828125,9.1552734375e-05,-0.0023393980548007676
,,,85,352.6842041015625,352.6840576171875,352.683837890625,352.684326171875,352.6874457289304,0.00014648437502273737,0.0003662109375,-0.0001220703125,-0.0032416273679132246
,,,86,352.6846008300781,352.68436889648444,352.6842041015625,352.6845703125,352.68788835480893,0.0002319335936817879,0.000396728515625,3.0517578125e-05,-0.0032875247308084
,,,87,352.684814453125,352.6847793579102,352.6846008300781,352.6849975585937,352.6882174374218,3.5095214798275265e-05,0.000213623046875,-0.00018310546869315658,-0.0034029842968266166
,,,88,352.68511962890625,352.68491058349616,352.684814453125,352.6850280761719,352.6885921060094,0.0002090454100880379,0.00030517578125,9.1552734375e-05,-0.0034724771031733326
,,,89,352.6854248046875,352.6852569580078,352.68511962890625,352.6854248046875,352.6891990618276,0.0001678466796875,0.00030517578125,0.0,-0.0037742571400940506
,,,90,352.6857604980469,352.68556213378906,352.6854248046875,352.68572998046875,352.69056678817486,0.0001983642578125,0.000335693359375,3.0517578125e-05,-0.004806290127987722
,,,91,352.6859130859375,352.6859115600586,352.6857604980469,352.68609619140625,352.69330742853595,1.5258788721439487e-06,0.000152587890625,-0.00018310546875,-0.0073943425984452915
,,,92,352.6863098144531,352.6859817504883,352.6859130859375,352.6860656738281,352.6961087097867,0.00032806396484375,0.000396728515625,0.000244140625,-0.009798895333574364
,,,93,352.6863098144531,352.6864883422852,352.6863098144531,352.68670654296875,352.698232531218,-0.00017852783207672474,0.0,-0.000396728515625,-0.011922716764900088
,,,94,352.6865234375,352.6863098144531,352.6863098144531,352.6863098144531,352.699166054929,0.000213623046875,0.000213623046875,0.000213623046875,-0.01264261742898043
,,,95,352.6865234375,352.6866195678711,352.6865234375,352.6867370605469,352.7001777423206,-9.613037110511868e-05,0.0,-0.000213623046875,-0.013654304820590824
,,,96,352.686767578125,352.6865234375,352.6865234375,352.6865234375,352.7005828995721,0.000244140625,0.000244140625,0.000244140625,-0.013815321447111728
,,,97,352.68682861328125,352.6868774414063,352.686767578125,352.68701171875,352.7008931453663,-4.8828125045474735e-05,6.103515625e-05,-0.00018310546875,-0.01406453208505809
,,,98,352.6869812011719,352.6868560791016,352.68682861328125,352.6868896484375,352.699205835571,0.00012512207030113132,0.000152587890625,9.1552734375e-05,-0.012224634399103707
,,,99,352.6871643066406,352.68704986572266,352.6869812011719,352.6871337890625,352.6968794167648,0.00011444091796875,0.00018310546875,3.0517578125e-05,-0.009715110124147941
,,,100,352.6781005859375,352.68724670410154,352.6871643066406,352.6873474121094,352.6955997984704,-0.009146118164039763,-0.009063720703125,-0.009246826171875,-0.017499212532925412
,,,101,352.65289306640625,352.67402191162114,352.6781005859375,352.6690368652344,352.6859021914881,-0.021128845214889225,-0.02520751953125,-0.016143798828125,-0.033009125081832735
,,,102,352.6221923828125,352.6415496826172,352.65289306640625,352.627685546875,352.66066406689134,-0.019357299804710237,-0.03070068359375,-0.0054931640625,-0.03847168407884283
,,,103,352.5929870605469,352.60837707519534,352.6221923828125,352.59149169921875,352.6298786133463,-0.015390014648460237,-0.029205322265625,0.001495361328125,-0.03689155279943179
,,,104,352.568115234375,352.5798446655274,352.5929870605469,352.56378173828125,352.6005436975533,-0.011729431152389225,-0.024871826171875,0.00433349609375,-0.03242846317829162
,,,105,352.5475769042969,352.55692291259766,352.568115234375,352.5432434082031,352.5759545144289,-0.00934600830078125,-0.020538330078125,0.00433349609375,-0.028377610131997244
,,,106,352.5302429199219,352.53833465576173,352.5475769042969,352.52703857421875,352.55552660040775,-0.008091735839855119,-0.017333984375,0.003204345703125,-0.025283680485870264
,,,107,352.51470947265625,352.5224426269532,352.5302429199219,352.5129089355469,352.5380052338448,-0.007733154296943212,-0.015533447265625,0.001800537109375,-0.02329576118853538
,,,108,352.5010681152344,352.50771942138675,352.51470947265625,352.4991760253906,352.52217985592864,-0.006651306152377856,-0.013641357421875,0.00189208984375,-0.021111740694266246
,,,109,352.4884948730469,352.4949295043946,352.5010681152344,352.4874267578125,352.5082913077666,-0.006434631347701725,-0.0125732421875,0.001068115234375,-0.019796434719751232
,,,110,352.4772644042969,352.48283691406255,352.4884948730469,352.4759216308594,352.49571541924433,-0.005572509765670475,-0.01123046875,0.0013427734375,-0.018451014947459043
,,,111,352.46710205078125,352.47221069335944,352.4772644042969,352.4660339355469,352.4849134023908,-0.005108642578193212,-0.010162353515625,0.001068115234375,-0.017811351609566373
,,,112,352.4578552246094,352.46252899169923,352.46710205078125,352.4569396972656,352.47437615542515,-0.004673767089855119,-0.009246826171875,0.00091552734375,-0.016520930815772772
,,,113,352.4495849609375,352.45369415283204,352.4578552246094,352.4486083984375,352.4650263286516,-0.004109191894542619,-0.008270263671875,0.0009765625,-0.01544136771411786
,,,114,352.4420471191406,352.4458633422852,352.4495849609375,352.4413146972656,352.4570314030844,-0.0038162231445539874,-0.007537841796875,0.000732421875,-0.014984283943761056
