source_prediction_file,baseline_name,axis,row_index,true_future,hybrid_prediction,naive_component,cv_component,arx_component,hybrid_residual,naive_residual,cv_residual,arx_residual
,,,0,172.59327697753906,172.59325408935547,172.5936737060547,172.59291076660156,172.6045024346245,2.288818359375e-05,-0.000396728515625,0.0003662109375,-0.011225457085430435
,,,1,172.59251403808594,172.5930587768555,172.59327697753906,172.59288024902344,172.61680111324904,-0.000544738769548303,-0.000762939453125,-0.0003662109375,-0.02428707516310169
,,,2,172.5924530029297,172.59209442138672,172.59251403808594,172.5917510986328,172.61128927813252,0.00035858154296875,-6.103515625e-05,0.000701904296875,-0.01883627520282971
,,,3,172.59283447265625,172.59241943359376,172.5924530029297,172.59239196777344,172.60915981348128,0.0004150390624886313,0.0003814697265625,0.0004425048828125,-0.016325340825034118
,,,4,172.59323120117188,172.59304428100586,172.59283447265625,172.5932159423828,172.61249726246297,0.000186920166015625,0.000396728515625,1.52587890625e-05,-0.01926606129109132
,,,5,172.59376525878906,172.59344940185548,172.59323120117188,172.5936279296875,172.60631265674124,0.0003158569335823813,0.0005340576171875,0.0001373291015625,-0.012547397952175743
,,,6,172.59457397460938,172.59405899047852,172.59376525878906,172.59429931640625,172.5963718550643,0.000514984130859375,0.0008087158203125,0.000274658203125,-0.0017978804549159122
,,,7,172.59503173828125,172.59501876831058,172.59457397460938,172.5953826904297,172.61684606976448,1.2969970669018949e-05,0.000457763671875,-0.0003509521484375,-0.021814331483227534
,,,8,172.5951690673828,172.59528350830078,172.59503173828125,172.59548950195312,172.623967826794,-0.00011444091796875,0.0001373291015625,-0.0003204345703125,-0.028798759411188257
,,,9,172.59490966796875,172.5952445983887,172.5951690673828,172.59530639648438,172.61180155426584,-0.000334930419938928,-0.0002593994140625,-0.000396728515625,-0.016891886297088377
,,,10,172.59378051757812,172.59476699829102,172.59490966796875,172.5946502685547,172.61620350886605,-0.0009864807128963093,-0.001129150390625,-0.0008697509765625,-0.022422991287925242
,,,11,172.59136962890625,172.5931594848633,172.59378051757812,172.5926513671875,172.60268310632716,-0.0017898559570426187,-0.002410888671875,-0.00128173828125,-0.011313477420912932
,,,12,172.58944702148438,172.59004364013674,172.59136962890625,172.58895874023438,172.6117536361632,-0.0005966186523664874,-0.001922607421875,0.00048828125,-0.022306614678825554
,,,13,172.58868408203125,172.58838958740236,172.58944702148438,172.5875244140625,172.62201394795818,0.000294494628889197,-0.000762939453125,0.00115966796875,-0.033329865926930324
,,,14,172.5895233154297,172.58826446533203,172.58868408203125,172.58792114257812,172.61321235645374,0.00125885009765625,0.0008392333984375,0.0016021728515625,-0.023689041024056223
,,,15,172.58993530273438,172.58998489379883,172.5895233154297,172.59036254882812,172.6027312430545,-4.9591064453125e-05,0.0004119873046875,-0.00042724609375,-0.012795940320131649
,,,16,172.59031677246094,172.59016189575198,172.58993530273438,172.59034729003906,172.61607935541917,0.00015487670896163763,0.0003814697265625,-3.0517578125e-05,-0.025762582958236635
,,,17,172.5903778076172,172.59052658081055,172.59031677246094,172.5906982421875,172.61768080076666,-0.000148773193359375,6.103515625e-05,-0.0003204345703125,-0.02730299314947615
,,,18,172.59022521972656,172.59041137695314,172.5903778076172,172.59043884277344,172.61148617893107,-0.00018615722657955303,-0.000152587890625,-0.000213623046875,-0.02126095920451121
,,,19,172.59194946289062,172.59014129638672,172.59022521972656,172.59007263183594,172.6164773674833,0.00180816650390625,0.0017242431640625,0.0018768310546875,-0.02452790459267362
,,,20,172.59523010253906,172.5928977966309,172.59194946289062,172.5936737060547,172.60653300134578,0.002332305908169019,0.0032806396484375,0.001556396484375,-0.011302898806718531
,,,21,172.59573364257812,172.5970344543457,172.59523010253906,172.5985107421875,172.61162819537955,-0.001300811767578125,0.0005035400390625,-0.002777099609375,-0.015894552801427153
,,,22,172.5940704345703,172.59601058959962,172.59573364257812,172.5962371826172,172.60257198442534,-0.0019401550293025593,-0.0016632080078125,-0.002166748046875,-0.00850154985502627
,,,23,172.5921173095703,172.59315567016603,172.5940704345703,172.5924072265625,172.61237200857568,-0.0010383605957144937,-0.001953125,-0.0002899169921875,-0.020254699005363364
,,,24,172.59365844726562,172.59104309082034,172.5921173095703,172.5901641845703,172.60830677057064,0.0026153564452897626,0.0015411376953125,0.0034942626953125,-0.014648323305010535
,,,25,172.59622192382812,172.59450607299806,172.59365844726562,172.59519958496094,172.61845435058112,0.0017158508300667563,0.0025634765625,0.0010223388671875,-0.02223242675299275
,,,26,172.59613037109375,172.5976318359375,172.59622192382812,172.59878540039062,172.6258141797359,-0.0015014648437556843,-9.1552734375e-05,-0.002655029296875,-0.02968380864214737
,,,27,172.59259033203125,172.59608001708983,172.59613037109375,172.59603881835938,172.6131312259154,-0.0034896850585823813,-0.0035400390625,-0.003448486328125,-0.020540893884145817
,,,28,172.58750915527344,172.5906433105469,172.59259033203125,172.58905029296875,172.60873613324932,-0.003134155273471606,-0.0050811767578125,-0.0015411376953125,-0.021226977975885575
,,,29,172.58578491210938,172.58471450805666,172.58750915527344,172.58242797851562,172.60444222352598,0.0010704040527116376,-0.0017242431640625,0.00335693359375,-0.01865731141660376
