baseline_file,target,model,source_prediction_csv,residual_csv,time_source,n,mean,std,mae,rmse,max_abs,p95_abs,p99_abs,p995_abs,mean_abs,std_abs,mean_abs_plus_3std_abs,recommended_threshold,recommended_threshold_method
baseline_02_high_altitude_hover,Roll,hybrid,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_02_high_altitude_hover_Roll_clean_residuals_v9.csv,t_Roll,282,9.280179156870638e-06,0.002143520016521983,0.0013847311047823997,0.0021397361983060653,0.008394513616788404,0.004962959077417158,0.0068612023504666065,0.008136893862494401,0.0013847311047823997,0.0016341543635217356,0.0062871941953476064,0.0068612023504666065,p99_abs
baseline_02_high_altitude_hover,Roll,naive,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_02_high_altitude_hover_Roll_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_02_high_altitude_hover,Roll,constant_velocity,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_02_high_altitude_hover_Roll_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_02_high_altitude_hover,Roll,arx,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_02_high_altitude_hover_Roll_clean_residuals_v9.csv,t_Roll,282,-3.152253233476108e-05,0.002698973466009701,0.0017414691913634683,0.0026943682060432093,0.0128828223543717,0.006206001009521309,0.009239171657225168,0.011257300175400256,0.0017414691913634683,0.002059598857088404,0.00792026576262868,0.009239171657225168,p99_abs
baseline_02_high_altitude_hover,Pitch,hybrid,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_02_high_altitude_hover_Pitch_clean_residuals_v9.csv,t_Roll,282,0.0008554231345033215,0.0022770078368292476,0.001887010247224731,0.002428606130610486,0.01220057062942101,0.004558549828352891,0.007947106345062366,0.010083081029197185,0.001887010247224731,0.001531547560314711,0.006481652928168864,0.007947106345062366,p99_abs
baseline_02_high_altitude_hover,Pitch,naive,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_02_high_altitude_hover_Pitch_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_02_high_altitude_hover,Pitch,constant_velocity,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_02_high_altitude_hover_Pitch_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_02_high_altitude_hover,Pitch,arx,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_02_high_altitude_hover_Pitch_clean_residuals_v9.csv,t_Roll,282,0.001428045948243063,0.0032659002449355826,0.0026774743421894244,0.0035591567224386874,0.020507160203958805,0.005340658594352536,0.013134727574992355,0.016839598156247845,0.0026774743421894244,0.002349105393092023,0.009724790521465493,0.013134727574992355,p99_abs
baseline_02_high_altitude_hover,Yaw,hybrid,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_02_high_altitude_hover_Yaw_clean_residuals_v9.csv,t_Roll,282,-0.00035865729584555353,0.002249611001843435,0.0010384201157996441,0.0022740797687635086,0.017056274414130712,0.0037747955322458867,0.010773056030305947,0.014841491699209432,0.0010384201157996441,0.0020267433803750215,0.007118650256924709,0.010773056030305947,p99_abs
baseline_02_high_altitude_hover,Yaw,naive,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_02_high_altitude_hover_Yaw_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
