time_sec,real_roll,attacked_roll,software_sensor_roll,residual,recovered_roll,recovery_mode
0.0,0.071980096399784,0.071980096399784,0.071980096399784,0.0,0.071980096399784,0.0
0.09996,0.0717868134379386,0.0717868134379386,0.07341357488781454,0.0016267614498759325,0.0717868134379386,0.0
0.19992,0.0716574862599372,0.0716574862599372,0.07325472846391355,0.0015972422039763484,0.0716574862599372,0.0
0.29988,0.0715299621224403,0.0715299621224403,0.07314844305523426,0.0016184809327939587,0.0715299621224403,0.0
0.39984,0.071500152349472,0.071500152349472,0.0730436394392857,0.0015434870898136943,0.071500152349472,0.0
0.4998,0.0717246904969215,0.0717246904969215,0.07301914076867731,0.0012944502717558148,0.0717246904969215,0.0
0.59976,0.0719014406204223,0.0719014406204223,0.07320367375344007,0.0013022331330177772,0.0719014406204223,0.0
0.69972,0.0725122690200805,0.0725122690200805,0.07334893294059851,0.0008366639205180104,0.0725122690200805,0.0
0.79968,0.0731788948178291,0.0731788948178291,0.073850932230063,0.0006720374122339001,0.0731788948178291,0.0
0.89964,0.0740384086966514,0.0740384086966514,0.07439878769132306,0.000360378994671659,0.0740384086966514,0.0
0.9996,0.0749662443995475,0.0749662443995475,0.07510516505669802,0.00013892065715052915,0.0749662443995475,0.0
1.09956,0.0758856534957885,0.0758856534957885,0.07586769159411445,1.796190167405176e-05,0.0758856534957885,0.0
1.19952,0.07685037702322,0.07685037702322,0.07662329285840767,0.00022708416481233284,0.07685037702322,0.0
1.29948,0.0782015472650528,0.0782015472650528,0.07741613504035279,0.0007854122247000078,0.0782015472650528,0.0
1.39944,0.0794900357723236,0.0794900357723236,0.07852657210801532,0.0009634636643082728,0.0794900357723236,0.0
1.4994,0.0810548812150955,0.0810548812150955,0.07958549522341932,0.0014693859916761892,0.0810548812150955,0.0
1.59936,0.0824506878852844,0.0824506878852844,0.08087153774981182,0.001579150135472579,0.0824506878852844,0.0
1.69932,0.0841071084141731,0.0841071084141731,0.0820186585312567,0.002088449882916399,0.0841071084141731,0.0
1.79928,0.0857037231326103,0.0857037231326103,0.08337996053463141,0.0023237625979788817,0.0857037231326103,0.0
1.89924,0.087120845913887,0.087120845913887,0.08469211211349047,0.002428733800396529,0.087120845913887,0.0
1.9992,0.0886159166693687,0.0886159166693687,0.085856751184185,0.0027591654851837066,0.0886159166693687,0.0
2.099993,0.0901538208127021,0.0901538208127021,0.08708545053325711,0.003068370279444982,0.0901538208127021,0.0
2.199953,0.0917066484689712,0.0917066484689712,0.08834935179040199,0.0033572966785692104,0.0917066484689712,0.0
2.299913,0.0931669399142265,0.0931669399142265,0.08962551769312785,0.0035414222210986557,0.0931669399142265,0.0
2.399873,0.094824768602848,0.094824768602848,0.09082563422929611,0.003999134373551885,0.094824768602848,0.0
2.499833,0.0966824665665626,0.0966824665665626,0.0921880935007484,0.004494373065814197,0.0966824665665626,0.0
2.599793,0.0983828902244567,0.0983828902244567,0.09371481205594079,0.004668078168515916,0.0983828902244567,0.0
2.699753,0.1004226803779602,0.1004226803779602,0.09511227729994018,0.005310403078020026,0.1004226803779602,0.0
2.799713,0.1020977348089218,0.1020977348089218,0.09678864532522667,0.0053090894836951286,0.1020977348089218,0.0
2.899673,0.103783294558525,0.103783294558525,0.09816526129005498,0.0056180332684700185,0.103783294558525,0.0
2.999633,0.1055997684597969,0.1055997684597969,0.09955051088006107,0.006049257579735831,0.1055997684597969,0.0
3.099593,0.1074106320738792,0.1074106320738792,0.10104335011996472,0.006367281953914478,0.1074106320738792,0.0
3.199553,0.1090282425284385,0.1090282425284385,0.1025315786391238,0.006496663889314705,0.1090282425284385,0.0
3.299513,0.1107594966888427,0.1107594966888427,0.10386098522044152,0.006898511468401189,0.1107594966888427,0.0
3.399473,0.1126171648502349,0.1126171648502349,0.10528378801458996,0.007333376835644945,0.1126171648502349,0.0
3.499433,0.1145948693156242,0.1145948693156242,0.1068104820837227,0.007784387231901502,0.1145948693156242,0.0
3.599393,0.116416722536087,0.116416722536087,0.10843582601584435,0.007980896520242642,0.116416722536087,0.0
3.699353,0.1179762259125709,0.1179762259125709,0.10993308615436985,0.008043139758201048,0.1179762259125709,0.0
3.799313,0.1197619959712028,0.1197619959712028,0.11121473838484787,0.008547257586354925,0.1197619959712028,0.0
3.899273,0.1215307861566543,0.1215307861566543,0.11268234416955845,0.008848441987095848,0.1215307861566543,0.0
3.999233,0.1236364915966987,0.1236364915966987,0.11413599532766774,0.009500496269030961,0.1236364915966987,0.0
4.099193,0.1256174892187118,0.1256174892187118,0.11586653474678929,0.009750954471922507,0.1256174892187118,0.0
4.199986,0.127226248383522,0.127226248383522,0.11749458510396336,0.009731663279558642,0.127226248383522,0.0
4.299946,0.128909483551979,0.128909483551979,0.11881671739820038,0.010092766153778632,0.128909483551979,0.0
4.399906,0.1307617872953415,0.1307617872953415,0.12020005657748903,0.010561730717852463,0.1307617872953415,0.0
4.499866,0.1326061338186264,0.1326061338186264,0.12172234198778502,0.010883791830841386,0.1326061338186264,0.0
4.599826,0.1345505118370056,0.1345505118370056,0.1232380878777388,0.011312423959266793,0.1345505118370056,0.0
4.699786,0.1363988220691681,0.1363988220691681,0.12483604301034716,0.01156277905882093,0.1363988220691681,0.0
4.799746,0.1384485363960266,0.1384485363960266,0.12635504640933043,0.012093489986696182,0.1384485363960266,0.0
4.899706,0.1401856243610382,0.1401856243610382,0.12803957045833206,0.01214605390270615,0.1401856243610382,0.0
4.999666,0.1420180946588516,0.1420180946588516,0.129467167675455,0.012550926983396604,0.1420180946588516,0.0
5.099626,0.1440238952636718,0.1440238952636718,0.130973153284595,0.013050741979076796,0.1440238952636718,0.0
5.199586,0.1459012776613235,0.1459012776613235,0.13262158756737444,0.013279690093949054,0.1459012776613235,0.0
5.299546,0.1476679891347885,0.1476679891347885,0.13416448345448784,0.013503505680300676,0.1476679891347885,0.0
5.399506,0.1494642943143844,0.1494642943143844,0.1356164262572979,0.013847868057086515,0.1494642943143844,0.0
5.499466,0.1513466238975525,0.1513466238975525,0.1370926901613577,0.014253933736194796,0.1513466238975525,0.0
5.599426,0.1531388163566589,0.1531388163566589,0.1386396518083759,0.014499164548283011,0.1531388163566589,0.0
5.699386,0.1548836529254913,0.1548836529254913,0.14011253574066082,0.014771117184830485,0.1548836529254913,0.0
5.799346,0.1565647572278976,0.1565647572278976,0.14154650101243624,0.01501825621546135,0.1565647572278976,0.0
5.899306,0.1583253443241119,0.1583253443241119,0.14292808896797524,0.015397255356136674,0.1583253443241119,0.0
5.999266,0.15986268222332,0.15986268222332,0.1443749985519466,0.015487683671373403,0.15986268222332,0.0
6.099226,0.1614559739828109,0.1614559739828109,0.14563843445065874,0.015817539532152147,0.1614559739828109,0.0
6.199186,0.1630246490240097,0.1630246490240097,0.14610297774740402,0.016921671276605682,0.1630246490240097,0.0
6.299979,0.1646094173192978,0.1646094173192978,0.14229883404721178,0.022310583272086015,0.1646094173192978,0.0
6.399939,0.1661412715911865,0.1661412715911865,0.13884096109012276,0.02730031050106374,0.1661412715911865,0.0
6.499899,0.1676812916994094,0.1676812916994094,0.1372190282819549,0.030462263417454505,0.1676812916994094,0.0
6.599859,0.1690052300691604,0.1690052300691604,0.13668619242310565,0.03231903764605476,0.1690052300691604,0.0
6.699819,0.1315857470035553,0.1315857470035553,0.13657477417499944,0.004989027171444144,0.1315857470035553,0.0
6.799779,-0.0265772454440593,-0.0265772454440593,0.10461404611490838,0.13119129155896767,-0.0265772454440593,0.0
6.899739,-0.1544357985258102,-0.1544357985258102,-0.026452250433857866,0.1279835480919523,-0.1544357985258102,0.0
6.999699,-0.2009255141019821,-0.2009255141019821,-0.13171267079943164,0.06921284330255045,-0.2009255141019821,0.0
7.099659,-0.1919361799955368,-0.1919361799955368,-0.1671837340049166,0.02475244599062021,-0.1919361799955368,0.0
7.199619,-0.1418280303478241,-0.1418280303478241,-0.15417577368216234,0.012347743334338246,-0.1418280303478241,0.0
7.299579,-0.0628090724349021,-0.0628090724349021,-0.10461190397555496,0.04180283154065287,-0.0628090724349021,0.0
7.399539,0.0310403797775506,0.0310403797775506,-0.03012710704941592,0.061167486826966516,0.0310403797775506,0.0
7.499499,0.1078063324093818,0.1078063324093818,0.056242086472402794,0.051564245936979,0.1078063324093818,0.0
7.599459,0.169063314795494,0.169063314795494,0.1269080134630762,0.042155301332417794,0.169063314795494,0.0
