timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,AEKF
1778515987.16001606,105342846,-0.00014592221123166382,0.07198009639978409,8.898103988030925e-05,0.06057000905275345,354.2610168457031,354.2610168457031,3
1778515987.25997615,105442806,-0.00014592218212783337,0.07178681343793869,8.898103260435164e-05,0.060583047568798065,354.2605895996094,354.2605895996094,3
1778515987.35993624,105542766,-0.00014592210936825722,0.07165748625993729,8.898103988030925e-05,0.06048431620001793,354.2602233886719,354.2602233886719,3
1778515987.45989609,105642726,-0.000145922094816342,0.07152996212244034,8.898103988030925e-05,0.060495175421237946,354.2599792480469,354.2599792480469,3
1778515987.55985618,105742686,-0.00014592208026442677,0.07150015234947205,8.89810107764788e-05,0.060523055493831635,354.259765625,354.259765625,3
1778515987.65981603,105842646,-0.00014592210936825722,0.07172469049692154,8.898105443222448e-05,0.06106710433959961,354.2596435546875,354.2596435546875,3
1778515987.75977612,105942606,-0.000145922094816342,0.07190144062042236,8.898103988030925e-05,0.061540309339761734,354.2591552734375,354.2591552734375,3
1778515987.85973620,106042566,-0.00014592206571251154,0.07251226902008057,8.898106898413971e-05,0.06203978508710861,354.25885009765625,354.25885009765625,3
1778515987.95969605,106142526,-0.00014592206571251154,0.07317889481782913,8.898107626009732e-05,0.06272736191749573,354.25836181640625,354.25836181640625,3
1778515988.05965614,106242486,-0.00014592203660868108,0.07403840869665146,8.898108353605494e-05,0.06346137821674347,354.25799560546875,354.25799560546875,3
1778515988.15961623,106342446,-0.00014592197840102017,0.07496624439954758,8.89810617081821e-05,0.0644923746585846,354.2577209472656,354.2577209472656,3
1778515988.25957608,106442406,-0.00014592196384910494,0.07588565349578857,8.898103988030925e-05,0.06545157730579376,354.2574768066406,354.2574768066406,3
1778515988.35953617,106542366,-0.00014592197840102017,0.07685037702322006,8.89810617081821e-05,0.06671048700809479,354.257080078125,354.257080078125,3
1778515988.45949626,106642326,-0.00014592197840102017,0.0782015472650528,8.898103988030925e-05,0.06802326440811157,354.2567443847656,354.2567443847656,3
1778515988.55945611,106742286,-0.00014592196384910494,0.07949003577232361,8.89810107764788e-05,0.06935104727745056,354.25640869140625,354.25640869140625,3
1778515988.65941620,106842246,-0.00014592192019335926,0.08105488121509552,8.898098167264834e-05,0.07074189186096191,354.2559814453125,354.2559814453125,3
1778515988.75937605,106942206,-0.00014592193474527448,0.08245068788528442,8.898103260435164e-05,0.07222357392311096,354.2556457519531,354.2556457519531,3
1778515988.85933614,107042166,-0.00014592192019335926,0.08410710841417313,8.898102532839403e-05,0.07386677712202072,354.2552795410156,354.2552795410156,3
1778515988.95929623,107142126,-0.00014592192019335926,0.08570372313261032,8.898103260435164e-05,0.07554320245981216,354.2548828125,354.2548828125,3
1778515989.05925608,107242086,-0.0001459219929529354,0.08712084591388702,8.898107626009732e-05,0.0771525576710701,354.2544250488281,354.2544250488281,3
1778515989.15921617,107342046,-0.00014592192019335926,0.08861591666936874,8.898101805243641e-05,0.07871325314044952,354.25390625,354.25390625,3
1778515989.26000905,107442839,-0.00014592192019335926,0.09015382081270218,8.89810107764788e-05,0.0803019255399704,354.2537841796875,354.2537841796875,3
1778515989.35996914,107542799,-0.00014592190564144403,0.09170664846897125,8.898100350052118e-05,0.08188922703266144,354.25360107421875,354.25360107421875,3
1778515989.45992923,107642759,-0.00014592190564144403,0.09316693991422653,8.898096712073311e-05,0.08355269581079483,354.2530822753906,354.2530822753906,3
1778515989.55988908,107742719,-0.00014592193474527448,0.09482476860284805,8.898097439669073e-05,0.08515004068613052,354.252685546875,354.252685546875,3
1778515989.65984917,107842679,-0.00014592193474527448,0.09668246656656265,8.898096712073311e-05,0.08694431930780411,354.2518615722656,354.2518615722656,3
1778515989.75980926,107942639,-0.0001459219929529354,0.09838289022445679,8.898098167264834e-05,0.08864892274141312,354.2511901855469,354.2511901855469,3
1778515989.85976911,108042599,-0.00014592203660868108,0.1004226803779602,8.898098167264834e-05,0.09030220657587051,354.2505798339844,354.2505798339844,3
1778515989.95972919,108142559,-0.00014592206571251154,0.10209773480892181,8.89809598447755e-05,0.09211491793394089,354.2498779296875,354.2498779296875,3
1778515990.05968904,108242519,-0.00014592208026442677,0.10378329455852509,8.89809598447755e-05,0.0937369093298912,354.2488708496094,354.2488708496094,3
1778515990.15964913,108342479,-0.0001459220511605963,0.1055997684597969,8.89809089130722e-05,0.0956333801150322,354.24810791015625,354.24810791015625,3
1778515990.25960922,108442439,-0.00014592200750485063,0.10741063207387924,8.898086525732651e-05,0.09738032519817352,354.2474365234375,354.2474365234375,3
1778515990.35956907,108542399,-0.0001459219929529354,0.10902824252843857,8.89808579813689e-05,0.09900994598865509,354.2468566894531,354.24688720703125,3
1778515990.45952916,108642359,-0.00014592197840102017,0.11075949668884277,8.898082887753844e-05,0.10088136047124863,354.2461853027344,354.2461853027344,3
