path,file,n_columns,columns,true,pred,attacked,recovered,residual,detected,threshold,rmse,mae,improvement
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_BARO.csv,baseline_02_high_altitude_hover_BARO.csv,13,timestamp | TimeUS | I | Alt | AltAMSL | Press | Temp | CRt | SMS | Offset | GndTemp | H | CPress,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_GPS.csv,baseline_02_high_altitude_hover_GPS.csv,16,timestamp | TimeUS | I | Status | GMS | GWk | NSats | HDop | Lat | Lng | Alt | Spd | GCrs | VZ | Yaw | U,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_IMU.csv,baseline_02_high_altitude_hover_IMU.csv,16,timestamp | TimeUS | I | GyrX | GyrY | GyrZ | AccX | AccY | AccZ | EG | EA | T | GH | AH | GHz | AHz,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_XKF1.csv,baseline_02_high_altitude_hover_XKF1.csv,17,timestamp | TimeUS | C | Roll | Pitch | Yaw | VN | VE | VD | dPD | PN | PE | PD | GX | GY | GZ | OH,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,baseline_03_forward_motion_ATT.csv,9,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_BARO.csv,baseline_03_forward_motion_BARO.csv,13,timestamp | TimeUS | I | Alt | AltAMSL | Press | Temp | CRt | SMS | Offset | GndTemp | H | CPress,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_GPS.csv,baseline_03_forward_motion_GPS.csv,16,timestamp | TimeUS | I | Status | GMS | GWk | NSats | HDop | Lat | Lng | Alt | Spd | GCrs | VZ | Yaw | U,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_IMU.csv,baseline_03_forward_motion_IMU.csv,16,timestamp | TimeUS | I | GyrX | GyrY | GyrZ | AccX | AccY | AccZ | EG | EA | T | GH | AH | GHz | AHz,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_XKF1.csv,baseline_03_forward_motion_XKF1.csv,17,timestamp | TimeUS | C | Roll | Pitch | Yaw | VN | VE | VD | dPD | PN | PE | PD | GX | GY | GZ | OH,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,baseline_04_yaw_rotation_ATT.csv,9,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF,0,0,0,0,0,0,0,0,0,0
