baseline,source_clean_file,attacked_file,axis,attack_type,magnitude,threshold_p99_abs,n_samples
baseline_02_high_altitude_hover,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_pulse_Yaw.csv,Yaw,pulse,0.086184,0.010773,1411
baseline_03_forward_motion,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_bias_Roll.csv,Roll,bias,0.027284,0.006821,1138
baseline_03_forward_motion,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_ramp_Roll.csv,Roll,ramp,0.040926,0.006821,1138
baseline_03_forward_motion,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_pulse_Roll.csv,Roll,pulse,0.054568,0.006821,1138
baseline_03_forward_motion,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_bias_Pitch.csv,Pitch,bias,0.06476,0.01619,1138
baseline_03_forward_motion,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_ramp_Pitch.csv,Pitch,ramp,0.09714,0.01619,1138
baseline_03_forward_motion,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_pulse_Pitch.csv,Pitch,pulse,0.12952,0.01619,1138
baseline_03_forward_motion,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_bias_Yaw.csv,Yaw,bias,0.0122,0.00305,1138
baseline_03_forward_motion,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_ramp_Yaw.csv,Yaw,ramp,0.0183,0.00305,1138
baseline_03_forward_motion,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_pulse_Yaw.csv,Yaw,pulse,0.0244,0.00305,1138
