timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1778782185.06005621,68245191,0,0.06,0.05,354.56,-0.01456344872713089,0.01756417565047741,-8.573375816922635e-05,6.017883788445033e-05,-0.011443729512393475,0.013667060993611813,-0.003923115786164999,0.03,0.03,-0.04,584.09
1778782185.06005621,68245191,1,0.07,0.05,354.56,-0.014441071078181267,0.017957260832190514,-0.00012764427810907364,0.00011142455332446843,-0.011437209323048592,0.014004218392074108,0.005795798264443874,0.03,0.03,-0.04,584.08
1778782185.16001606,68345151,0,0.06,0.05,354.56,-0.014557652175426483,0.01757863350212574,-8.981865539681166e-05,4.732143133878708e-05,-0.011455826461315155,0.0136950658634305,-0.003919865470379591,0.03,0.03,-0.04,584.09
1778782185.16001606,68345151,1,0.07,0.05,354.56,-0.01421012356877327,0.017880897969007492,-0.000175412162207067,4.383598570711911e-05,-0.011289489455521107,0.013844381086528301,0.005805237218737602,0.03,0.03,-0.04,584.08
1778782185.25997615,68445111,0,0.06,0.05,354.55,-0.01441030204296112,0.017385607585310936,-3.599782576202415e-05,7.435478619299829e-05,-0.011325480416417122,0.013553536497056484,-0.0039136167615652084,0.03,0.03,-0.04,584.09
1778782185.25997615,68445111,1,0.07,0.05,354.56,-0.013991761952638626,0.01760081760585308,-0.0001406929804943502,2.0443865651031956e-05,-0.011182058602571487,0.013750593177974224,0.0058081503957509995,0.03,0.03,-0.04,584.08
1778782185.35993600,68545071,0,0.06,0.05,354.55,-0.014310294762253761,0.017250921577215195,4.269788860256085e-06,9.287110879085958e-05,-0.011361234821379185,0.013607556000351906,-0.00390502973459661,0.03,0.03,-0.04,584.09
1778782185.35993600,68545071,1,0.07,0.05,354.56,-0.013819792307913303,0.017541291192173958,-0.00010292020306224003,2.118230622727424e-05,-0.011209261603653431,0.013822593726217747,0.0058104293420910835,0.03,0.03,-0.04,584.08
1778782185.45989609,68645031,0,0.06,0.05,354.55,-0.013915239833295345,0.016782622784376144,-3.475266566965729e-05,2.2236141376197338e-05,-0.011235586367547512,0.013466892763972282,-0.003899883944541216,0.03,0.03,-0.04,584.09
1778782185.45989609,68645031,1,0.07,0.05,354.56,-0.0134158069267869,0.01692069135606289,2.6950874598696828e-05,0.0001315821282332763,-0.011068399995565414,0.013684675097465515,0.0058191982097923756,0.03,0.03,-0.04,584.08
