timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,AEKF
1778782973.16001606,52344054,-0.00014208360516931862,0.06457260996103287,8.693504787515849e-05,0.05230273678898811,354.92230224609375,354.92230224609375,3
1778782973.26080918,52444847,-0.0001420836488250643,0.06450337916612625,8.693504787515849e-05,0.052336473017930984,354.9201354980469,354.9201354980469,3
1778782973.36076903,52544807,-0.00014208361972123384,0.06452619284391403,8.693506242707372e-05,0.05240785703063011,354.9177551269531,354.9177551269531,3
1778782973.46072912,52644767,-0.00014208363427314907,0.0645720511674881,8.693503332324326e-05,0.05245475471019745,354.9150085449219,354.9150085449219,3
1778782973.56068897,52744727,-0.00014208366337697953,0.06480037420988083,8.69350551511161e-05,0.0527733750641346,354.9120178222656,354.9120178222656,3
1778782973.66064906,52844687,-0.00014208363427314907,0.06501354277133942,8.69350551511161e-05,0.05296642333269119,354.90911865234375,354.90911865234375,3
1778782973.76060915,52944647,-0.00014208361972123384,0.06544476747512817,8.693507697898895e-05,0.05311460793018341,354.90606689453125,354.90606689453125,3
1778782973.86056900,53044607,-0.00014208366337697953,0.06590759754180908,8.69351060828194e-05,0.053625721484422684,354.9031677246094,354.9031677246094,3
1778782973.96052909,53144567,-0.00014208363427314907,0.06646068394184113,8.693508425494656e-05,0.054303042590618134,354.9003601074219,354.9003601074219,3
1778782974.06048918,53244527,-0.00014208357606548816,0.06722719967365265,8.693509153090417e-05,0.055189769715070724,354.89678955078125,354.89678955078125,3
1778782974.16044903,53344487,-0.0001420835469616577,0.0681583508849144,8.693506970303133e-05,0.055967073887586594,354.8936767578125,354.8936767578125,3
1778782974.26040912,53444447,-0.00014208356151357293,0.06933998316526413,8.69350551511161e-05,0.05701947584748268,354.8903503417969,354.8903503417969,3
1778782974.36036897,53544407,-0.00014208351785782725,0.07049188017845154,8.693504787515849e-05,0.05821733921766281,354.8874206542969,354.8874206542969,3
