timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1778627314.43998408,54645633,0,0.06,0.05,354.85,-0.013848056085407734,0.016431473195552826,9.217689512297511e-05,6.278125511016697e-05,-0.01042086724191904,0.012429450638592243,-0.0036937324330210686,0.02,0.02,-0.09,584.09
1778627314.43998408,54645633,1,0.06,0.05,354.85,-0.012877569533884525,0.016429513692855835,0.0004845422809012234,0.0002460604009684175,-0.009866176173090935,0.0124357920140028,0.006354061421006918,0.02,0.02,-0.09,584.08
1778627314.53994417,54745593,0,0.06,0.05,354.85,-0.013880675658583641,0.01645677536725998,6.11960276728496e-05,8.377433914574794e-06,-0.01047388557344675,0.012482413090765476,-0.0036908783949911594,0.02,0.02,-0.09,584.09
1778627314.53994417,54745593,1,0.06,0.05,354.85,-0.012858406640589237,0.016529930755496025,0.0004617907979991287,0.00017784623196348548,-0.009933575056493282,0.012545767240226269,0.0063779596239328384,0.02,0.02,-0.09,584.08
1778627314.63990402,54845553,0,0.06,0.05,354.85,-0.013690494000911713,0.0161841232329607,0.00010806495993165299,4.8250018153339624e-05,-0.01038726419210434,0.012371272780001163,-0.0036871368065476418,0.02,0.02,-0.09,584.09
1778627314.63990402,54845553,1,0.06,0.05,354.85,-0.012688168324530125,0.016238054260611534,0.0004746383347082883,0.00018901457951869816,-0.009858069941401482,0.01247105747461319,0.006393056828528643,0.02,0.02,-0.09,584.08
1778627314.73986411,54945513,0,0.06,0.05,354.84,-0.013509883545339108,0.016012853011488914,0.00018161906336899847,0.00012024638272123411,-0.01044357381761074,0.012427452020347118,-0.003678068285807967,0.02,0.02,-0.09,584.09
1778627314.73986411,54945513,1,0.06,0.05,354.85,-0.012735258787870407,0.016031544655561447,0.0005065687000751495,0.0002035439683822915,-0.009908212348818779,0.012537061236798763,0.006413071416318417,0.02,0.02,-0.09,584.08
1778627314.83982420,55045473,0,0.06,0.05,354.84,-0.01298811100423336,0.015462788753211498,0.00023334204161074013,0.00016672560013830662,-0.010321245528757572,0.012284957803785801,-0.0036627857480198145,0.02,0.02,-0.09,584.09
1778627314.83982420,55045473,1,0.06,0.05,354.84,-0.012375369668006897,0.015469519421458244,0.000376186246285215,7.689017365919426e-05,-0.009798525832593441,0.012378367595374584,0.006424978841096163,0.02,0.02,-0.09,584.08
