timestamp,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
1778627314.40000010,54605649,0,0.0007621713448315859,0.0007464044028893113,0.0008045530994422734,-0.0016368229407817125,-0.000916681659873575,-9.817384719848633,0,0,28.221546173095703,1,1,1000,1000
1778627314.40000010,54605649,1,0.0008958132239058614,0.0009595470037311316,0.0008400095975957811,-0.0009316150681115687,0.00017480237875133753,-9.818760871887207,0,0,28.221546173095703,1,1,760,800
1778627314.43998408,54645633,0,0.0007561526726931334,0.0007279060082510114,0.0006991310510784388,-0.0010391267715021968,-0.0001624229334993288,-9.817513465881348,0,0,28.223783493041992,1,1,1000,1000
1778627314.43998408,54645633,1,0.0008820737130008638,0.0006740745739080012,0.0008326278766617179,-0.0027284412644803524,0.0003767177986446768,-9.817137718200684,0,0,28.223783493041992,1,1,760,800
1778627314.47996807,54685617,0,0.0007664449512958527,0.0008223361801356077,0.0007152702892199159,-0.0012908626813441515,-0.0011661614989861846,-9.818693161010742,0,0,28.22601890563965,1,1,1000,1000
1778627314.47996807,54685617,1,0.0008552761864848435,0.0009141573682427406,0.0008636125712655485,-0.00034665028215385973,-0.001224786275997758,-9.816581726074219,0,0,28.22601890563965,1,1,760,800
1778627314.51995206,54725601,0,0.0007407722878269851,0.0007561487145721912,0.0006874857353977859,-0.00025929257390089333,-0.0012959659798070788,-9.817179679870605,0,0,28.228256225585938,1,1,1000,1000
1778627314.51995206,54725601,1,0.0007429469842463732,0.0008596171392127872,0.0007406161166727543,0.0002597603597678244,-0.0003483250620774925,-9.817070007324219,0,0,28.228256225585938,1,1,760,800
1778627314.55993605,54765585,0,0.0006930320523679256,0.0008019024389795959,0.0007390644168481231,-0.00022833172988612205,-0.00012714789772871882,-9.81558609008789,0,0,28.230491638183594,1,1,1000,1000
1778627314.55993605,54765585,1,0.0007861219346523285,0.0006291283643804491,0.000828063115477562,-0.0021873374935239553,-0.0007236102828755975,-9.81782341003418,0,0,28.230491638183594,1,1,760,800
1778627314.59992003,54805569,0,0.0007153604528866708,0.0006910663796588778,0.00088456243975088,-0.001145443762652576,-0.0024789609014987946,-9.817925453186035,0,0,28.23272705078125,1,1,1000,1000
1778627314.59992003,54805569,1,0.0005420793895609677,0.0005514329532161355,0.0009412296931259334,0.00036176046705804765,-0.0025070796255022287,-9.817121505737305,0,0,28.23272705078125,1,1,760,800
1778627314.63990402,54845553,0,0.0007534229662269354,0.0007936532492749393,0.0008263419149443507,-0.0012447668705135584,-0.0016474908916279674,-9.81739616394043,0,0,28.234962463378906,1,1,1000,1000
1778627314.63990402,54845553,1,0.0006995175499469042,0.0009388071484863758,0.0007421946502290666,-0.0016684879083186388,-0.001576637732796371,-9.81494140625,0,0,28.234962463378906,1,1,760,800
1778627314.67988801,54885537,0,0.0007886161911301315,0.0008177086128853261,0.000678775948472321,-0.0010044258087873459,-0.0006870939978398383,-9.816703796386719,0,0,28.237197875976562,1,1,1000,1000
1778627314.67988801,54885537,1,0.0007764011970721185,0.0008013120968826115,0.0007765075424686074,-0.00239621102809906,-0.0002747719408944249,-9.818931579589844,0,0,28.237197875976562,1,1,760,800
1778627314.71987200,54925521,0,0.0008129019406624138,0.0006770651089027524,0.000775702646933496,-0.0006827113684266806,-0.0011298712342977524,-9.816825866699219,0,0,28.23943328857422,1,1,1000,1000
1778627314.71987200,54925521,1,0.0008035877253860235,0.0008541657589375973,0.0008136369287967682,-0.0019162993412464857,-0.0013126629637554288,-9.816179275512695,0,0,28.23943328857422,1,1,760,800
1778627314.75985599,54965505,0,0.00089902279432863,0.0007444192888215184,0.0007986003765836358,-0.00018836154777090997,1.174160024675075e-05,-9.816993713378906,0,0,28.241668701171875,1,1,1000,1000
1778627314.75985599,54965505,1,0.0007339140865951777,0.0007266237516887486,0.0005607597413472831,-0.0010800289455801249,-4.2270297853974625e-05,-9.819928169250488,0,0,28.241668701171875,1,1,760,800
1778627314.79984021,55005489,0,0.0006827876786701381,0.000719287374522537,0.0007832128321751952,-0.0011262603802606463,0.00021983234910294414,-9.816884994506836,0,0,28.2439022064209,1,1,1000,1000
1778627314.79984021,55005489,1,0.0006845822790637612,0.0007323911413550377,0.000581317872274667,-0.0009831173811107874,-0.0018446303438395262,-9.819158554077148,0,0,28.2439022064209,1,1,760,800
1778627314.83982420,55045473,0,0.0008406548295170069,0.0008060145773924887,0.0007205670699477196,-0.0007335685077123344,-0.0005874970811419189,-9.817597389221191,0,0,28.246135711669922,1,1,1000,1000
1778627314.83982420,55045473,1,0.0007959227077662945,0.0007155067287385464,0.0010662885615602136,-0.0022626733407378197,-0.00030394853092730045,-9.817903518676758,0,0,28.24608039855957,1,1,760,800
1778627314.87980819,55085457,0,0.0007695298991166055,0.0007537793135270476,0.0006882324232719839,-0.0008345888345502317,-0.0007961556548252702,-9.818022727966309,0,0,28.248369216918945,1,1,1000,1000
1778627314.87980819,55085457,1,0.0006774699431844056,0.0007478928309865296,0.0009334998321719468,0.0011321307392790914,-0.000966806779615581,-9.81611156463623,0,0,28.248313903808594,1,1,760,800
1778627314.91979218,55125441,0,0.0007300854776985943,0.0007559378282167017,0.0008490452310070395,-0.0011473872000351548,-0.0014520179247483611,-9.81739616394043,0,0,28.25060272216797,1,1,1000,1000
1778627314.91979218,55125441,1,0.0008574410458095372,0.0007349798106588423,0.0006661632214672863,-0.0006853964296169579,-0.0030714848544448614,-9.81692886352539,0,0,28.250545501708984,1,1,760,800
1778627314.95977616,55165425,0,0.0007691886858083308,0.0007660385454073548,0.0007837377488613129,-0.001179037499241531,-0.0010930560529232025,-9.81696891784668,0,0,28.252836227416992,1,1,1000,1000
1778627314.95977616,55165425,1,0.00045072101056575775,0.0008837913046590984,0.0007963625248521566,0.0002020408574026078,0.0009919379372149706,-9.817506790161133,0,0,28.25278091430664,1,1,760,800
1778627314.99976015,55205409,0,0.0008044833084568381,0.000739437120500952,0.0007224658038467169,-0.0013886267552152276,-0.00029501356766559184,-9.817049026489258,0,0,28.255069732666016,1,1,1000,1000
1778627314.99976015,55205409,1,0.0007228977628983557,0.0006342391134239733,0.0012476342963054776,-0.00042297475738450885,-0.00137026933953166,-9.816826820373535,0,0,28.25501251220703,1,1,760,800
1778627315.03974414,55245393,0,0.0008225730853155255,0.0007968040299601853,0.00072187784826383,-0.0012520235031843185,-0.0011368263512849808,-9.81627082824707,0,0,28.257301330566406,1,1,1000,1000
1778627315.03974414,55245393,1,0.0006742811528965831,0.0007631613407284021,0.0008777729817666113,-0.0017503303242847323,0.000346165441442281,-9.818918228149414,0,0,28.257244110107422,1,1,760,800
1778627315.07972813,55285377,0,0.0007352795801125467,0.0007280583376996219,0.0007718655979260802,-0.001260112738236785,-0.0012956229038536549,-9.817628860473633,0,0,28.259532928466797,1,1,1000,1000
1778627315.07972813,55285377,1,0.0010089605348184705,0.0008200402371585369,0.0006857240223325789,-0.001720795058645308,-0.0018676946638152003,-9.81685733795166,0,0,28.259477615356445,1,1,760,800
1778627315.11971211,55325361,0,0.0008501361589878798,0.000730049388948828,0.0008260930771939456,-0.0018880835268646479,-0.0011550248600542545,-9.817134857177734,0,0,28.261764526367188,1,1,1000,1000
1778627315.11971211,55325361,1,0.0006188974366523325,0.0008078443352133036,0.0006746960571035743,-0.0003361286362633109,-0.0005264222854748368,-9.81771183013916,0,0,28.261709213256836,1,1,760,800
1778627315.15969610,55365345,0,0.0007503015222027898,0.0007119330111891031,0.0008299692999571562,-0.000995939364656806,-0.0012627015821635723,-9.818302154541016,0,0,28.263996124267578,1,1,1000,1000
1778627315.15969610,55365345,1,0.0006811522180214524,0.0008807266131043434,0.0007240670965984464,-0.0006831286591477692,-0.0009542850311845541,-9.819029808044434,0,0,28.263940811157227,1,1,760,800
1778627315.19968009,55405329,0,0.0008337479666806757,0.0008595556719228625,0.0008617039420641959,-0.001161105465143919,-0.001265195431187749,-9.817551612854004,0,0,28.26622772216797,1,1,1000,1000
1778627315.19968009,55405329,1,0.0008495952351950109,0.0008210478699766099,0.0007889490807428956,-0.0019029274117201567,-0.0018040461000055075,-9.819618225097656,0,0,28.266172409057617,1,1,760,800
1778627315.23966408,55445313,0,0.0007554235053248703,0.000668250722810626,0.0008133045630529523,-0.0008544540032744408,-0.0018993316916748881,-9.818082809448242,0,0,28.26845932006836,1,1,1000,1000
1778627315.23966408,55445313,1,0.0006806541932746768,0.0009457783307880163,0.0009239466162398458,-0.001422611065208912,-0.000737910158932209,-9.81686782836914,0,0,28.268404006958008,1,1,760,800
1778627315.27964807,55485297,0,0.0008585394825786352,0.0008223858894780278,0.0007570573943667114,-0.0003876221599057317,-0.00040146801620721817,-9.816947937011719,0,0,28.27069091796875,1,1,1000,1000
