timestamp,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
1778782185.06005621,68245191,0,0.0010167440632358193,0.0009288904839195311,0.0009430883219465613,-0.0005566106410697103,-0.0017835107864812016,-9.81635856628418,0,0,28.967269897460938,1,1,1000,1000
1778782185.06005621,68245191,1,0.0010713479714468122,0.0009125382057391107,0.0009646255057305098,-0.0006270866142585874,-0.0009066059719771147,-9.816941261291504,0,0,28.967269897460938,1,1,760,800
1778782185.10004020,68285175,0,0.0009269526926800609,0.0010278507834300399,0.0009967188816517591,0.00014047724835108966,-0.001075947773642838,-9.817687034606934,0,0,28.969406127929688,1,1,1000,1000
1778782185.10004020,68285175,1,0.0008026814321056008,0.0008571604266762733,0.0009747815784066916,-0.003368407255038619,-0.002093292074277997,-9.815813064575195,0,0,28.969406127929688,1,1,760,800
1778782185.14002419,68325159,0,0.0009292520699091256,0.0009313445189036429,0.0010488132247701287,-0.0007470836280845106,-0.0008420448866672814,-9.817700386047363,0,0,28.97154426574707,1,1,1000,1000
1778782185.14002419,68325159,1,0.0009966825600713491,0.0010021745692938566,0.000929417903535068,0.0023398036137223244,-0.000648438697680831,-9.817811012268066,0,0,28.97154426574707,1,1,760,800
1778782185.18000817,68365143,0,0.0009796759113669395,0.0009631673456169665,0.0009061958407983184,-0.0013975795591250062,-0.00013076062896288931,-9.81652545928955,0,0,28.973682403564453,1,1,1000,1000
1778782185.18000817,68365143,1,0.0007794360863044858,0.000907413603272289,0.0010663364082574844,-0.0005431720637716353,-0.0006474463152699172,-9.815536499023438,0,0,28.973682403564453,1,1,760,800
1778782185.21999216,68405127,0,0.0009919030126184225,0.0009314038325101137,0.0009932953398674726,-0.00023331298143602908,-0.0005399534711614251,-9.817441940307617,0,0,28.975818634033203,1,1,1000,1000
1778782185.21999216,68405127,1,0.000929716567043215,0.0009519566665403545,0.0014637907734140754,-0.002718981122598052,-0.0018506936030462384,-9.817462921142578,0,0,28.975818634033203,1,1,760,800
1778782185.25997615,68445111,0,0.0009382917196489871,0.0009764829301275313,0.0009323991253040731,-0.0007896761526353657,-0.0020165788009762764,-9.81672477722168,0,0,28.977954864501953,1,1,1000,1000
