timestamp,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
1778788392.79999995,65985262,0,6,417210800,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788392.99992013,66185182,0,6,417211000,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788393.19984007,66385102,0,6,417211200,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788393.39976001,66585022,0,6,417211400,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788393.59967995,66784942,0,6,417211600,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788393.79960012,66984862,0,6,417211800,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788393.99952006,67184782,0,6,417212000,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788394.19944000,67384702,0,6,417212200,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788394.39935994,67584622,0,6,417212400,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788394.59928012,67784542,0,6,417212600,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788394.80003309,67985295,0,6,417212800,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788394.99995303,68185215,0,6,417213000,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788395.19987297,68385135,0,6,417213200,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788395.39979315,68585055,0,6,417213400,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788395.59971309,68784975,0,6,417213600,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788395.79963303,68984895,0,6,417213800,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788395.99955297,69184815,0,6,417214000,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788396.19947314,69384735,0,6,417214200,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1778788396.39939308,69584655,0,6,417214400,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,124.04850006103516,0.0,0.0,1
1778788396.59931302,69784575,0,6,417214600,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,124.89191436767578,0.0,0.0,1
1778788396.79923296,69984495,0,6,417214800,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,299.4878234863281,0.0,0.0,1
1778788396.99998593,70185248,0,6,417215000,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,304.8885498046875,0.0,0.0,1
1778788397.19990611,70385168,0,6,417215200,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,305.4314880371094,-0.030000001192092896,0.0,1
1778788397.39982605,70585088,0,6,417215400,2418,10,1.21,-35.3632621,149.1652374,584.11,0.0,305.63970947265625,-0.11500000208616257,0.0,1
1778788397.59974599,70785008,0,6,417215600,2418,10,1.21,-35.3632621,149.1652374,584.14,0.0,307.4236755371094,-0.2240000069141388,0.0,1
