timestamp,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
1778785729.89920688,71084055,0,0.001009071245789528,0.0009509260999038815,0.0010454015573486686,-0.0012046624906361103,-0.0013208541786298156,-9.818868637084961,0,0,29.118330001831055,1,1,1000,1000
1778785729.89920688,71084055,1,0.0007786449859850109,0.0008829786675050855,0.0011144919553771615,-0.0010682875290513039,-0.001205358887091279,-9.818501472473145,0,0,29.11827850341797,1,1,760,800
1778785729.93919086,71124039,0,0.0010471893474459648,0.0009929533116519451,0.000990390544757247,-0.0013434009160846472,-0.0002280321641592309,-9.818078994750977,0,0,29.120447158813477,1,1,1000,1000
1778785729.93919086,71124039,1,0.0012745297281071544,0.0010745726758614182,0.0011561547871679068,-0.0006269369041547179,-0.002516715321689844,-9.815818786621094,0,0,29.120393753051758,1,1,760,800
1778785729.97917485,71164023,0,0.001065688207745552,0.0010040536290034652,0.000987395760603249,-0.0017343164654448628,-0.0012900936417281628,-9.818352699279785,0,0,29.1225643157959,1,1,1000,1000
1778785729.97917485,71164023,1,0.0011783709051087499,0.0011337511241436005,0.00123748613987118,-0.0023283965419977903,0.0003197448677383363,-9.817682266235352,0,0,29.12251091003418,1,1,760,800
1778785730.01999187,71204840,0,0.0010453348513692617,0.000995494658127427,0.0010196188231930137,-0.001115932478569448,-0.00030700070783495903,-9.816993713378906,0,0,29.12468147277832,1,1,1000,1000
1778785730.01999187,71204840,1,0.0007887027459219098,0.0008882888359948993,0.0011911893961951137,0.002444181125611067,-0.000655599869787693,-9.816713333129883,0,0,29.12468147277832,1,1,760,800
1778785730.05997586,71244824,0,0.0010513811139389873,0.0010844056960195303,0.0009857125114649534,-0.0022637287620455027,-0.0004593065823428333,-9.816749572753906,0,0,29.12679672241211,1,1,1000,1000
1778785730.05997586,71244824,1,0.0009741971152834594,0.0010941168293356895,0.0009154576109722257,-0.002416596282273531,-0.0019437584560364485,-9.816041946411133,0,0,29.12679672241211,1,1,760,800
1778785730.09995985,71284808,0,0.0009896688861772418,0.0009502468165010214,0.0010239639086648822,-0.0022692398633807898,-0.0021139131858944893,-9.818608283996582,0,0,29.12891387939453,1,1,1000,1000
1778785730.09995985,71284808,1,0.0010639645624905825,0.0010350898373872042,0.0010123817482963204,-0.0008606815827079117,0.00021756987553089857,-9.81680965423584,0,0,29.12891387939453,1,1,760,800
1778785730.13994384,71324792,0,0.0009874097304418683,0.001008888822980225,0.000993262161500752,-0.0009257699130102992,-0.00026456094929017127,-9.816102981567383,0,0,29.131031036376953,1,1,1000,1000
1778785730.13994384,71324792,1,0.0010217365343123674,0.0009846973698586226,0.0010411444818601012,-0.0025098929181694984,-0.0016760777216404676,-9.816109657287598,0,0,29.131031036376953,1,1,760,800
1778785730.17992783,71364776,0,0.001005830941721797,0.0010431540431454778,0.0010039204498752952,-0.0011588000925257802,-0.0007655640365555882,-9.81706428527832,0,0,29.133146286010742,1,1,1000,1000
