timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1778782973.16001606,52344054,0,0.06,0.05,354.92,-0.013048488646745682,0.015438089147210121,1.146147678809939e-05,3.4326803870499134e-05,-0.009727494791150093,0.01137517485767603,-0.003764905035495758,0.02,0.02,-0.11,584.09
1778782973.16001606,52344054,1,0.06,0.04,354.92,-0.0125331562012434,0.01550361979752779,-0.0002432559704175219,1.2967817610842758e-06,-0.009630349464714527,0.01152404211461544,0.005845255684107542,0.02,0.02,-0.1,584.08
1778782973.26080918,52444847,0,0.06,0.05,354.92,-0.012921558693051338,0.015331277623772621,2.419791962893214e-05,2.6276997232344e-05,-0.009663637727499008,0.0113220801576972,-0.003761418629437685,0.02,0.02,-0.1,584.09
1778782973.26080918,52444847,1,0.06,0.04,354.92,-0.01233462430536747,0.015244605019688606,-0.00015500940207857639,6.698945799143985e-05,-0.009440938010811806,0.011338397860527039,0.005847725551575422,0.02,0.02,-0.1,584.08
1778782973.36076903,52544807,0,0.06,0.05,354.91,-0.012873928993940353,0.015308946371078491,6.447083433158696e-05,5.319456977304071e-05,-0.009735026396811008,0.011427472345530987,-0.00375539087690413,0.02,0.02,-0.1,584.09
1778782973.36076903,52544807,1,0.06,0.04,354.91,-0.012242194265127182,0.015178580768406391,-4.845735020353459e-05,0.00017890652816276997,-0.009501601569354534,0.011447364464402199,0.005859069526195526,0.02,0.02,-0.1,584.08
1778782973.46072912,52644767,0,0.06,0.05,354.91,-0.012541132979094982,0.014939920045435429,7.620717224199325e-05,5.3124676924198866e-05,-0.009649991057813168,0.011351849883794785,-0.0037510015536099672,0.02,0.02,-0.1,584.09
1778782973.46072912,52644767,1,0.06,0.04,354.91,-0.011846572160720825,0.014667377807199955,6.535773718496785e-05,0.00023488343867938966,-0.00940385926514864,0.011363268829882145,0.005874818190932274,0.02,0.02,-0.1,584.08
1778782973.56068897,52744727,0,0.06,0.05,354.91,-0.012221294455230236,0.014583057723939419,4.1232375224353746e-05,8.779978998063598e-06,-0.00966600514948368,0.01139290351420641,-0.003748009679839015,0.02,0.02,-0.1,584.09
1778782973.56068897,52744727,1,0.06,0.04,354.91,-0.011439939960837364,0.014306514523923397,7.096030003594933e-06,0.00013195730571169406,-0.009389516897499561,0.01137299183756113,0.005891694687306881,0.02,0.02,-0.1,584.08
1778782973.66064906,52844687,0,0.06,0.05,354.9,-0.011550670489668846,0.013849960640072823,2.679998397070449e-05,-1.0871478480112273e-05,-0.009501117281615734,0.011219424195587635,-0.0037494238931685686,0.02,0.02,-0.1,584.09
1778782973.66064906,52844687,1,0.06,0.04,354.91,-0.010833886452019215,0.013547955080866814,5.6500721257179976e-05,0.000129742591525428,-0.009199252352118492,0.011176015250384808,0.005901891738176346,0.02,0.02,-0.1,584.08
1778782973.76060915,52944647,0,0.06,0.05,354.9,-0.010873240418732166,0.013074604794383049,8.50067226565443e-05,4.324236942920834e-05,-0.009385853074491024,0.011108131147921085,-0.0037456487771123648,0.02,0.02,-0.1,584.09
1778782973.76060915,52944647,1,0.06,0.04,354.9,-0.01018952950835228,0.012663023546338081,0.00011223371257074177,0.0001412119745509699,-0.009062603116035461,0.011032450012862682,0.005918871611356735,0.02,0.02,-0.1,584.08
1778782973.86056900,53044607,0,0.06,0.05,354.9,-0.009898405522108078,0.011898445896804333,7.461151835741475e-05,2.863535519281868e-05,-0.009073914028704166,0.010756541974842548,-0.00374328694306314,0.02,0.02,-0.1,584.09
1778782973.86056900,53044607,1,0.06,0.04,354.9,-0.009155482053756714,0.011590206995606422,5.812518793391064e-05,5.160048385732807e-05,-0.008733801543712616,0.01065994892269373,0.005928926635533571,0.02,0.02,-0.1,584.08
1778782973.96052909,53144567,0,0.06,0.05,354.9,-0.008922171778976917,0.010708563961088657,9.831889474298805e-05,4.635277946363203e-05,-0.008784051053225994,0.0104235103353858,-0.003737000050023198,0.02,0.02,-0.1,584.09
1778782973.96052909,53144567,1,0.06,0.04,354.9,-0.008140268735587597,0.01053081825375557,3.49573019775562e-06,-3.2180581911234185e-05,-0.008421149104833603,0.01031818799674511,0.005930230021476746,0.02,0.02,-0.1,584.08
1778782974.06048918,53244527,0,0.06,0.05,354.89,-0.007813293486833572,0.009314046241343021,0.00013160720118321478,7.179362000897527e-05,-0.0083986297249794,0.009970465674996376,-0.003731817239895463,0.02,0.02,-0.1,584.09
1778782974.06048918,53244527,1,0.06,0.05,354.89,-0.006762429140508175,0.008891330100595951,3.50105001416523e-05,4.153986537858145e-06,-0.007778976112604141,0.00957730133086443,0.0059311059303581715,0.02,0.02,-0.1,584.08
1778782974.16044903,53344487,0,0.06,0.05,354.89,-0.006613998208194971,0.007947124540805817,9.186183888232335e-05,1.6647285519866273e-05,-0.007917397655546665,0.009401392191648483,-0.003728071693331003,0.02,0.02,-0.1,584.09
1778782974.16044903,53344487,1,0.06,0.05,354.89,-0.0058403220027685165,0.007688678801059723,-7.985057891346514e-05,-9.859936108114198e-05,-0.007374369073659182,0.009117992594838142,0.00592914130538702,0.02,0.02,-0.1,584.08
1778782974.26040912,53444447,0,0.06,0.05,354.89,-0.005416962783783674,0.006602775305509567,6.478610885096714e-05,-6.815261713200016e-06,-0.007366284262388945,0.00875785667449236,-0.0037264772690832615,0.02,0.02,-0.1,584.09
1778782974.26040912,53444447,1,0.06,0.05,354.89,-0.004783536307513714,0.006362400483340025,0.0001252280198968947,0.00011708039528457448,-0.0068345204927027225,0.008480222895741463,0.0059324223548173904,0.02,0.02,-0.1,584.08
1778782974.36036897,53544407,0,0.07,0.05,354.88,-0.004288386553525925,0.005269147455692291,5.025239443057217e-05,-2.1422138161142357e-05,-0.006762431003153324,0.008052419871091843,-0.0037268665619194508,0.02,0.02,-0.1,584.09
1778782974.36036897,53544407,1,0.07,0.05,354.88,-0.0037772038485854864,0.005153326317667961,0.0002057513629551977,0.00020588880579452962,-0.0063194953836500645,0.007862798869609833,0.0059527503326535225,0.02,0.02,-0.1,584.08
1778782974.46032906,53644367,0,0.07,0.05,354.88,-0.0032342432532459497,0.00399738410487771,8.473298657918349e-05,2.168520586565137e-05,-0.006138438358902931,0.007321228738874197,-0.0037258255761116743,0.02,0.02,-0.1,584.09
1778782974.46032906,53644367,1,0.07,0.05,354.88,-0.0028462321497499943,0.003949174657464027,0.00023200525902211666,0.00019682248239405453,-0.0057171364314854145,0.0071325949393212795,0.005969336722046137,0.02,0.02,-0.1,584.08
1778782974.56028914,53744327,0,0.07,0.06,354.88,-0.002313965931534767,0.0028610380832105875,4.232651190250181e-05,-1.600787254574243e-05,-0.005508934147655964,0.006575635634362698,-0.003724193898960948,0.02,0.02,-0.1,584.09
1778782974.56028914,53744327,1,0.07,0.05,354.88,-0.001936284708790481,0.002893132623285055,0.00031280083931051195,0.0002276915911352262,-0.005162692163139582,0.006464096251875162,0.00598923210054636,0.02,0.02,-0.1,584.08
