timestamp,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
1778782973.10003996,52284078,0,0.0007465238450095057,0.0007412591949105263,0.0007434969884343445,-0.0004757160204462707,-0.0002645292552188039,-9.817083358764648,0,0,28.091176986694336,1,1,1000,1000
1778782973.10003996,52284078,1,0.0007235832163132727,0.0005674272542819381,0.0008347940747626126,-0.001966399373486638,-0.001327480305917561,-9.815445899963379,0,0,28.091176986694336,1,1,760,800
1778782973.14002419,52324062,0,0.0006963924970477819,0.0007593203336000443,0.0007636831142008305,-6.0803682572441176e-05,-0.0006978246383368969,-9.817998886108398,0,0,28.093486785888672,1,1,1000,1000
1778782973.14002419,52324062,1,0.0006729742744937539,0.0006782460841350257,0.0007450208067893982,0.0003427665214985609,-0.0008938979590311646,-9.815789222717285,0,0,28.09343147277832,1,1,760,800
1778782973.18000817,52364046,0,0.0006951491814106703,0.0006693127797916532,0.0007518978090956807,-0.0019835052080452442,-0.0008511206833645701,-9.81734848022461,0,0,28.095741271972656,1,1,1000,1000
1778782973.18000817,52364046,1,0.0006282155518420041,0.0006060446612536907,0.000763250864110887,-4.8985697503667325e-05,-0.0027864095754921436,-9.817038536071777,0,0,28.095685958862305,1,1,760,800
1778782973.21999216,52404030,0,0.0007388160447590053,0.0007528847199864686,0.0008112493669614196,-0.00017306467634625733,-0.000609319657087326,-9.81736946105957,0,0,28.097993850708008,1,1,1000,1000
1778782973.21999216,52404030,1,0.0006065889610908926,0.0006552988779731095,0.0005643059266731143,-0.0007032755529507995,-0.0018305890262126923,-9.81659984588623,0,0,28.097938537597656,1,1,760,800
1778782973.26080918,52444847,0,0.0007354685221798718,0.0007922094082459807,0.0006220255745574832,-0.0005183048779144883,-0.000720244541298598,-9.818108558654785,0,0,28.100248336791992,1,1,1000,1000
1778782973.26080918,52444847,1,0.0007041596109047532,0.0006599382613785565,0.000755503133405,-0.0017170975916087627,-0.0022612542379647493,-9.814448356628418,0,0,28.100248336791992,1,1,760,800
1778782973.30079317,52484831,0,0.0006747443694621325,0.0007462046341970563,0.0008033996564336121,-0.0005878584343008697,-0.0012123225023970008,-9.817170143127441,0,0,28.102500915527344,1,1,1000,1000
1778782973.30079317,52484831,1,0.0006735608330927789,0.0005242623738013208,0.0008959576953202486,-0.0022118466440588236,-0.0013930684654042125,-9.81795597076416,0,0,28.102500915527344,1,1,760,800
1778782973.34077716,52524815,0,0.0007750287186354399,0.0007080374052748084,0.0007411651313304901,-0.001024720724672079,-0.0003005180915351957,-9.818476676940918,0,0,28.104753494262695,1,1,1000,1000
1778782973.34077716,52524815,1,0.001089128665626049,0.0005214473931118846,0.000720512995030731,-0.0018433518707752228,-0.003961862064898014,-9.81652545928955,0,0,28.104753494262695,1,1,760,800
