timestamp,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz,TimeSec,AttackActive_IMU,GyrZ_attacked,SoftwareSensor_GyrZ,Residual_GyrZ,DetectionFlag_GyrZ,Recovered_GyrZ
1778782185.0600562,68245191,0,0.0010167440632358,0.0009288904839195,0.0009430883219465,-0.0005566106410697,-0.0017835107864812,-9.81635856628418,0,0,28.967269897460938,1,1,1000,1000,0.0,0,0.0009430883219465,0.0009430883219465,0.0,0,0.0009430883219465
1778782185.0600562,68245191,1,0.0010713479714468,0.0009125382057391,0.0009646255057305,-0.0006270866142585,-0.0009066059719771,-9.816941261291504,0,0,28.967269897460938,1,1,760,800,0.0,0,0.0009646255057305,0.0009646255057305,0.0,0,0.0009646255057305
1778782185.1000402,68285175,0,0.00092695269268,0.00102785078343,0.0009967188816517,0.000140477248351,-0.0010759477736428,-9.817687034606934,0,0,28.969406127929688,1,1,1000,1000,0.039984,0,0.0009967188816517,0.0009967188816517,0.0,0,0.0009967188816517
1778782185.1000402,68285175,1,0.0008026814321056,0.0008571604266762,0.0009747815784066,-0.0033684072550386,-0.0020932920742779,-9.815813064575195,0,0,28.969406127929688,1,1,760,800,0.039984,0,0.0009747815784066,0.0009747815784066,0.0,0,0.0009747815784066
1778782185.140024,68325159,0,0.0009292520699091,0.0009313445189036,0.0010488132247701,-0.0007470836280845,-0.0008420448866672,-9.817700386047363,0,0,28.97154426574707,1,1,1000,1000,0.079968,0,0.0010488132247701,0.0010488132247701,0.0,0,0.0010488132247701
1778782185.140024,68325159,1,0.0009966825600713,0.0010021745692938,0.000929417903535,0.0023398036137223,-0.0006484386976808,-9.817811012268066,0,0,28.97154426574707,1,1,760,800,0.079968,0,0.000929417903535,0.000929417903535,0.0,0,0.000929417903535
1778782185.180008,68365143,0,0.0009796759113669,0.0009631673456169,0.0009061958407983,-0.001397579559125,-0.0001307606289628,-9.81652545928955,0,0,28.973682403564453,1,1,1000,1000,0.119952,0,0.0009061958407983,0.0009061958407983,0.0,0,0.0009061958407983
1778782185.180008,68365143,1,0.0007794360863044,0.0009074136032722,0.0010663364082574,-0.0005431720637716,-0.0006474463152699,-9.815536499023438,0,0,28.973682403564453,1,1,760,800,0.119952,0,0.0010663364082574,0.0010663364082574,0.0,0,0.0010663364082574
1778782185.219992,68405127,0,0.0009919030126184,0.0009314038325101,0.0009932953398674,-0.000233312981436,-0.0005399534711614,-9.817441940307615,0,0,28.975818634033203,1,1,1000,1000,0.159936,0,0.0009932953398674,0.0009932953398674,0.0,0,0.0009932953398674
1778782185.219992,68405127,1,0.0009297165670432,0.0009519566665403,0.001463790773414,-0.002718981122598,-0.0018506936030462,-9.817462921142578,0,0,28.975818634033203,1,1,760,800,0.159936,0,0.001463790773414,0.001463790773414,0.0,0,0.001463790773414
