timestamp,TimeUS,I,Alt,AltAMSL,Press,Temp,CRt,SMS,Offset,GndTemp,H,CPress,TimeSec,AttackActive_BARO,Alt_attacked,SoftwareSensor_Alt,Residual_Alt,DetectionFlag_Alt,Recovered_Alt
1778785729.9591827,71144031,0,0.00372314453125,584.0936889648438,94502.828125,30.62,0.0,71144,0.0,28.02182960510254,1,94502.828125,0.0,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778785729.9591827,71144031,1,-0.04901123046875,584.0409545898438,94502.1640625,30.62,0.0,71144,0.0,28.02182960510254,1,94502.1640625,0.0,0,-0.04901123046875,-0.04901123046875,0.0,0,-0.04901123046875
1778785730.059976,71244824,0,0.00372314453125,584.0936889648438,94502.828125,30.63,0.0,71244,0.0,28.02182960510254,1,94502.828125,0.100793,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778785730.059976,71244824,1,-0.18133544921875,583.9086303710938,94503.6640625,30.63,0.0,71244,0.0,28.02182960510254,1,94503.6640625,0.100793,0,-0.18133544921875,-0.18133544921875,0.0,0,-0.18133544921875
1778785730.159936,71344784,0,0.00372314453125,584.0936889648438,94502.828125,30.63,0.0,71344,0.0,28.02182960510254,1,94502.828125,0.200753,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778785730.159936,71344784,1,-0.04901123046875,584.0409545898438,94502.1640625,30.63,0.0,71344,0.0,28.02182960510254,1,94502.1640625,0.200753,0,-0.04901123046875,-0.04901123046875,0.0,0,-0.04901123046875
1778785730.259896,71444744,0,0.00372314453125,584.0936889648438,94502.828125,30.63,0.0,71444,0.0,28.02182960510254,1,94502.828125,0.300713,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778785730.259896,71444744,1,-0.26092529296875,583.8290405273438,94504.5625,30.63,0.0,71444,0.0,28.02182960510254,1,94504.5625,0.300713,0,-0.26092529296875,-0.26092529296875,0.0,0,-0.26092529296875
1778785730.359856,71544704,0,0.00372314453125,584.0936889648438,94502.828125,30.63,0.0,71544,0.0,28.02182960510254,1,94502.828125,0.400673,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778785730.359856,71544704,1,0.0628662109375,584.15283203125,94500.890625,30.63,0.0,71544,0.0,28.02182960510254,1,94500.890625,0.400673,0,0.0628662109375,0.0628662109375,0.0,0,0.0628662109375
1778785730.459816,71644664,0,0.00372314453125,584.0936889648438,94502.828125,30.63,0.0,71644,0.0,28.02182960510254,1,94502.828125,0.500633,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778785730.459816,71644664,1,0.06866455078125,584.1586303710938,94500.828125,30.63,0.0,71644,0.0,28.02182960510254,1,94500.828125,0.500633,0,0.06866455078125,0.06866455078125,0.0,0,0.06866455078125
1778785730.5597758,71744624,0,0.00372314453125,584.0936889648438,94502.828125,30.64,0.0,71744,0.0,28.02182960510254,1,94502.828125,0.600593,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778785730.5597758,71744624,1,-0.11688232421875,583.9730834960938,94502.921875,30.64,0.0,71744,0.0,28.02182960510254,1,94502.921875,0.600593,0,-0.11688232421875,-0.11688232421875,0.0,0,-0.11688232421875
1778785730.659736,71844584,0,0.00372314453125,584.0936889648438,94502.828125,30.64,0.0,71844,0.0,28.02182960510254,1,94502.828125,0.700553,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778785730.659736,71844584,1,-0.26678466796875,583.8231811523438,94504.625,30.64,0.0,71844,0.0,28.02182960510254,1,94504.625,0.700553,0,-0.26678466796875,-0.26678466796875,0.0,0,-0.26678466796875
1778785730.759696,71944544,0,0.00372314453125,584.0936889648438,94502.828125,30.64,0.0,71944,0.0,28.02182960510254,1,94502.828125,0.800513,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778785730.759696,71944544,1,0.06866455078125,584.1586303710938,94500.828125,30.64,0.0,71944,0.0,28.02182960510254,1,94500.828125,0.800513,0,0.06866455078125,0.06866455078125,0.0,0,0.06866455078125
