timestamp,TimeUS,I,Alt,AltAMSL,Press,Temp,CRt,SMS,Offset,GndTemp,H,CPress,TimeSec,AttackActive_BARO,Alt_attacked,SoftwareSensor_Alt,Residual_Alt,DetectionFlag_Alt,Recovered_Alt
1778627314.439984,54645633,0,0.00372314453125,584.0936889648438,94502.828125,30.2,0.0,54645,0.0,28.02182960510254,1,94502.828125,0.0,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778627314.439984,54645633,1,0.0540771484375,584.14404296875,94500.984375,30.2,0.0,54645,0.0,28.02182960510254,1,94500.984375,0.0,0,0.0540771484375,0.0540771484375,0.0,0,0.0540771484375
1778627314.539944,54745593,0,0.00372314453125,584.0936889648438,94502.828125,30.2,0.0,54745,0.0,28.02182960510254,1,94502.828125,0.09996,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778627314.539944,54745593,1,-0.29022216796875,583.7997436523438,94504.890625,30.2,0.0,54745,0.0,28.02182960510254,1,94504.890625,0.09996,0,-0.29022216796875,-0.29022216796875,0.0,0,-0.29022216796875
1778627314.639904,54845553,0,0.00372314453125,584.0936889648438,94502.828125,30.21,0.0,54845,0.0,28.02182960510254,1,94502.828125,0.19992,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778627314.639904,54845553,1,0.02130126953125,584.1112670898438,94501.3515625,30.21,0.0,54845,0.0,28.02182960510254,1,94501.3515625,0.19992,0,0.02130126953125,0.02130126953125,0.0,0,0.02130126953125
1778627314.739864,54945513,0,0.00372314453125,584.0936889648438,94502.828125,30.21,0.0,54945,0.0,28.02182960510254,1,94502.828125,0.29988,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778627314.739864,54945513,1,0.05694580078125,584.1469116210938,94500.953125,30.21,0.0,54945,0.0,28.02182960510254,1,94500.953125,0.29988,0,0.05694580078125,0.05694580078125,0.0,0,0.05694580078125
1778627314.8398242,55045473,0,0.00372314453125,584.0936889648438,94502.828125,30.21,0.0,55045,0.0,28.02182960510254,1,94502.828125,0.39984,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778627314.8398242,55045473,1,-0.11102294921875,583.9789428710938,94502.859375,30.21,0.0,55045,0.0,28.02182960510254,1,94502.859375,0.39984,0,-0.11102294921875,-0.11102294921875,0.0,0,-0.11102294921875
1778627314.939784,55145433,0,0.00372314453125,584.0936889648438,94502.828125,30.22,0.0,55145,0.0,28.02182960510254,1,94502.828125,0.4998,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778627314.939784,55145433,1,-0.08758544921875,584.0023803710938,94502.59375,30.22,0.0,55145,0.0,28.02182960510254,1,94502.59375,0.4998,0,-0.08758544921875,-0.08758544921875,0.0,0,-0.08758544921875
1778627315.039744,55245393,0,0.00372314453125,584.0936889648438,94502.828125,30.22,0.0,55245,0.0,28.02182960510254,1,94502.828125,0.59976,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778627315.039744,55245393,1,-0.22283935546875,583.8671264648438,94504.1328125,30.22,0.0,55245,0.0,28.02182960510254,1,94504.1328125,0.59976,0,-0.22283935546875,-0.22283935546875,0.0,0,-0.22283935546875
1778627315.139704,55345353,0,0.00372314453125,584.0936889648438,94502.828125,30.22,0.0,55345,0.0,28.02182960510254,1,94502.828125,0.69972,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778627315.139704,55345353,1,-0.25213623046875,583.8378295898438,94504.4609375,30.22,0.0,55345,0.0,28.02182960510254,1,94504.4609375,0.69972,0,-0.25213623046875,-0.25213623046875,0.0,0,-0.25213623046875
1778627315.239664,55445313,0,0.00372314453125,584.0936889648438,94502.828125,30.23,0.0,55445,0.0,28.02182960510254,1,94502.828125,0.79968,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
1778627315.239664,55445313,1,-0.10809326171875,583.9818725585938,94502.828125,30.23,0.0,55445,0.0,28.02182960510254,1,94502.828125,0.79968,0,-0.10809326171875,-0.10809326171875,0.0,0,-0.10809326171875
1778627315.339624,55545273,0,0.00372314453125,584.0936889648438,94502.828125,30.23,0.0,55545,0.0,28.02182960510254,1,94502.828125,0.89964,0,0.00372314453125,0.00372314453125,0.0,0,0.00372314453125
