timestamp,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz,TimeSec,AttackActive_IMU,GyrZ_attacked,SoftwareSensor_GyrZ,Residual_GyrZ,DetectionFlag_GyrZ,Recovered_GyrZ
1778788392.699207,65884469,0,0.0009140516049228,0.0009033981477841,0.0009237399790436,4.852438723901287e-05,-0.0024303742684423,-9.817787170410156,0,0,28.840648651123047,1,1,1000,1000,0.0,0,0.0009237399790436,0.0009237399790436,0.0,0,0.0009237399790436
1778788392.699207,65884469,1,0.0008154634851962,0.0009601981728337,0.0007753984536975,-0.0009366731392219,0.0009079400333575,-9.818324089050291,0,0,28.840648651123047,1,1,760,800,0.0,0,0.0007753984536975,0.0007753984536975,0.0,0,0.0007753984536975
1778788392.740024,65925286,0,0.0009212211589328,0.0008525763405486,0.0009686308912932,-0.0017397566698491,-0.0010481998324394,-9.817962646484377,0,0,28.842857360839844,1,1,1000,1000,0.040817,0,0.0009686308912932,0.0009686308912932,0.0,0,0.0009686308912932
1778788392.740024,65925286,1,0.0009044568287208,0.0010468622203916,0.0010587552096694,-0.0028701031114906,-0.0019179234514012,-9.818723678588867,0,0,28.842803955078125,1,1,760,800,0.040817,0,0.0010587552096694,0.0010587552096694,0.0,0,0.0010587552096694
1778788392.780008,65965270,0,0.0008693089475855,0.0009351693443022,0.0008689555106684,-0.0009350695181638,-0.0011599268764257,-9.817306518554688,0,0,28.84501075744629,1,1,1000,1000,0.080801,0,0.0008689555106684,0.0008689555106684,0.0,0,0.0008689555106684
1778788392.780008,65965270,1,0.0010624532587826,0.0008150734938681,0.0009217590559273,-0.0008501830161549,-0.0005121081485413,-9.815150260925291,0,0,28.84495735168457,1,1,760,800,0.080801,0,0.0009217590559273,0.0009217590559273,0.0,0,0.0009217590559273
1778788392.819992,66005254,0,0.0009324351558461,0.0009828455513343,0.0009180665947496,-0.0016596168279647,-0.0011505000293254,-9.818524360656738,0,0,28.84716415405273,1,1,1000,1000,0.120785,0,0.0009180665947496,0.0009180665947496,0.0,0,0.0009180665947496
1778788392.819992,66005254,1,0.0008291936246678,0.0010278145782649,0.0009060758166015,-0.0029311494436115,-8.078003156697378e-05,-9.818509101867676,0,0,28.847110748291016,1,1,760,800,0.120785,0,0.0009060758166015,0.0009060758166015,0.0,0,0.0009060758166015
1778788392.859976,66045238,0,0.0009131389087997,0.0009303718688897,0.0009882593294605,-0.0004251505015417,-0.0006230555591173,-9.817291259765623,0,0,28.84931755065918,1,1,1000,1000,0.160769,0,0.0009882593294605,0.0009882593294605,0.0,0,0.0009882593294605
1778788392.859976,66045238,1,0.0009329917957074,0.0009932147804647,0.0010368665680289,-0.0027578040026128,-0.0022788974456489,-9.818527221679688,0,0,28.84926414489746,1,1,760,800,0.160769,0,0.0010368665680289,0.0010368665680289,0.0,0,0.0010368665680289
1778788392.89996,66085222,0,0.0009506189380772,0.0009200842468999,0.0009450056240893,-0.0013060559285804,-0.0013589905574917,-9.817142486572266,0,0,28.851417541503903,1,1,1000,1000,0.200753,0,0.0009450056240893,0.0009450056240893,0.0,0,0.0009450056240893
1778788392.89996,66085222,1,0.0008138224948197,0.0007899565971456,0.0011414034524932,-0.0016149844741448,0.0013261607382446,-9.817687034606934,0,0,28.851417541503903,1,1,760,800,0.200753,0,0.0011414034524932,0.0011414034524932,0.0,0,0.0011414034524932
1778788392.939944,66125206,0,0.0009534268756397,0.0008711374830454,0.0009960200404748,-0.0012131413677707,-0.0005248147645033,-9.815933227539062,0,0,28.85357093811035,1,1,1000,1000,0.240737,0,0.0009960200404748,0.0009960200404748,0.0,0,0.0009960200404748
1778788392.939944,66125206,1,0.0009881923906505,0.0008972200448624,0.0009129361133091,-0.0015896012773737,-0.0015985947102308,-9.816545486450195,0,0,28.85357093811035,1,1,760,800,0.240737,0,0.0009129361133091,0.0009129361133091,0.0,0,0.0009129361133091
1778788392.979928,66165190,0,0.0009639316704124,0.0009267668356187,0.0009012593072839,-0.0011784309754148,-0.0006320611573755,-9.818537712097168,0,0,28.855722427368164,1,1,1000,1000,0.280721,0,0.0009012593072839,0.0009012593072839,0.0,0,0.0009012593072839
1778788392.979928,66165190,1,0.0009535555727779,0.0010175076313316,0.0008520944975316,-0.00245051109232,0.0001168177477666,-9.818769454956056,0,0,28.855722427368164,1,1,760,800,0.280721,0,0.0008520944975316,0.0008520944975316,0.0,0,0.0008520944975316
1778788393.019912,66205174,0,0.0009478107676841,0.0009139704634435,0.0009750751778483,-0.0013058682670816,-0.0008680603932589,-9.817156791687012,0,0,28.85787582397461,1,1,1000,1000,0.320705,0,0.0009750751778483,0.0009750751778483,0.0,0,0.0009750751778483
