timestamp,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,TimeSec,AttackActive_GPS,Lat_attacked,Lng_attacked,SoftwareSensor_Lat,Residual_Lat,DetectionFlag_Lat,Recovered_Lat,SoftwareSensor_Lng,Residual_Lng,DetectionFlag_Lng,Recovered_Lng
1778782189.399986,72585121,0,6,411007400,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1,4.199986,0,-35.3632621,149.1652374,-35.3632621,0.0,0,-35.3632621,149.1652374,0.0,0,149.1652374
1778782189.5999062,72785041,0,6,411007600,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1,4.399906,0,-35.3632621,149.1652374,-35.3632621,0.0,0,-35.3632621,149.1652374,0.0,0,149.1652374
1778782189.799826,72984961,0,6,411007800,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1,4.599826,0,-35.3632621,149.1652374,-35.3632621,0.0,0,-35.3632621,149.1652374,0.0,0,149.1652374
1778782189.999746,73184881,0,6,411008000,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1,4.799746,0,-35.3632621,149.1652374,-35.3632621,0.0,0,-35.3632621,149.1652374,0.0,0,149.1652374
1778782190.199666,73384801,0,6,411008200,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1,4.999666,0,-35.3632621,149.1652374,-35.3632621,0.0,0,-35.3632621,149.1652374,0.0,0,149.1652374
1778782190.3995862,73584721,0,6,411008400,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,126.75405883789062,0.0,0.0,1,5.199586,0,-35.3632621,149.1652374,-35.3632621,0.0,0,-35.3632621,149.1652374,0.0,0,149.1652374
1778782190.599506,73784641,0,6,411008600,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,128.85446166992188,0.0,0.0,1,5.399506,0,-35.3632621,149.1652374,-35.3632621,0.0,0,-35.3632621,149.1652374,0.0,0,149.1652374
1778782190.799426,73984561,0,6,411008800,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,301.5785217285156,0.0,0.0,1,5.599426,0,-35.3632621,149.1652374,-35.3632621,0.0,0,-35.3632621,149.1652374,0.0,0,149.1652374
1778782190.999346,74184481,0,6,411009000,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,305.9856872558594,0.0,0.0,1,5.799346,0,-35.3632621,149.1652374,-35.3632621,0.0,0,-35.3632621,149.1652374,0.0,0,149.1652374
1778782191.1992662,74384401,0,6,411009200,2418,10,1.21,-35.3632621,149.1652374,584.09,0.0,306.8766784667969,-0.0460000038146972,0.0,1,5.999266,0,-35.3632621,149.1652374,-35.3632621,0.0,0,-35.3632621,149.1652374,0.0,0,149.1652374
