run_id,n_files,success_count_rmse,fail_count_rmse,success_rate_rmse_percent,success_count_mae,fail_count_mae,success_rate_mae_percent,run_success_all_rmse,run_success_all_mae,mean_original_rmse,mean_heuristic_rmse,mean_heuristic_improvement_over_original_rmse_percent,mean_original_mae,mean_heuristic_mae,config_run_id,config_hover_speed_threshold,config_accel_low_threshold,config_accel_high_threshold,config_gyro_high_threshold,config_smoothing_previous,config_smoothing_target,config_hover_w_naive,config_hover_w_cv,config_hover_w_arx,config_translation_w_naive,config_translation_w_cv,config_translation_w_arx,config_maneuver_w_naive,config_maneuver_w_cv,config_maneuver_w_arx
1,24,18,6,75.0,18,6,75.0,False,False,0.0015963915477515288,0.0009885462764879654,36.067775605010375,0.0005646334334951755,0.00035194767893326917,1,0.6197133992289419,0.27501075522266694,1.8688159663305184,0.15044483216697024,0.9325648185495222,0.06743518145047778,0.6953232947412865,0.24128578964543262,0.06339091561328075,0.2507880269229928,0.5850399020303748,0.1641720710466326,0.17187897520836043,0.14868144696957786,0.6794395778220617
2,24,20,4,83.33333333333333,20,4,83.33333333333333,False,False,0.0015963915477515288,0.0013807286349811164,25.93327473435565,0.0005646334334951755,0.0004892609743074825,2,0.6249422188897615,0.7949414806032167,1.7459913995915675,0.31516955774415895,0.9456974822020088,0.05430251779799122,0.5370940183150514,0.24454299411632718,0.21836298756862146,0.15983836419950498,0.4857860001395902,0.35437563566090485,0.12654541683886586,0.199199166130186,0.6742554170309482
3,24,22,2,91.66666666666667,23,1,95.83333333333333,False,False,0.0015963915477515288,0.0010548369666779878,43.96873334452607,0.0005646334334951755,0.0003602052529317436,3,0.7237471831737299,0.8537260313668911,3.0660386148673555,0.37837930401221803,0.8965210564618461,0.1034789435381539,0.7280621051822056,0.11823867096173649,0.15369922385605775,0.2381537792134171,0.5159691999182715,0.24587702086831145,0.15794493379163466,0.3792745002283723,0.46278056597999306
4,24,18,6,75.0,18,6,75.0,False,False,0.0015963915477515288,0.0012202667328540544,26.868839559616465,0.0005646334334951755,0.00044261740287350536,4,0.4139491378257734,0.5393879636021072,1.4295319480781619,0.1547558988624636,0.8181802572937513,0.18181974270624868,0.648965145093725,0.20946153924420027,0.14157331566207476,0.20782527493306743,0.6243016090853826,0.16787311598155,0.18503039254457937,0.25823916157768706,0.5567304458777336
5,24,21,3,87.5,21,3,87.5,False,False,0.0015963915477515288,0.0012063440119388785,35.30793896204995,0.0005646334334951755,0.00042325931618428643,5,0.3855693240990485,0.9791267979503492,1.6176556109643387,0.22075494879094149,0.9781142031145871,0.021885796885412923,0.6535003826706587,0.1597761630932224,0.1867234542361188,0.2675473609308818,0.6275784590584351,0.10487418001068304,0.010667310388174646,0.27968553725846784,0.7096471523533575
6,24,20,4,83.33333333333333,18,6,75.0,False,False,0.0015963915477515288,0.0011862738082080717,31.01284187448877,0.0005646334334951755,0.000423279111439678,6,0.4054914217931632,1.1929097143350544,3.221827159563505,0.19160504635931508,0.9179789597530784,0.08202104024692158,0.6082862480765482,0.24618459195036443,0.1455291599730873,0.15293579576488006,0.5890560969969993,0.2580081072381204,0.05387573620760954,0.24983974061816872,0.6962845231742217
7,24,19,5,79.16666666666667,19,5,79.16666666666667,False,False,0.0015963915477515288,0.0014253877378403851,25.13903234697376,0.0005646334334951755,0.0004987821278534604,7,0.4997002525701986,0.46932075915728333,3.494459614613998,0.279286832154409,0.816363694191283,0.18363630580871704,0.6658607818539688,0.09099143225460554,0.24314778589142566,0.3107611893798124,0.614625227074156,0.07461358354603154,0.07893800115891152,0.371207033835464,0.5498549650056246
8,24,21,3,87.5,21,3,87.5,False,False,0.0015963915477515288,0.0012379301902004198,34.544357812573885,0.0005646334334951755,0.0004304298648275188,8,0.7855391888068091,1.110779702234498,1.2758322993713442,0.37432481871208756,0.9227078664247834,0.07729213357521658,0.6929749891051893,0.10959507189469643,0.1974299390001143,0.09895287966066495,0.6803955862312743,0.22065153410806088,0.20264687893851877,0.3454997476497856,0.45185337341169557
9,24,24,0,100.0,24,0,100.0,True,True,0.0015963915477515288,0.0008029836027098096,56.08059261716428,0.0005646334334951755,0.0002600943360802912,9,0.5502930565251491,0.42865188053013137,3.303412638525846,0.4417333564265451,0.8537200624607539,0.14627993753924606,0.7270401765450965,0.1900624585166553,0.08289736493824819,0.2366139925900179,0.5226681754751905,0.24071783193479152,0.1668058720143185,0.12605909263201262,0.7071350353536688
10,24,18,6,75.0,18,6,75.0,False,False,0.0015963915477515288,0.0015239338167653072,18.577935947513385,0.0005646334334951755,0.000541418888770402,10,0.30973837119291614,1.179098616264617,3.2271242251021643,0.4242494882125307,0.8553525425724791,0.14464745742752094,0.5062289738573459,0.2392358220282394,0.25453520411441466,0.10217375309469252,0.8023100362161348,0.09551621068917263,0.1859866128004425,0.3599826422916524,0.454030744907905
11,24,20,4,83.33333333333333,20,4,83.33333333333333,False,False,0.0015963915477515288,0.0013710093827609456,27.029421362826824,0.0005646334334951755,0.00048255926382312033,11,0.5376411890493656,0.7998035934949439,1.8463774151151329,0.4425948684883658,0.8761648292361597,0.12383517076384032,0.5992968124733072,0.17747033284436736,0.2232328546823255,0.11218781968271696,0.5334475157602188,0.3543646645570642,0.15119174925169424,0.235749865913712,0.6130583848345937
12,24,20,4,83.33333333333333,20,4,83.33333333333333,False,False,0.0015963915477515288,0.001373092191975204,27.819734740756928,0.0005646334334951755,0.00047844824653295797,12,0.36050209793413285,0.47469733703155736,2.0106925148317742,0.314738923305755,0.8414206518673839,0.1585793481326161,0.6947440929479977,0.07505901212418849,0.23019689492781376,0.099838837162181,0.641155560670528,0.2590056021672909,0.0189355912988979,0.19593871939175192,0.7851256893093501
13,24,24,0,100.0,24,0,100.0,True,True,0.0015963915477515288,0.0008181971186542509,54.87527472823587,0.0005646334334951755,0.0002672746620476394,13,0.4071184036852193,0.382311848725025,3.3549070413065096,0.306969391996378,0.885080784736123,0.11491921526387705,0.7023433652139793,0.214526563471679,0.0831300713143416,0.09544025118090825,0.6908507311355327,0.21370901768355893,0.0966032757922237,0.2938707122178381,0.6095260119899382
14,24,19,5,79.16666666666667,20,4,83.33333333333333,False,False,0.0015963915477515288,0.0012116959687412407,35.066328624312234,0.0005646334334951755,0.0004272181747909893,14,0.792082605682983,0.3484178711519589,2.1558978847301047,0.2026861724277334,0.9551010565435024,0.044898943456497586,0.7103876638873138,0.10878597479579659,0.18082636131688964,0.21719667126036593,0.6291089367071514,0.15369439203248259,0.1753142406386286,0.19375538143896512,0.6309303779224061
15,24,24,0,100.0,24,0,100.0,True,True,0.0015963915477515288,0.0007967629930738721,56.29173838254619,0.0005646334334951755,0.0002599867199927996,15,0.575162656224924,0.30058832952488124,3.498385553928635,0.42621241328597836,0.9744193263112553,0.025580673688744726,0.711923918537592,0.21350013880146662,0.07457594266094136,0.229819810768792,0.5701667791266478,0.20001341010456034,0.012859160762628058,0.2040789536188573,0.7830618856185146
16,24,21,3,87.5,21,3,87.5,False,False,0.0015963915477515288,0.001179423646344663,37.41305563677758,0.0005646334334951755,0.00041003937397124135,16,0.43260152908607596,1.0340706019485695,2.2737688265130727,0.24035336869557333,0.9723171753547412,0.02768282464525884,0.6821848488734027,0.14347030301706767,0.17434484810952966,0.10090563688330764,0.5427060190387956,0.3563883440778969,0.11980880569563157,0.23976504004533525,0.6404261542590332
17,24,24,0,100.0,24,0,100.0,True,True,0.0015963915477515288,0.0007945281383482479,57.95253102863999,0.0005646334334951755,0.0002514648709141867,17,0.32858263645374153,0.8341775944589712,2.3814133615689057,0.4337239514217284,0.828337891029107,0.17166210897089296,0.8418588996248558,0.06651856483087037,0.09162253554427374,0.224215301758667,0.6574896746082174,0.11829502363311564,0.031069014582492508,0.4266706141101906,0.5422603713073169
18,24,21,3,87.5,21,3,87.5,False,False,0.0015963915477515288,0.0011988993299255812,36.78812282626295,0.0005646334334951755,0.0004140339749336877,18,0.5972595767667206,0.8693815103321031,2.193256059505713,0.3126525301810511,0.8941008887957527,0.10589911120424733,0.7265603379651001,0.08371419980525135,0.18972546222964853,0.13055855241178405,0.5994181229385863,0.2700233246496297,0.07064782092907486,0.19843943258801952,0.7309127464829055
19,24,18,6,75.0,18,6,75.0,False,False,0.0015963915477515288,0.0015802766619625052,16.957749040156315,0.0005646334334951755,0.0005568860557336808,19,0.33627155724657865,0.7082855226185861,3.4965224919224953,0.4982434015347925,0.8131869297979339,0.18681307020206606,0.6098344545687349,0.11355004009475098,0.2766155053365141,0.2561564446818623,0.6127261879296954,0.13111736738844232,0.03333569559562907,0.3311960859987834,0.6354682184055875
20,24,0,24,0.0,0,24,0.0,False,False,0.0015963915477515288,0.0034399912852422104,-79.26864536866206,0.0005646334334951755,0.0012221557947959454,20,0.605838882862975,1.2372330636315043,2.721446714849148,0.05352039821847108,0.9470787443207831,0.052921255679216905,0.5667335653739174,0.18682208117023721,0.24644435345584528,0.14596148102213702,0.7212955036881554,0.1327430152897074,0.13349441145812338,0.18852685770429406,0.6779787308375826
21,24,20,4,83.33333333333333,18,6,75.0,False,False,0.0015963915477515288,0.0008947287774695838,43.52890240375641,0.0005646334334951755,0.0003067337204650629,21,0.6588060935693989,0.45359731232745293,2.677035407491429,0.16879275573368424,0.8879357333868878,0.1120642666131122,0.7215069756884919,0.21767193074929037,0.06082109356221774,0.2396733727861093,0.6912103341755077,0.06911629303838315,0.18417037147807078,0.3085651502490332,0.507264478272896
22,24,0,24,0.0,0,24,0.0,False,False,0.0015963915477515288,0.003928076177541772,-104.47199404676779,0.0005646334334951755,0.0013921584465974208,22,0.6706154541739654,0.8016804211263913,2.2122955677065286,0.05435136482375299,0.8135438948132782,0.18645610518672184,0.6501011892916424,0.2088452853819123,0.1410535253264452,0.2922508723641568,0.6158760259416374,0.09187310169420577,0.029250950505024888,0.19085778747038842,0.7798912620245867
23,24,12,12,50.0,12,12,50.0,False,False,0.0015963915477515288,0.001650587303093051,5.766856548078455,0.0005646334334951755,0.0006059664608014268,23,0.6980611524440208,1.1107025820009029,3.2725804321845677,0.1445344422528893,0.8449153530601264,0.15508464693987356,0.5317207178582878,0.22234124762964813,0.2459380345120641,0.18756682738739186,0.7072925354352144,0.10514063717739364,0.15262112850466938,0.2643224059312931,0.5830564655640375
24,24,21,3,87.5,21,3,87.5,False,False,0.0015963915477515288,0.0012282349809775424,34.42810230155242,0.0005646334334951755,0.00042893807958678515,24,0.7053858599701984,1.1314162046633243,1.3057693142709246,0.3814540122897869,0.8597933842303572,0.14020661576964277,0.6289934634331623,0.17995254201563102,0.19105399455120672,0.2699647827517086,0.4665266158158054,0.26350860143248606,0.021420702633876035,0.32123109541355527,0.6573482019525687
25,24,21,3,87.5,20,4,83.33333333333333,False,False,0.0015963915477515288,0.0010666638047311123,38.141703728555335,0.0005646334334951755,0.00037012862077861797,25,0.4112168587728322,1.066586605596929,2.2856822780276196,0.18733589030237024,0.9431621898475151,0.0568378101524849,0.8032822818324489,0.07133458062175246,0.12538313754579872,0.1202950742432583,0.6041880720628914,0.2755168536938505,0.07019264383545055,0.3264318093937699,0.6033755467707795
26,24,18,6,75.0,16,8,66.66666666666667,False,False,0.0015963915477515288,0.0013939311980057222,14.48059010812193,0.0005646334334951755,0.0005245571896065229,26,0.79057484359913,0.7862157324787219,3.3632835657306104,0.10190378833314243,0.974672109984001,0.025327890015999,0.6007841033642746,0.28507492989842487,0.11414096673730051,0.08922033849417951,0.6204124037223399,0.2903672577834807,0.0749488979957113,0.2983579451807672,0.6266931568235217
27,24,21,3,87.5,21,3,87.5,False,False,0.0015963915477515288,0.0011640597937304386,38.09251886414833,0.0005646334334951755,0.00040244942253243356,27,0.4925977166723636,0.8265880434965995,1.8231256388118093,0.3689533777253768,0.8003044300793534,0.19969556992064663,0.6783114840088018,0.14328614920399113,0.17840236678720703,0.24778139537039484,0.60744446908171,0.14477413554789523,0.01911692597601815,0.3633391649715416,0.6175439090524403
28,24,21,3,87.5,19,5,79.16666666666667,False,False,0.0015963915477515288,0.001094624961060187,34.92879416651834,0.0005646334334951755,0.00038317550195239174,28,0.4569578225291798,1.0980152795063356,2.869447091781388,0.18514502069506888,0.8556712391975576,0.1443287608024424,0.7162504565887369,0.15566683180694527,0.12808271160431783,0.08921462982085498,0.5748037360595408,0.33598163411960413,0.13095163625320813,0.32170129970284167,0.5473470640439502
29,24,21,3,87.5,19,5,79.16666666666667,False,False,0.0015963915477515288,0.001158375264437567,32.465098925216004,0.0005646334334951755,0.000411542257667814,29,0.45047493728278265,0.7979372131356982,1.250913364318897,0.17911117259101722,0.8773798669981703,0.12262013300182972,0.6646505652397943,0.18860710306517592,0.14674233169502976,0.2123604952535168,0.5644569128964438,0.2231825918500393,0.20693023679707115,0.34774632869482,0.4453234345081089
30,24,24,0,100.0,24,0,100.0,True,True,0.0015963915477515288,0.0009048605503010407,49.33036988935589,0.0005646334334951755,0.00030937493083044214,30,0.34239776836256086,0.7654520099152164,2.67411692547304,0.2008347149344104,0.9473162236165995,0.052683776383400494,0.7147883364552398,0.19186413862536839,0.09334752491939186,0.17067726740381123,0.6373163888577296,0.1920063437384592,0.12469377366358962,0.4171798506912243,0.45812637564518616
31,24,24,0,100.0,24,0,100.0,True,True,0.0015963915477515288,0.0007277106225862875,59.345772605050264,0.0005646334334951755,0.0002298592343707652,31,0.5072205054988597,0.8797653807377137,1.6874792826643459,0.3633594127207272,0.8889878904218786,0.11101210957812135,0.7053706666160321,0.237583957203752,0.05704537618021585,0.2584187325420477,0.6646288412497031,0.07695242620824919,0.0926785635111291,0.14087558882001838,0.7664458476688525
32,24,20,4,83.33333333333333,20,4,83.33333333333333,False,False,0.0015963915477515288,0.0013538458639231101,28.085412642809917,0.0005646334334951755,0.0004756378718950476,32,0.5589788752218704,0.3002183851406409,1.8106961292349362,0.4317513563082469,0.8821631285846311,0.11783687141536892,0.6177614156683034,0.16133616854004154,0.220902415791655,0.17241479651193195,0.5882120575873043,0.23937314590076367,0.13234540639733908,0.30393716345032656,0.5637174301523344
