x,Baseline,Axis,AttackType,AttackMagnitude,AttackActive,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,Residual_Roll,AbsResidual_Roll,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,WindowRule,W,N,RollingMeanMultiplier,AlignmentOffset,PredictionColumn,CleanFile,PredictionFile
0.9996,baseline_02_high_altitude_hover,Roll,ramp,0.041166,0,0.0868264585733413,0.0868264585733413,0.0856419527376862,0.001184505835655103,0.001184505835655103,0.006861,0,0.0,0.001825621701201438,0,0,0,W10_N3_mean1.25x,10,3,1.25,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.09956,baseline_02_high_altitude_hover,Roll,ramp,0.041166,0,0.0857989564538002,0.0857989564538002,0.0869972909697055,-0.0011983345159053,0.0011983345159053,0.006861,0,0.0,0.0016854127203729183,0,0,0,W10_N3_mean1.25x,10,3,1.25,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.19952,baseline_02_high_altitude_hover,Roll,ramp,0.041166,0,0.0895800217986106,0.0895800217986106,0.0938376534530642,-0.0042576316544536,0.0042576316544536,0.006861,0,0.0,0.0021052819059133587,0,0,0,W10_N3_mean1.25x,10,3,1.25,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.29948,baseline_02_high_altitude_hover,Roll,ramp,0.041166,0,0.0926376655697822,0.0926376655697822,0.0950970825978912,-0.0024594170281089928,0.0024594170281089928,0.006861,0,0.0,0.0021223761733439885,0,0,0,W10_N3_mean1.25x,10,3,1.25,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.39944,baseline_02_high_altitude_hover,Roll,ramp,0.041166,0,0.0940398648381233,0.0940398648381233,0.0962858373442182,-0.002245972506094901,0.002245972506094901,0.006861,0,0.0,0.0019474501505950981,0,0,0,W10_N3_mean1.25x,10,3,1.25,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.4994,baseline_02_high_altitude_hover,Roll,ramp,0.041166,0,0.098793052136898,0.098793052136898,0.1016369392226875,-0.0028438870857895038,0.0028438870857895038,0.006861,0,0.0,0.0019469777973000785,0,0,0,W10_N3_mean1.25x,10,3,1.25,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.59936,baseline_02_high_altitude_hover,Roll,ramp,0.041166,0,0.098345823585987,0.098345823585987,0.0986381872705395,-0.00029236368455250183,0.00029236368455250183,0.006861,0,0.0,0.0018952352232949582,0,0,0,W10_N3_mean1.25x,10,3,1.25,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.69932,baseline_02_high_altitude_hover,Roll,ramp,0.041166,0,0.0976225063204765,0.0976225063204765,0.098073975525625,-0.0004514692051484914,0.0004514692051484914,0.006861,0,0.0,0.0017442279685389375,0,0,0,W10_N3_mean1.25x,10,3,1.25,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.800113,baseline_02_high_altitude_hover,Roll,ramp,0.041166,0,0.0965468510985374,0.0965468510985374,0.0971163502016834,-0.0005694991031459928,0.0005694991031459928,0.006861,0,0.0,0.0016651258829149473,0,0,0,W10_N3_mean1.25x,10,3,1.25,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.900073,baseline_02_high_altitude_hover,Roll,ramp,0.041166,0,0.0950651913881301,0.0950651913881301,0.0950975084522818,-3.231706415170177e-05,3.231706415170177e-05,0.006861,0,0.0,0.001553539768300609,0,0,0,W10_N3_mean1.25x,10,3,1.25,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
