aggregation_level,baseline_name,axis,component,source_prediction_file,n,mean_residual,std_residual,mae,rmse,max_abs_residual,p95_abs_residual,p99_abs_residual,p995_abs_residual,mean_abs_plus_3std_abs_threshold,recommended_threshold
per_baseline,baseline_01_hover_ATT,Roll,hybrid,PHASE3B_RESIDUAL_CSV,250,0.0007208205144612441,0.0023502860772802404,0.0018291210668792911,0.002453840149754112,0.0074360525719814,0.0056056466232107145,0.006864536559184022,0.006934068526263574,0.006746187121299032,0.006934068526263574
per_baseline,baseline_01_hover_ATT,Roll,naive,PHASE3B_RESIDUAL_CSV,250,1.4580130577081295e-05,0.0016223323378338453,0.0009405401945113709,0.0016191500689347947,0.0079713836312294,0.0035888291895388993,0.005701199024915578,0.006395251266658233,0.0049023660425720865,0.006395251266658233
per_baseline,baseline_01_hover_ATT,Roll,cv,PHASE3B_RESIDUAL_CSV,250,-6.770133972140471e-06,0.0020454719426484923,0.001099765896797134,0.0020413881260072883,0.0080023258924483,0.0051695629954338265,0.006749240308999922,0.007065312080085184,0.006269575545752851,0.007065312080085184
per_baseline,baseline_01_hover_ATT,Roll,arx,PHASE3B_RESIDUAL_CSV,250,0.0013064172883843733,0.0034605424301023605,0.00274281428296127,0.003692448865764585,0.013405475176192,0.008615834136924475,0.012329242467696089,0.012788650055522327,0.010173912506133817,0.012788650055522327
per_baseline,baseline_01_hover_ATT,Pitch,hybrid,PHASE3B_RESIDUAL_CSV,250,0.0003437569138595977,0.002552298086592914,0.0018681925098924088,0.0025702796417045406,0.0095786083686356,0.00581405972425235,0.009160940911170437,0.009317423853755134,0.007174639642160356,0.009317423853755134
per_baseline,baseline_01_hover_ATT,Pitch,naive,PHASE3B_RESIDUAL_CSV,250,5.6443810462948e-05,0.002162358626661264,0.0011393723487853585,0.002158767600904456,0.0110741034150122,0.00551147088408473,0.008311354890465722,0.00950411252677435,0.006651222839607453,0.00950411252677435
per_baseline,baseline_01_hover_ATT,Pitch,cv,PHASE3B_RESIDUAL_CSV,250,-2.2703409194660854e-06,0.002208124650054364,0.0011572733819484261,0.0022037051451464394,0.0114417821168899,0.005179634317755657,0.007531107962131493,0.007916412092745385,0.006794687142818908,0.007916412092745385
per_baseline,baseline_01_hover_ATT,Pitch,arx,PHASE3B_RESIDUAL_CSV,250,0.000502980442717964,0.003286197113175921,0.0025058431962158654,0.0033179638977143696,0.0147312192119093,0.006819809789957945,0.012735331471866673,0.014167203220986307,0.00904324783108983,0.014167203220986307
per_baseline,baseline_01_hover_ATT,Yaw,hybrid,PHASE3B_RESIDUAL_CSV,250,-0.00047427978517999766,0.0026612882473816815,0.0010422485351509372,0.002697974542085162,0.0211288452148892,0.0044197082519644645,0.013596328735385377,0.01838531494142893,0.008522816506577895,0.01838531494142893
per_baseline,baseline_01_hover_ATT,Yaw,naive,PHASE3B_RESIDUAL_CSV,250,-0.0008712158203125014,0.0045341812580196,0.0018143310546870422,0.004608208056003621,0.03070068359375,0.008706665039062486,0.025043029785156247,0.028225860595703107,0.014547854892180495,0.028225860595703107
per_baseline,baseline_01_hover_ATT,Yaw,cv,PHASE3B_RESIDUAL_CSV,250,1.0864257815682932e-05,0.0013790506084043973,0.00043859863281022024,0.0013763326234294754,0.016143798828125,0.0013290405273437495,0.0049249267578124895,0.008327178955078108,0.004360182476858823,0.008327178955078108
per_baseline,baseline_01_hover_ATT,Yaw,arx,PHASE3B_RESIDUAL_CSV,250,-0.005881986976691657,0.006574232075762385,0.006525826008951705,0.008811663638065704,0.0384716840788428,0.016035127420027977,0.032724600749097554,0.03594035800861993,0.024324654394812566,0.03594035800861993
per_baseline,baseline_02_high_altitude_hover_ATT,Roll,hybrid,PHASE3B_RESIDUAL_CSV,282,9.280179156850363e-06,0.002143520016521952,0.0013847311047823527,0.0021397361983060345,0.0083945136167884,0.004962959077417069,0.006861202350466509,0.008136893862494358,0.006287194195347559,0.008136893862494358
per_baseline,baseline_02_high_altitude_hover_ATT,Roll,naive,PHASE3B_RESIDUAL_CSV,282,0.00014314951097710695,0.0015366147837415568,0.0009283546279085023,0.0015405530759032106,0.0058065876364708,0.003771107643842654,0.005080065131187336,0.0052745210379362105,0.004623156784782029,0.0052745210379362105
per_baseline,baseline_02_high_altitude_hover_ATT,Roll,cv,PHASE3B_RESIDUAL_CSV,282,7.599486526888987e-06,0.0020185272865449622,0.0011546806240757778,0.0020149594898987272,0.0078853666782379,0.004908344522118584,0.00592817239463316,0.006826382391154781,0.006117371832715935,0.006826382391154781
per_baseline,baseline_02_high_altitude_hover_ATT,Roll,arx,PHASE3B_RESIDUAL_CSV,282,-3.152253233478297e-05,0.0026989734660096704,0.001741469191363422,0.0026943682060431794,0.0128828223543717,0.006206001009521215,0.00923917165722515,0.011257300175400166,0.007920265762628633,0.011257300175400166
per_baseline,baseline_02_high_altitude_hover_ATT,Pitch,hybrid,PHASE3B_RESIDUAL_CSV,282,0.0008554231345032985,0.0022770078368292168,0.001887010247224681,0.0024286061306104494,0.012200570629421,0.00455854982835289,0.007947106345062283,0.01008308102919718,0.006481652928168826,0.01008308102919718
