input_file,output_recovered_csv,target,official_detector,threshold_type,software_sensor,time_col,detection_col,attacked_future_col,v9_prediction_col,clean_reference_col,attack_active_col,n_rows,detected_count,attack_active_count,recovered_by_v9_count,kept_attacked_measurement_count,attacked_rmse,recovered_rmse,rmse_improvement_percent,attacked_mae,recovered_mae,mae_improvement_percent,attacked_attack_region_rmse,recovered_attack_region_rmse,attacked_clean_region_rmse,recovered_clean_region_rmse,TP,FP,TN,FN,precision,recall,false_alarm_rate,recovery_plot,error_plot
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_02_high_altitude_hover_Pitch_pulse_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/recovery_v9_corrected_official/recovered_csvs/baseline_02_high_altitude_hover_Pitch_pulse_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv,Pitch,W10_N3_mean1x,p99_abs,V9_trained_hybrid,,PointDetectionFlag,AttackedFuture_Pitch,V9PredictedFuture_Pitch,CleanFuture_Pitch,AttackActive,282,14,14,14,268,0.014165524634485395,0.0014736741091008819,89.5967558764941,0.0031562553191489344,0.0002679347588538679,91.51099224361498,0.06357599999999997,0.006613966483960106,0.0,0.0,14,0,268,0,1.0,1.0,0.0,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_02_high_altitude_hover_Pitch_pulse_W10_N3_mean1x_detection_official_phase5_recovery_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_02_high_altitude_hover_Pitch_pulse_W10_N3_mean1x_detection_official_phase5_error_reduction_Pitch.png
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_02_high_altitude_hover_Pitch_ramp_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/recovery_v9_corrected_official/recovered_csvs/baseline_02_high_altitude_hover_Pitch_ramp_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv,Pitch,W10_N3_mean1x,p99_abs,V9_trained_hybrid,,PointDetectionFlag,AttackedFuture_Pitch,V9PredictedFuture_Pitch,CleanFuture_Pitch,AttackActive,282,70,85,70,212,0.015158891907774127,0.002020487609923189,86.67127107828378,0.0071861170212765835,0.000784542842997755,89.08252063423281,0.02761102616321444,0.0036801988297989934,0.0,0.0,70,0,197,15,1.0,0.8235294117647058,0.0,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_02_high_altitude_hover_Pitch_ramp_W10_N3_mean1x_detection_official_phase5_recovery_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_02_high_altitude_hover_Pitch_ramp_W10_N3_mean1x_detection_official_phase5_error_reduction_Pitch.png
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_02_high_altitude_hover_Roll_bias_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/recovery_v9_corrected_official/recovered_csvs/baseline_02_high_altitude_hover_Roll_bias_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv,Roll,W10_N3_mean1x,p99_abs,V9_trained_hybrid,,PointDetectionFlag,AttackedFuture_Roll,V9PredictedFuture_Roll,CleanFuture_Roll,AttackActive,282,85,85,85,197,0.015067191891303485,0.0012273233818049592,91.85433230917204,0.008272127659574465,0.00043810462158640716,94.70384597994776,0.02744399999999999,0.002235497041070826,0.0,0.0,85,0,197,0,1.0,1.0,0.0,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_02_high_altitude_hover_Roll_bias_W10_N3_mean1x_detection_official_phase5_recovery_Roll.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_02_high_altitude_hover_Roll_bias_W10_N3_mean1x_detection_official_phase5_error_reduction_Roll.png
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_02_high_altitude_hover_Roll_pulse_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/recovery_v9_corrected_official/recovered_csvs/baseline_02_high_altitude_hover_Roll_pulse_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv,Roll,W10_N3_mean1x,p99_abs,V9_trained_hybrid,,PointDetectionFlag,AttackedFuture_Roll,V9PredictedFuture_Roll,CleanFuture_Roll,AttackActive,282,14,14,14,268,0.012229730026073278,0.0010241944126034872,91.62537185677897,0.0027249361702127656,0.00019586684823878964,92.81205738395346,0.054888,0.004596665895251167,0.0,0.0,14,0,268,0,1.0,1.0,0.0,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_02_high_altitude_hover_Roll_pulse_W10_N3_mean1x_detection_official_phase5_recovery_Roll.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_02_high_altitude_hover_Roll_pulse_W10_N3_mean1x_detection_official_phase5_error_reduction_Roll.png
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_02_high_altitude_hover_Roll_ramp_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/recovery_v9_corrected_official/recovered_csvs/baseline_02_high_altitude_hover_Roll_ramp_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv,Roll,W10_N3_mean1x,p99_abs,V9_trained_hybrid,,PointDetectionFlag,AttackedFuture_Roll,V9PredictedFuture_Roll,CleanFuture_Roll,AttackActive,282,68,85,68,214,0.013087348355258372,0.0016294379727964776,87.54951783535444,0.0062040957446808384,0.0006029439794042906,90.28151717482386,0.023837831949894833,0.002967925015359837,0.0,0.0,68,0,197,17,1.0,0.8,0.0,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_02_high_altitude_hover_Roll_ramp_W10_N3_mean1x_detection_official_phase5_recovery_Roll.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_02_high_altitude_hover_Roll_ramp_W10_N3_mean1x_detection_official_phase5_error_reduction_Roll.png
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_02_high_altitude_hover_Yaw_bias_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/recovery_v9_corrected_official/recovered_csvs/baseline_02_high_altitude_hover_Yaw_bias_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv,Yaw,W10_N3_mean1x,p99_abs,V9_trained_hybrid,,PointDetectionFlag,AttackedFuture_Yaw,V9PredictedFuture_Yaw,CleanFuture_Yaw,AttackActive,282,85,85,85,197,0.023658192427491332,0.0016425665748493101,93.05709183030987,0.01298872340425576,0.00045377041431078695,96.50642792068305,0.04309200000000146,0.002991837988482977,0.0,0.0,85,0,197,0,1.0,1.0,0.0,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_02_high_altitude_hover_Yaw_bias_W10_N3_mean1x_detection_official_phase5_recovery_Yaw.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_02_high_altitude_hover_Yaw_bias_W10_N3_mean1x_detection_official_phase5_error_reduction_Yaw.png
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_02_high_altitude_hover_Yaw_pulse_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/recovery_v9_corrected_official/recovered_csvs/baseline_02_high_altitude_hover_Yaw_pulse_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv,Yaw,W10_N3_mean1x,p99_abs,V9_trained_hybrid,,PointDetectionFlag,AttackedFuture_Yaw,V9PredictedFuture_Yaw,CleanFuture_Yaw,AttackActive,282,16,14,16,266,0.019202868615492186,0.0009442304938089247,95.08286749904046,0.004278638297872486,8.634202023886859e-05,97.98202104903794,0.08618400000000291,0.00016282125882137723,0.0,0.0009678641181094224,14,2,266,0,0.875,1.0,0.007462686567164179,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_02_high_altitude_hover_Yaw_pulse_W10_N3_mean1x_detection_official_phase5_recovery_Yaw.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_02_high_altitude_hover_Yaw_pulse_W10_N3_mean1x_detection_official_phase5_error_reduction_Yaw.png
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_02_high_altitude_hover_Yaw_ramp_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/recovery_v9_corrected_official/recovered_csvs/baseline_02_high_altitude_hover_Yaw_ramp_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv,Yaw,W10_N3_mean1x,p99_abs,V9_trained_hybrid,,PointDetectionFlag,AttackedFuture_Yaw,V9PredictedFuture_Yaw,CleanFuture_Yaw,AttackActive,282,70,85,70,212,0.02054948314111699,0.002197271163591059,89.30741396996702,0.009741542553191719,0.0007339555975721502,92.46571481298231,0.037429669668594456,0.004002199630071625,0.0,0.0,70,0,197,15,1.0,0.8235294117647058,0.0,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_02_high_altitude_hover_Yaw_ramp_W10_N3_mean1x_detection_official_phase5_recovery_Yaw.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_02_high_altitude_hover_Yaw_ramp_W10_N3_mean1x_detection_official_phase5_error_reduction_Yaw.png
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_03_forward_motion_Pitch_bias_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/recovery_v9_corrected_official/recovered_csvs/baseline_03_forward_motion_Pitch_bias_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv,Pitch,W10_N3_mean1x,p99_abs,V9_trained_hybrid,,PointDetectionFlag,AttackedFuture_Pitch,V9PredictedFuture_Pitch,CleanFuture_Pitch,AttackActive,227,68,68,68,159,0.03544446029549281,0.0036948157169747185,89.57575969228523,0.019399471365638764,0.0015382393048483055,92.070715351693,0.06476,0.0067507380232760825,0.0,0.0,68,0,159,0,1.0,1.0,0.0,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_03_forward_motion_Pitch_bias_W10_N3_mean1x_detection_official_phase5_recovery_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_03_forward_motion_Pitch_bias_W10_N3_mean1x_detection_official_phase5_error_reduction_Pitch.png
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_03_forward_motion_Pitch_pulse_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/recovery_v9_corrected_official/recovered_csvs/baseline_03_forward_motion_Pitch_pulse_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv,Pitch,W10_N3_mean1x,p99_abs,V9_trained_hybrid,,PointDetectionFlag,AttackedFuture_Pitch,V9PredictedFuture_Pitch,CleanFuture_Pitch,AttackActive,227,13,10,13,214,0.027184660095233706,0.0029985950530870115,88.96953266076424,0.005705726872246695,0.000680246730689304,88.07782521105065,0.12952,0.010794583787389626,0.0,0.002009030899818767,10,3,214,0,0.7692307692307693,1.0,0.013824884792626729,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_03_forward_motion_Pitch_pulse_W10_N3_mean1x_detection_official_phase5_recovery_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_corrected_official/baseline_03_forward_motion_Pitch_pulse_W10_N3_mean1x_detection_official_phase5_error_reduction_Pitch.png
