x,Baseline,Axis,AttackType,AttackActive,AbsResidual,Threshold_static_global,PointExceed_static_global,WindowCount_static_global,WindowDetection_static_global,Threshold_scenario_specific,PointExceed_scenario_specific,WindowCount_scenario_specific,WindowDetection_scenario_specific,Threshold_yaw_static_global,PointExceed_yaw_static_global,WindowCount_yaw_static_global,WindowDetection_yaw_static_global
3.799313,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0010437011719091,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
3.900106,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0002471923828011,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
4.000066,baseline_02_high_altitude_hover,Yaw,pulse,0,0.000425720214821,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
4.100026,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0002059936523437,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
4.199986,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001922607421533,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
4.299946,baseline_02_high_altitude_hover,Yaw,pulse,0,0.000302124023392,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
4.399906,baseline_02_high_altitude_hover,Yaw,pulse,0,1.3732910190356051e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
4.499866,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001922607422102,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
4.599826,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0002609252929914,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
4.699786,baseline_02_high_altitude_hover,Yaw,pulse,0,6.866455078125e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
4.799746,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001922607421533,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
4.899706,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001785278320198,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
4.999666,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001373291015625,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
5.099626,baseline_02_high_altitude_hover,Yaw,pulse,0,1.3732910133512632e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
5.199586,baseline_02_high_altitude_hover,Yaw,pulse,0,5.493164059089395e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
5.299546,baseline_02_high_altitude_hover,Yaw,pulse,0,8.239746091476263e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
5.399506,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001098632811817,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
5.499466,baseline_02_high_altitude_hover,Yaw,pulse,0,9.613037104827526e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
5.599426,baseline_02_high_altitude_hover,Yaw,pulse,0,6.866455078125e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
5.699386,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001235961914289,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
5.799346,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001922607422102,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
5.899306,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001785278320767,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
6.000099,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001235961914289,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
6.100059,baseline_02_high_altitude_hover,Yaw,pulse,0,4.119873045738132e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
6.200019,baseline_02_high_altitude_hover,Yaw,pulse,0,0.000274658203125,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
6.299979,baseline_02_high_altitude_hover,Yaw,pulse,0,8.239746091476263e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
6.399939,baseline_02_high_altitude_hover,Yaw,pulse,0,1.3732910190356051e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
6.499899,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0006591796875454,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
6.599859,baseline_02_high_altitude_hover,Yaw,pulse,0,0.000274658203125,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
6.699819,baseline_02_high_altitude_hover,Yaw,pulse,0,6.866455078125e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
6.799779,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001235961913721,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
6.899739,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001098632812386,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
6.999699,baseline_02_high_altitude_hover,Yaw,pulse,0,8.239746085791921e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
7.099659,baseline_02_high_altitude_hover,Yaw,pulse,0,8.239746091476263e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
7.199619,baseline_02_high_altitude_hover,Yaw,pulse,0,6.866455078125e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
7.299579,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
7.399539,baseline_02_high_altitude_hover,Yaw,pulse,0,8.239746097160605e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
7.499499,baseline_02_high_altitude_hover,Yaw,pulse,0,1.3732910133512632e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
7.599459,baseline_02_high_altitude_hover,Yaw,pulse,0,1.3732910133512632e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
7.699419,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001785278320767,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
7.799379,baseline_02_high_altitude_hover,Yaw,pulse,0,1.3732910190356051e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
7.899339,baseline_02_high_altitude_hover,Yaw,pulse,0,1.373291024719947e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
8.000132,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001785278320198,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
8.100092,baseline_02_high_altitude_hover,Yaw,pulse,0,4.11987304005379e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
8.200052,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001510620117528,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
8.300012,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0003158569336392,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
8.399972,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
8.499932,baseline_02_high_altitude_hover,Yaw,pulse,0,1.3732910190356051e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
8.599892,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0002059936523437,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
8.699852,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001510620117528,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
8.799812,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001922607421533,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
8.899772,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0002334594726107,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
8.999732,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0003295898437158,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
9.099692,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001235961913721,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
9.199652,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001922607422102,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
9.299612,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001785278320198,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
9.399572,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
9.499532,baseline_02_high_altitude_hover,Yaw,pulse,0,1.3732910133512632e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
9.599492,baseline_02_high_altitude_hover,Yaw,pulse,0,8.239746091476263e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
9.699452,baseline_02_high_altitude_hover,Yaw,pulse,0,4.1198730514224735e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
9.799412,baseline_02_high_altitude_hover,Yaw,pulse,0,2.7465820323868684e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
9.899372,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0002746582030681,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
9.999332,baseline_02_high_altitude_hover,Yaw,pulse,0,6.866455078125e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
10.100125,baseline_02_high_altitude_hover,Yaw,pulse,0,9.61303711619621e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
10.200085,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0001647949218295,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
10.300045,baseline_02_high_altitude_hover,Yaw,pulse,0,5.493164059089395e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
10.400005,baseline_02_high_altitude_hover,Yaw,pulse,0,1.3732910133512632e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
