x,Baseline,Axis,AttackType,AttackActive,AbsResidual,Threshold_static_global,PointExceed_static_global,WindowCount_static_global,WindowDetection_static_global,Threshold_scenario_specific,PointExceed_scenario_specific,WindowCount_scenario_specific,WindowDetection_scenario_specific,Threshold_dynamic_xkf1,PointExceed_dynamic_xkf1,WindowCount_dynamic_xkf1,WindowDetection_dynamic_xkf1
0.0,baseline_01_hover,Pitch,ramp,0,0.0016272417768399,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
0.09996,baseline_01_hover,Pitch,ramp,0,0.002029144347183,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
0.19992,baseline_01_hover,Pitch,ramp,0,0.001867980437376,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
0.29988,baseline_01_hover,Pitch,ramp,0,0.0010712997887117,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
0.39984,baseline_01_hover,Pitch,ramp,0,0.0014935088559918,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
0.4998,baseline_01_hover,Pitch,ramp,0,0.0018757607741952,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
0.59976,baseline_01_hover,Pitch,ramp,0,0.0006300029294556,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
0.69972,baseline_01_hover,Pitch,ramp,0,0.0070487530542601,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
0.79968,baseline_01_hover,Pitch,ramp,0,0.0055580663250136,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
0.89964,baseline_01_hover,Pitch,ramp,0,0.0009376383151729,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
0.9996,baseline_01_hover,Pitch,ramp,0,0.0013956428376021,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
1.09956,baseline_01_hover,Pitch,ramp,0,0.0025098084764908,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
1.19952,baseline_01_hover,Pitch,ramp,0,0.0001172921678039,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
1.29948,baseline_01_hover,Pitch,ramp,0,0.0020462708109796,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
1.39944,baseline_01_hover,Pitch,ramp,0,0.0027659132073006,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
1.4994,baseline_01_hover,Pitch,ramp,0,0.000468835405997,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
1.59936,baseline_01_hover,Pitch,ramp,0,9.934940193069564e-05,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
1.69932,baseline_01_hover,Pitch,ramp,0,0.0019089759777033,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
1.800113,baseline_01_hover,Pitch,ramp,0,0.0002568343215344,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
1.900073,baseline_01_hover,Pitch,ramp,0,0.0033179236929499,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
2.000033,baseline_01_hover,Pitch,ramp,0,0.0008933782461984,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
2.099993,baseline_01_hover,Pitch,ramp,0,0.0007949679952505,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
2.199953,baseline_01_hover,Pitch,ramp,0,0.003575036864119,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
2.299913,baseline_01_hover,Pitch,ramp,0,0.0022890608895639,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
2.399873,baseline_01_hover,Pitch,ramp,0,0.0004542958201926,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
2.499833,baseline_01_hover,Pitch,ramp,0,0.003533062513408,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
2.599793,baseline_01_hover,Pitch,ramp,0,0.0012131572398644,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
2.699753,baseline_01_hover,Pitch,ramp,0,0.003288092269515,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
2.799713,baseline_01_hover,Pitch,ramp,0,0.0013996632685161,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
2.899673,baseline_01_hover,Pitch,ramp,0,0.0003420379910675,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
2.999633,baseline_01_hover,Pitch,ramp,0,0.0005886203885309,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
3.099593,baseline_01_hover,Pitch,ramp,0,0.0022580522692308,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
3.199553,baseline_01_hover,Pitch,ramp,0,0.0006847705703112,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
3.299513,baseline_01_hover,Pitch,ramp,0,0.0014449386343898,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
3.399473,baseline_01_hover,Pitch,ramp,0,0.0019708193685561,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
3.499433,baseline_01_hover,Pitch,ramp,0,0.0027750808850327,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
3.599393,baseline_01_hover,Pitch,ramp,0,0.0012948926250231,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
3.699353,baseline_01_hover,Pitch,ramp,0,0.0002442572722352,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
3.799313,baseline_01_hover,Pitch,ramp,0,0.0049354782806574,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
3.900106,baseline_01_hover,Pitch,ramp,0,0.000419319725519,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
4.000066,baseline_01_hover,Pitch,ramp,0,0.001732941352228,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
4.100026,baseline_01_hover,Pitch,ramp,0,0.0012274055715204,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
4.199986,baseline_01_hover,Pitch,ramp,0,0.0018642562207577,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
4.299946,baseline_01_hover,Pitch,ramp,0,0.000436853143938,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
4.399906,baseline_01_hover,Pitch,ramp,0,0.0009872245218229,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
4.499866,baseline_01_hover,Pitch,ramp,0,9.224972241909934e-05,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
4.599826,baseline_01_hover,Pitch,ramp,0,0.0012535403728534,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
4.699786,baseline_01_hover,Pitch,ramp,0,0.0007637170222876,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
4.799746,baseline_01_hover,Pitch,ramp,0,0.0072574932638639,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
4.899706,baseline_01_hover,Pitch,ramp,0,0.004138948041619,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
4.999666,baseline_01_hover,Pitch,ramp,0,0.000330888841688,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
5.099626,baseline_01_hover,Pitch,ramp,0,2.604137161489606e-05,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
5.199586,baseline_01_hover,Pitch,ramp,0,0.0013989187732483,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
5.299546,baseline_01_hover,Pitch,ramp,0,0.0041008238954597,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
5.399506,baseline_01_hover,Pitch,ramp,0,0.000204838265618,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
5.499466,baseline_01_hover,Pitch,ramp,0,0.0011009269804409,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
5.599426,baseline_01_hover,Pitch,ramp,0,2.602070895268982e-05,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
5.699386,baseline_01_hover,Pitch,ramp,0,0.0002308896102769,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
5.799346,baseline_01_hover,Pitch,ramp,0,0.0009114902095343,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
5.899306,baseline_01_hover,Pitch,ramp,0,0.0009832920574553,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
6.000099,baseline_01_hover,Pitch,ramp,0,0.0023027110164175,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
6.100059,baseline_01_hover,Pitch,ramp,0,0.0017670937748153,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
6.200019,baseline_01_hover,Pitch,ramp,0,0.0009920495388465,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
6.299979,baseline_01_hover,Pitch,ramp,0,0.0017399146892383,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
6.399939,baseline_01_hover,Pitch,ramp,0,0.0003374714231447,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
6.499899,baseline_01_hover,Pitch,ramp,0,0.003955669007302,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
6.599859,baseline_01_hover,Pitch,ramp,0,0.000672081693868,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
6.699819,baseline_01_hover,Pitch,ramp,0,0.0014229559667852,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
6.799779,baseline_01_hover,Pitch,ramp,0,0.0011541133277099,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
6.899739,baseline_01_hover,Pitch,ramp,0,0.0054548263062788,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
6.999699,baseline_01_hover,Pitch,ramp,0,0.0001477822401852,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
7.099659,baseline_01_hover,Pitch,ramp,0,0.0019182473023758,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
7.199619,baseline_01_hover,Pitch,ramp,0,0.0006496730111568,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
7.299579,baseline_01_hover,Pitch,ramp,0,0.0037908685297251,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
7.399539,baseline_01_hover,Pitch,ramp,0,0.0047638368965785,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
7.499499,baseline_01_hover,Pitch,ramp,1,0.0052350137996096,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
7.599459,baseline_01_hover,Pitch,ramp,1,0.0021354146381409,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
7.699419,baseline_01_hover,Pitch,ramp,1,0.0015210516527511,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
7.799379,baseline_01_hover,Pitch,ramp,1,0.0004362577626542,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
7.899339,baseline_01_hover,Pitch,ramp,1,0.0021075104470313,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
7.999299,baseline_01_hover,Pitch,ramp,1,0.0054017068627701,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
8.100092,baseline_01_hover,Pitch,ramp,1,0.0034330304153167,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
8.200052,baseline_01_hover,Pitch,ramp,1,0.0050589146012623,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
8.300012,baseline_01_hover,Pitch,ramp,1,0.004229939348269,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
8.399972,baseline_01_hover,Pitch,ramp,1,0.0019895893280077,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
8.499932,baseline_01_hover,Pitch,ramp,1,0.0002951553029641,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
8.599892,baseline_01_hover,Pitch,ramp,1,0.0008606340324496,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
8.699852,baseline_01_hover,Pitch,ramp,1,0.000617407488701,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
8.799812,baseline_01_hover,Pitch,ramp,1,0.0007654572523455,0.01619,0,0.0,0,0.009161,0,0.0,0,0.009161,0,0.0,0
8.899772,baseline_01_hover,Pitch,ramp,1,0.0106521815144912,0.01619,0,0.0,0,0.009161,1,1.0,0,0.009161,1,1.0,0
8.999732,baseline_01_hover,Pitch,ramp,1,0.0143555878097507,0.01619,0,0.0,0,0.009161,1,2.0,0,0.009161,1,2.0,0
9.099692,baseline_01_hover,Pitch,ramp,1,0.0154566784375304,0.01619,0,0.0,0,0.009161,1,3.0,1,0.009161,1,3.0,1
9.199652,baseline_01_hover,Pitch,ramp,1,0.015455762682404,0.01619,0,0.0,0,0.009161,1,4.0,1,0.009161,1,4.0,1
9.299612,baseline_01_hover,Pitch,ramp,1,0.0164346233169408,0.01619,1,1.0,0,0.009161,1,5.0,1,0.009161,1,5.0,1
9.399572,baseline_01_hover,Pitch,ramp,1,0.0169473092048758,0.01619,1,2.0,0,0.009161,1,6.0,1,0.009161,1,6.0,1
9.499532,baseline_01_hover,Pitch,ramp,1,0.0179429476375657,0.01619,1,3.0,1,0.009161,1,7.0,1,0.009161,1,7.0,1
9.599492,baseline_01_hover,Pitch,ramp,1,0.0173568744679819,0.01619,1,4.0,1,0.009161,1,8.0,1,0.009161,1,8.0,1
9.699452,baseline_01_hover,Pitch,ramp,1,0.013837993394013,0.01619,0,4.0,1,0.009161,1,9.0,1,0.009161,1,9.0,1
9.799412,baseline_01_hover,Pitch,ramp,1,0.0121937927330924,0.01619,0,4.0,1,0.009161,1,10.0,1,0.009161,1,10.0,1
9.899372,baseline_01_hover,Pitch,ramp,1,0.0150072853188454,0.01619,0,4.0,1,0.009161,1,10.0,1,0.009161,1,10.0,1
9.999332,baseline_01_hover,Pitch,ramp,1,0.0174127414048914,0.01619,1,5.0,1,0.009161,1,10.0,1,0.009161,1,10.0,1
