x,Baseline,Axis,AttackType,AttackMagnitude,AttackActive,CleanFuture_Pitch,AttackedFuture_Pitch,V9PredictedFuture_Pitch,Residual_Pitch,AbsResidual_Pitch,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,WindowRule,W,N,RollingMeanMultiplier,AlignmentOffset,PredictionColumn,CleanFile,PredictionFile,Pitch_recovered_future_v9_phase5,Pitch_recovery_source_phase5,Pitch_attacked_error_vs_clean_phase5,Pitch_recovered_error_vs_clean_phase5
1.000433,baseline_03_forward_motion,Pitch,pulse,0.12952,0,0.0841968730092048,0.0841968730092048,0.0857997347278132,-0.0016028617186084,0.0016028617186084,0.01619,0,0.0,0.001084089143939,0,0,0,W10_N3_mean1.5x,10,3,1.5,909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.0841968730092048,attacked_measurement,0.0,0.0
1.100393,baseline_03_forward_motion,Pitch,pulse,0.12952,0,0.081691950559616,0.081691950559616,0.0808067634909721,0.0008851870686439,0.0008851870686439,0.01619,0,0.0,0.0011676342023226,0,0,0,W10_N3_mean1.5x,10,3,1.5,909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.081691950559616,attacked_measurement,0.0,0.0
1.200353,baseline_03_forward_motion,Pitch,pulse,0.12952,0,0.08460483700037,0.08460483700037,0.0869829859938964,-0.0023781489935263,0.0023781489935263,0.01619,0,0.0,0.0012535202357892,0,0,0,W10_N3_mean1.5x,10,3,1.5,909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.08460483700037,attacked_measurement,0.0,0.0
1.300313,baseline_03_forward_motion,Pitch,pulse,0.12952,0,0.0841443315148353,0.0841443315148353,0.0849286834410997,-0.0007843519262644,0.0007843519262644,0.01619,0,0.0,0.0011698656027808,0,0,0,W10_N3_mean1.5x,10,3,1.5,909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.0841443315148353,attacked_measurement,0.0,0.0
1.400273,baseline_03_forward_motion,Pitch,pulse,0.12952,0,0.089350014925003,0.089350014925003,0.0931225909603446,-0.0037725760353416,0.0037725760353416,0.01619,0,0.0,0.0013459710298694,0,0,0,W10_N3_mean1.5x,10,3,1.5,909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.089350014925003,attacked_measurement,0.0,0.0
1.500233,baseline_03_forward_motion,Pitch,pulse,0.12952,0,0.0942638888955116,0.0942638888955116,0.097520075801672,-0.0032561869061604,0.0032561869061604,0.01619,0,0.0,0.001560497297566,0,0,0,W10_N3_mean1.5x,10,3,1.5,909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.0942638888955116,attacked_measurement,0.0,0.0
1.600193,baseline_03_forward_motion,Pitch,pulse,0.12952,0,0.0946205854415893,0.0946205854415893,0.095994873823948,-0.0013742883823587,0.0013742883823587,0.01619,0,0.0,0.001620419881871,0,0,0,W10_N3_mean1.5x,10,3,1.5,909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.0946205854415893,attacked_measurement,0.0,0.0
1.700153,baseline_03_forward_motion,Pitch,pulse,0.12952,0,0.097298264503479,0.097298264503479,0.1003636840966296,-0.0030654195931505,0.0030654195931505,0.01619,0,0.0,0.0019090862164534,0,0,0,W10_N3_mean1.5x,10,3,1.5,909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.097298264503479,attacked_measurement,0.0,0.0
1.800113,baseline_03_forward_motion,Pitch,pulse,0.12952,0,0.0970333442091941,0.0970333442091941,0.0979216592862182,-0.000888315077024,0.000888315077024,0.01619,0,0.0,0.0019112415497855,0,0,0,W10_N3_mean1.5x,10,3,1.5,909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.0970333442091941,attacked_measurement,0.0,0.0
1.900073,baseline_03_forward_motion,Pitch,pulse,0.12952,0,0.0966942608356475,0.0966942608356475,0.0970525315001949,-0.0003582706645473,0.0003582706645473,0.01619,0,0.0,0.0018365606365625,0,0,0,W10_N3_mean1.5x,10,3,1.5,909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.0966942608356475,attacked_measurement,0.0,0.0
2.000033,baseline_03_forward_motion,Pitch,pulse,0.12952,0,0.0969321876764297,0.0969321876764297,0.0973424186413083,-0.0004102309648785,0.0004102309648785,0.01619,0,0.0,0.0017172975611896,0,0,0,W10_N3_mean1.5x,10,3,1.5,909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.0969321876764297,attacked_measurement,0.0,0.0
2.099993,baseline_03_forward_motion,Pitch,pulse,0.12952,0,0.0964529290795326,0.0964529290795326,0.0967052660258016,-0.0002523369462689,0.0002523369462689,0.01619,0,0.0,0.0016540125489521,0,0,0,W10_N3_mean1.5x,10,3,1.5,909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.0964529290795326,attacked_measurement,0.0,0.0
2.199953,baseline_03_forward_motion,Pitch,pulse,0.12952,0,0.0929372757673263,0.0929372757673263,0.0923192034280609,0.0006180723392654,0.0006180723392654,0.01619,0,0.0,0.001478004883526,0,0,0,W10_N3_mean1.5x,10,3,1.5,909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.0929372757673263,attacked_measurement,0.0,0.0
2.299913,baseline_03_forward_motion,Pitch,pulse,0.12952,0,0.090597428381443,0.090597428381443,0.0904805615629752,0.0001168668184678,0.0001168668184678,0.01619,0,0.0,0.0014112563727463,0,0,0,W10_N3_mean1.5x,10,3,1.5,909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.090597428381443,attacked_measurement,0.0,0.0
