x,Baseline,Axis,AttackType,AttackMagnitude,AttackActive,CleanFuture_Yaw,AttackedFuture_Yaw,V9PredictedFuture_Yaw,Residual_Yaw,AbsResidual_Yaw,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,WindowRule,W,N,RollingMeanMultiplier,AlignmentOffset,PredictionColumn,CleanFile,PredictionFile,Yaw_recovered_future_v9_phase5,Yaw_recovery_source_phase5,Yaw_attacked_error_vs_clean_phase5,Yaw_recovered_error_vs_clean_phase5
1.000433,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.59490966796875,172.59490966796875,172.59476699829102,0.0001426696777286,0.0001426696777286,0.003797,0,0.0,0.0002479553222682,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59490966796875,attacked_measurement,0.0,0.0
1.100393,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.59378051757812,172.59378051757812,172.5931594848633,0.0006210327148323,0.0006210327148323,0.003797,0,0.0,0.0002790451049818,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59378051757812,attacked_measurement,0.0,0.0
1.200353,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.59136962890625,172.59136962890625,172.59004364013674,0.0013259887695085,0.0013259887695085,0.003797,0,0.0,0.0003595792330223,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59136962890625,attacked_measurement,0.0,0.0
1.300313,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.58944702148438,172.58944702148438,172.58838958740236,0.0010574340820141,0.0010574340820141,0.003797,0,0.0,0.0004094260079503,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.58944702148438,attacked_measurement,0.0,0.0
1.400273,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.58868408203125,172.58868408203125,172.58826446533203,0.0004196166992187,0.0004196166992187,0.003797,0,0.0,0.0004101053873682,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.58868408203125,attacked_measurement,0.0,0.0
1.500233,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.5895233154297,172.5895233154297,172.58998489379883,-0.0004615783691406,0.0004615783691406,0.003797,0,0.0,0.000413322448729,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.5895233154297,attacked_measurement,0.0,0.0
1.600193,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.58993530273438,172.58993530273438,172.59016189575198,-0.0002265930176008,0.0002265930176008,0.003797,0,0.0,0.000402338364545,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.58993530273438,attacked_measurement,0.0,0.0
1.700153,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.59031677246094,172.59031677246094,172.59052658081055,-0.0002098083496093,0.0002098083496093,0.003797,0,0.0,0.0003916422526041,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59031677246094,attacked_measurement,0.0,0.0
1.800113,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.5903778076172,172.5903778076172,172.59041137695314,-3.3569335954553026e-05,3.3569335954553026e-05,0.003797,0,0.0,0.0003727963096226,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.5903778076172,attacked_measurement,0.0,0.0
1.900073,baseline_04_yaw_rotation,Yaw,bias,0.015188,0,172.59022521972656,172.59022521972656,172.59014129638672,8.392333984375e-05,8.392333984375e-05,0.003797,0,0.0,0.0003583526611336,0,0,0,W20_N5_mean1.5x,20,5,1.5,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59022521972656,attacked_measurement,0.0,0.0
