run_id,input_detection_file,file_name,baseline,target,attack_type,prediction_file,xkf1_file,n_rows,detected_count,attack_active_count,attacked_rmse,original_v9_recovered_rmse,heuristic_adaptive_rmse,attacked_mae,original_v9_recovered_mae,heuristic_adaptive_mae,attacked_max_abs_error,original_v9_recovered_max_abs_error,heuristic_adaptive_max_abs_error,original_improvement_over_attacked_rmse_percent,heuristic_improvement_over_attacked_rmse_percent,heuristic_improvement_over_original_rmse_percent,success_rmse,success_mae,context_hover_count,context_translation_count,context_maneuver_count,config_run_id,config_hover_speed_threshold,config_accel_low_threshold,config_accel_high_threshold,config_gyro_high_threshold,config_smoothing_previous,config_smoothing_target,config_hover_w_naive,config_hover_w_cv,config_hover_w_arx,config_translation_w_naive,config_translation_w_cv,config_translation_w_arx,config_maneuver_w_naive,config_maneuver_w_cv,config_maneuver_w_arx
1,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Pitch_bias_W10_N3_mean1x_detection.csv,baseline_01_hover_Pitch_bias_W10_N3_mean1x_detection.csv,baseline_01_hover,Pitch,bias,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_XKF1.csv,250,75,75,0.0200707453972193,0.0014356673267818798,0.00030186124859656315,0.010993199999999995,0.0005141969798501485,9.161450355067752e-05,0.03664400000000001,0.009530812894106497,0.0031285660028782802,92.84696557916187,98.49601376220743,78.9741506987416,True,True,173,0,77,1,0.6197133992289419,0.27501075522266694,1.8688159663305184,0.15044483216697024,0.9325648185495222,0.06743518145047778,0.6953232947412865,0.24128578964543262,0.06339091561328075,0.2507880269229928,0.5850399020303748,0.1641720710466326,0.17187897520836043,0.14868144696957786,0.6794395778220617
1,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Pitch_pulse_W10_N3_mean1x_detection.csv,baseline_01_hover_Pitch_pulse_W10_N3_mean1x_detection.csv,baseline_01_hover,Pitch,pulse,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_XKF1.csv,250,13,12,0.016056596317775448,0.0006733761704464996,8.04441053475292e-05,0.003517824,0.00010330085519577442,1.607435661751866e-05,0.07328800000000002,0.009530812894106497,0.0008660705921581524,95.80623341884083,99.49899652606653,88.05361566415566,True,True,173,0,77,1,0.6197133992289419,0.27501075522266694,1.8688159663305184,0.15044483216697024,0.9325648185495222,0.06743518145047778,0.6953232947412865,0.24128578964543262,0.06339091561328075,0.2507880269229928,0.5850399020303748,0.1641720710466326,0.17187897520836043,0.14868144696957786,0.6794395778220617
1,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Pitch_ramp_W10_N3_mean1x_detection.csv,baseline_01_hover_Pitch_ramp_W10_N3_mean1x_detection.csv,baseline_01_hover,Pitch,ramp,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_XKF1.csv,250,61,75,0.01744039874179981,0.0015443912534712208,0.0013481188482209016,0.008244899999999987,0.0005659713756757524,0.0003106945878225944,0.05496599999999999,0.009656189189189104,0.009656189189189104,91.14474802821024,92.2701374654363,12.708722922975076,True,True,173,0,77,1,0.6197133992289419,0.27501075522266694,1.8688159663305184,0.15044483216697024,0.9325648185495222,0.06743518145047778,0.6953232947412865,0.24128578964543262,0.06339091561328075,0.2507880269229928,0.5850399020303748,0.1641720710466326,0.17187897520836043,0.14868144696957786,0.6794395778220617
1,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Roll_bias_W10_N3_mean1x_detection.csv,baseline_01_hover_Roll_bias_W10_N3_mean1x_detection.csv,baseline_01_hover,Roll,bias,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_XKF1.csv,250,75,75,0.015040461429091852,0.0015524010673865433,0.00022690789957334123,0.008237999999999995,0.0005763834636544285,8.645702307165342e-05,0.02746,0.0074577710144213966,0.001213829672679162,89.6785010572626,98.49135014478713,85.38342285764212,True,True,173,0,77,1,0.6197133992289419,0.27501075522266694,1.8688159663305184,0.15044483216697024,0.9325648185495222,0.06743518145047778,0.6953232947412865,0.24128578964543262,0.06339091561328075,0.2507880269229928,0.5850399020303748,0.1641720710466326,0.17187897520836043,0.14868144696957786,0.6794395778220617
1,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Roll_pulse_W10_N3_mean1x_detection.csv,baseline_01_hover_Roll_pulse_W10_N3_mean1x_detection.csv,baseline_01_hover,Roll,pulse,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_XKF1.csv,250,14,12,0.012032369143273484,0.0006953655265872293,9.29314173260811e-05,0.0026361599999999985,0.0001068077854221583,1.7381368059227686e-05,0.05492000000000001,0.0074577710144213966,0.000939007647416501,94.22087605269357,99.22765486813515,86.63560188521606,True,True,173,0,77,1,0.6197133992289419,0.27501075522266694,1.8688159663305184,0.15044483216697024,0.9325648185495222,0.06743518145047778,0.6953232947412865,0.24128578964543262,0.06339091561328075,0.2507880269229928,0.5850399020303748,0.1641720710466326,0.17187897520836043,0.14868144696957786,0.6794395778220617
1,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Roll_ramp_W10_N3_mean1x_detection.csv,baseline_01_hover_Roll_ramp_W10_N3_mean1x_detection.csv,baseline_01_hover,Roll,ramp,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_XKF1.csv,250,68,75,0.01306935240284419,0.001544352337499809,0.00038263145011719913,0.006178499999999987,0.0005662683131743809,0.00011301244499685914,0.041190000000000004,0.0074577710144213966,0.003339729729729707,88.18340580391937,97.07229984835416,75.22382419955728,True,True,173,0,77,1,0.6197133992289419,0.27501075522266694,1.8688159663305184,0.15044483216697024,0.9325648185495222,0.06743518145047778,0.6953232947412865,0.24128578964543262,0.06339091561328075,0.2507880269229928,0.5850399020303748,0.1641720710466326,0.17187897520836043,0.14868144696957786,0.6794395778220617
1,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_02_high_altitude_hover_Pitch_bias_W10_N3_mean1x_detection.csv,baseline_02_high_altitude_hover_Pitch_bias_W10_N3_mean1x_detection.csv,baseline_02_high_altitude_hover,Pitch,bias,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_XKF1.csv,282,85,85,0.017452116886778713,0.001774620902048185,0.00039155085782252103,0.009581489361702118,0.0006590385705480905,0.00017097002799256792,0.03178800000000001,0.012500210629287509,0.002110898493259364,89.83148626862229,97.75642771382564,77.93608441269845,True,True,147,0,135,1,0.6197133992289419,0.27501075522266694,1.8688159663305184,0.15044483216697024,0.9325648185495222,0.06743518145047778,0.6953232947412865,0.24128578964543262,0.06339091561328075,0.2507880269229928,0.5850399020303748,0.1641720710466326,0.17187897520836043,0.14868144696957786,0.6794395778220617
1,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_02_high_altitude_hover_Pitch_pulse_W10_N3_mean1x_detection.csv,baseline_02_high_altitude_hover_Pitch_pulse_W10_N3_mean1x_detection.csv,baseline_02_high_altitude_hover,Pitch,pulse,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_XKF1.csv,282,14,14,0.014165524634485395,0.0014736741091008819,0.00016099699937601172,0.0031562553191489344,0.0002679347588538679,2.9137348605936428e-05,0.063576,0.012500210629287509,0.0013384224264882394,89.5967558764941,98.86345897148016,89.07512872881786,True,True,147,0,135,1,0.6197133992289419,0.27501075522266694,1.8688159663305184,0.15044483216697024,0.9325648185495222,0.06743518145047778,0.6953232947412865,0.24128578964543262,0.06339091561328075,0.2507880269229928,0.5850399020303748,0.1641720710466326,0.17187897520836043,0.14868144696957786,0.6794395778220617
1,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_02_high_altitude_hover_Pitch_ramp_W10_N3_mean1x_detection.csv,baseline_02_high_altitude_hover_Pitch_ramp_W10_N3_mean1x_detection.csv,baseline_02_high_altitude_hover,Pitch,ramp,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_XKF1.csv,282,70,85,0.015158891907774127,0.002020487609923189,0.0011292411744723983,0.0071861170212765835,0.000784542842997755,0.0003495068078231756,0.04768199999999999,0.012500210629287509,0.007946999999999899,86.67127107828378,92.55063509033089,44.11046279490287,True,True,147,0,135,1,0.6197133992289419,0.27501075522266694,1.8688159663305184,0.15044483216697024,0.9325648185495222,0.06743518145047778,0.6953232947412865,0.24128578964543262,0.06339091561328075,0.2507880269229928,0.5850399020303748,0.1641720710466326,0.17187897520836043,0.14868144696957786,0.6794395778220617
1,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_02_high_altitude_hover_Roll_bias_W10_N3_mean1x_detection.csv,baseline_02_high_altitude_hover_Roll_bias_W10_N3_mean1x_detection.csv,baseline_02_high_altitude_hover,Roll,bias,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_XKF1.csv,282,85,85,0.015067191891303485,0.0012273233818049592,0.00024326541545013384,0.008272127659574465,0.00043810462158640716,0.00010488316042691614,0.02744400000000001,0.008325416932332505,0.0010985088473226129,91.85433230917204,98.38546281745742,80.17919164121388,True,True,147,0,135,1,0.6197133992289419,0.27501075522266694,1.8688159663305184,0.15044483216697024,0.9325648185495222,0.06743518145047778,0.6953232947412865,0.24128578964543262,0.06339091561328075,0.2507880269229928,0.5850399020303748,0.1641720710466326,0.17187897520836043,0.14868144696957786,0.6794395778220617
