x,Baseline,Axis,AttackType,AttackActive,AbsResidual,Threshold_static_global,PointExceed_static_global,WindowCount_static_global,WindowDetection_static_global,Threshold_scenario_specific,PointExceed_scenario_specific,WindowCount_scenario_specific,WindowDetection_scenario_specific,Threshold_yaw_static_global,PointExceed_yaw_static_global,WindowCount_yaw_static_global,WindowDetection_yaw_static_global
0.0,baseline_03_forward_motion,Yaw,ramp,0,0.0008789062500227,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
0.09996,baseline_03_forward_motion,Yaw,ramp,0,0.000274658203125,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
0.19992,baseline_03_forward_motion,Yaw,ramp,0,0.0016616821288835,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
0.29988,baseline_03_forward_motion,Yaw,ramp,0,0.0010848999023664,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
0.39984,baseline_03_forward_motion,Yaw,ramp,0,0.0009338378906704,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
0.4998,baseline_03_forward_motion,Yaw,ramp,0,0.0013183593750341,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
0.59976,baseline_03_forward_motion,Yaw,ramp,0,0.0003021240234488,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
0.69972,baseline_03_forward_motion,Yaw,ramp,0,0.001277160644463,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
0.800513,baseline_03_forward_motion,Yaw,ramp,0,0.0008377075195085,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
0.900473,baseline_03_forward_motion,Yaw,ramp,0,0.0007141113281363,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
1.000433,baseline_03_forward_motion,Yaw,ramp,0,0.0009338378906704,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
1.100393,baseline_03_forward_motion,Yaw,ramp,0,0.0003707885741732,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
1.200353,baseline_03_forward_motion,Yaw,ramp,0,0.0002334594726107,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
1.300313,baseline_03_forward_motion,Yaw,ramp,0,0.0008377075195653,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
1.400273,baseline_03_forward_motion,Yaw,ramp,0,0.0007827758789176,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
1.500233,baseline_03_forward_motion,Yaw,ramp,0,0.0008377075195085,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
1.600193,baseline_03_forward_motion,Yaw,ramp,0,0.0016342163086164,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
1.700153,baseline_03_forward_motion,Yaw,ramp,0,0.000274658203125,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
1.800113,baseline_03_forward_motion,Yaw,ramp,0,0.0009750366211278,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
1.900073,baseline_03_forward_motion,Yaw,ramp,0,0.0007278442383267,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
2.000033,baseline_03_forward_motion,Yaw,ramp,0,0.0005355834960596,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
2.099993,baseline_03_forward_motion,Yaw,ramp,0,0.0005905151366505,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
2.199953,baseline_03_forward_motion,Yaw,ramp,0,0.0002471923828011,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
2.299913,baseline_03_forward_motion,Yaw,ramp,0,0.0003021240235057,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
2.399873,baseline_03_forward_motion,Yaw,ramp,0,0.0005355834961164,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
2.499833,baseline_03_forward_motion,Yaw,ramp,0,0.0002197265625341,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
2.599793,baseline_03_forward_motion,Yaw,ramp,0,1.3732910190356051e-05,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
2.699753,baseline_03_forward_motion,Yaw,ramp,0,0.0001647949218295,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
2.800546,baseline_03_forward_motion,Yaw,ramp,0,5.493164059089395e-05,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
2.900506,baseline_03_forward_motion,Yaw,ramp,0,0.0003707885741732,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
3.000466,baseline_03_forward_motion,Yaw,ramp,0,2.7465820267025265e-05,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
3.100426,baseline_03_forward_motion,Yaw,ramp,0,4.11987304005379e-05,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
3.200386,baseline_03_forward_motion,Yaw,ramp,0,0.0001647949219432,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
3.300346,baseline_03_forward_motion,Yaw,ramp,0,0.0001098632812954,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
3.400306,baseline_03_forward_motion,Yaw,ramp,0,0.0001235961914289,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
3.500266,baseline_03_forward_motion,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
3.600226,baseline_03_forward_motion,Yaw,ramp,0,2.7465820267025265e-05,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
3.700186,baseline_03_forward_motion,Yaw,ramp,0,0.0001922607421533,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
3.800146,baseline_03_forward_motion,Yaw,ramp,0,1.3732910133512632e-05,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
3.900106,baseline_03_forward_motion,Yaw,ramp,0,0.000151062011696,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
4.000066,baseline_03_forward_motion,Yaw,ramp,0,0.0001373291015625,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
4.100026,baseline_03_forward_motion,Yaw,ramp,0,2.7465820267025265e-05,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
4.199986,baseline_03_forward_motion,Yaw,ramp,0,0.0001098632812386,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
4.299946,baseline_03_forward_motion,Yaw,ramp,0,0.0001373291015625,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
4.399906,baseline_03_forward_motion,Yaw,ramp,0,0.0005355834961164,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
4.499866,baseline_03_forward_motion,Yaw,ramp,0,0.000343322753963,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
4.599826,baseline_03_forward_motion,Yaw,ramp,0,2.7465820267025265e-05,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
4.699786,baseline_03_forward_motion,Yaw,ramp,0,0.000302124023392,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
4.799746,baseline_03_forward_motion,Yaw,ramp,0,0.0001922607421533,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
4.900539,baseline_03_forward_motion,Yaw,ramp,0,0.0002883911132585,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
5.000499,baseline_03_forward_motion,Yaw,ramp,0,0.000178527831963,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
5.100459,baseline_03_forward_motion,Yaw,ramp,0,0.0001922607421533,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
5.200419,baseline_03_forward_motion,Yaw,ramp,0,9.613037110511868e-05,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
5.300379,baseline_03_forward_motion,Yaw,ramp,0,0.0002059936524005,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
5.400339,baseline_03_forward_motion,Yaw,ramp,0,9.61303711619621e-05,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
5.500299,baseline_03_forward_motion,Yaw,ramp,0,0.0001098632812386,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
5.600259,baseline_03_forward_motion,Yaw,ramp,0,5.493164064773737e-05,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
5.700219,baseline_03_forward_motion,Yaw,ramp,0,0.000178527831963,0.013596,0,0.0,0,0.00305,0,0.0,0,0.013596,0,0.0,0
