threshold_method,mean_precision,mean_recall,mean_f1,mean_fpr,median_delay,n_rows
scenario_specific,0.8178075680439623,0.8826396526396527,0.8418462575942831,0.03200290040776339,2.0,39
dynamic_xkf1,0.8021279227438397,0.8866585865115276,0.8343137367422182,0.035705863458023096,2.0,24
static_global,0.8135661085615353,0.8167078840834497,0.7933580140613691,0.030682699284689835,2.0,39
yaw_static_global,0.815880577170329,0.7495441988383165,0.7423904946065166,0.027625849878085633,2.0,15
