x,Baseline,Axis,AttackType,AttackMagnitude,AttackActive,CleanFuture_Pitch,AttackedFuture_Pitch,V9PredictedFuture_Pitch,Residual_Pitch,AbsResidual_Pitch,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,WindowRule,W,N,RollingMeanMultiplier,AlignmentOffset,PredictionColumn,CleanFile,PredictionFile
0.9996,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.0896311700344085,0.0896311700344085,0.0898443183962295,-0.00021314836182100005,0.00021314836182100005,0.007947,0,0.0,0.0018840934228877824,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.09956,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.089235745370388,0.089235745370388,0.090215977331547,-0.0009802319611589977,0.0009802319611589977,0.007947,0,0.0,0.0018087716344103836,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.19952,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.0922579318284988,0.0922579318284988,0.0954297076534006,-0.0031717758249018013,0.0031717758249018013,0.007947,0,0.0,0.0019136181106020312,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.29948,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.096184529364109,0.096184529364109,0.0996955081327323,-0.003510978768623302,0.003510978768623302,0.007947,0,0.0,0.0020277153004606935,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.39944,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.1042545512318611,0.1042545512318611,0.1082281294054815,-0.003973578173620401,0.003973578173620401,0.007947,0,0.0,0.002157439492004674,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.4994,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.1046815440058708,0.1046815440058708,0.1043410425812196,0.00034050142465121003,0.00034050142465121003,0.007947,0,0.0,0.0020438808627950824,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.59936,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.1051850393414497,0.1051850393414497,0.1049963821992276,0.00018865714222209007,0.00018865714222209007,0.007947,0,0.0,0.0019347500557025535,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.69932,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.102688543498516,0.102688543498516,0.1019055909544256,0.0007829525440904012,0.0007829525440904012,0.007947,0,0.0,0.0018707613050574338,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.800113,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.100106805562973,0.100106805562973,0.0994708910847141,0.0006359144782588921,0.0006359144782588921,0.007947,0,0.0,0.001805769366804879,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
1.900073,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.1002732515335083,0.1002732515335083,0.1013558847075976,-0.001082633174089298,0.001082633174089298,0.007947,0,0.0,0.0017696125571691,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
2.000033,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.1029968634247779,0.1029968634247779,0.1038955772707748,-0.000898713845996893,0.000898713845996893,0.007947,0,0.0,0.0017281411899704234,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
2.099993,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.1012270152568817,0.1012270152568817,0.100268299691046,0.0009587155658356966,0.0009587155658356966,0.007947,0,0.0,0.0016931672979642995,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
2.199953,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.101658672094345,0.101658672094345,0.1027269846946604,-0.0010683126003154103,0.0010683126003154103,0.007947,0,0.0,0.0016659997024143479,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
2.299913,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.1043625921010971,0.1043625921010971,0.1062555721808646,-0.0018929800797674867,0.0018929800797674867,0.007947,0,0.0,0.0016754572181373953,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
2.399873,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.1041731983423233,0.1041731983423233,0.1036130047314691,0.000560193610854201,0.000560193610854201,0.007947,0,0.0,0.0016308466738460675,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
2.499833,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.1042806431651115,0.1042806431651115,0.1044121302032159,-0.00013148703810439422,0.00013148703810439422,0.007947,0,0.0,0.0015731789955483108,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
2.599793,baseline_02_high_altitude_hover,Pitch,pulse,0.063576,0,0.1020330116152763,0.1020330116152763,0.100253345363685,0.0017796662515912887,0.0017796662515912887,0.007947,0,0.0,0.0015808266716980507,0,0,0,W30_N8_mean1x,30,8,1.0,1127,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
