target,files,mean_attacked_rmse,mean_recovered_rmse,mean_rmse_improvement_percent,mean_attacked_mae,mean_recovered_mae,mean_mae_improvement_percent,rmse_improved_files,mae_improved_files
Pitch,12,0.020842168305826077,0.0019880357582261667,90.8639435536391,0.008855165482257725,0.0007093033893484252,92.50042267540196,12,12
Roll,12,0.01497990132196355,0.0012047473372767917,91.85716079379802,0.006366111568805066,0.00041996347764182705,93.61197774686025,12,12
Yaw,15,0.014042275886520041,0.0009094639500942767,94.49537011838514,0.005970707033900494,0.00025777228674689676,96.46440684725103,15,15
