x,Baseline,Axis,AttackType,AttackMagnitude,AttackActive,CleanFuture_Yaw,AttackedFuture_Yaw,V9PredictedFuture_Yaw,Residual_Yaw,AbsResidual_Yaw,Threshold_p99_abs,AlignmentOffset,PredictionColumn,CleanFile,PredictionFile
14.400071,baseline_02_high_altitude_hover,Yaw,pulse,0.086184,0,352.4463806152344,352.4463806152344,352.4419448852539,0.004435729980457381,0.004435729980457381,0.010773,1127,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
14.500031,baseline_02_high_altitude_hover,Yaw,pulse,0.086184,0,352.4372253417969,352.4372253417969,352.43310546875,0.004119873046875,0.004119873046875,0.010773,1127,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
14.599991,baseline_02_high_altitude_hover,Yaw,pulse,0.086184,0,352.428955078125,352.428955078125,352.4252334594727,0.0037216186523210126,0.0037216186523210126,0.010773,1127,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
14.699951,baseline_02_high_altitude_hover,Yaw,pulse,0.086184,0,352.42144775390625,352.42144775390625,352.41806945800784,0.0033782958984147626,0.0033782958984147626,0.010773,1127,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
14.799911,baseline_02_high_altitude_hover,Yaw,pulse,0.086184,0,352.4145202636719,352.4145202636719,352.41140289306645,0.0031173706054232753,0.0031173706054232753,0.010773,1127,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
14.899871,baseline_02_high_altitude_hover,Yaw,pulse,0.086184,0,352.4084777832031,352.4084777832031,352.40575866699226,0.002719116210869288,0.002719116210869288,0.010773,1127,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
14.999831,baseline_02_high_altitude_hover,Yaw,pulse,0.086184,0,352.40301513671875,352.40301513671875,352.4005569458008,0.002458190917934644,0.002458190917934644,0.010773,1127,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
15.099791,baseline_02_high_altitude_hover,Yaw,pulse,0.086184,0,352.3981628417969,352.3981628417969,352.395979309082,0.0021835327148664874,0.0021835327148664874,0.010773,1127,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
15.199751,baseline_02_high_altitude_hover,Yaw,pulse,0.086184,0,352.3934631347656,352.3934631347656,352.39134826660154,0.0021148681640852374,0.0021148681640852374,0.010773,1127,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
15.299711,baseline_02_high_altitude_hover,Yaw,pulse,0.086184,0,352.3892822265625,352.3892822265625,352.38740081787114,0.0018814086913607753,0.0018814086913607753,0.010773,1127,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
15.399671,baseline_02_high_altitude_hover,Yaw,pulse,0.086184,0,352.3854675292969,352.3854675292969,352.38375091552734,0.00171661376953125,0.00171661376953125,0.010773,1127,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
15.499631,baseline_02_high_altitude_hover,Yaw,pulse,0.086184,0,352.3819274902344,352.3819274902344,352.3803344726563,0.0015930175781022626,0.0015930175781022626,0.010773,1127,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
15.599591,baseline_02_high_altitude_hover,Yaw,pulse,0.086184,0,352.3785400390625,352.3785400390625,352.3770156860352,0.0015243530273210126,0.0015243530273210126,0.010773,1127,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
