x,AttackActive,CleanFuture_Pitch,AttackedFuture_Pitch,V9PredictedFuture_Pitch,Residual_Pitch,AbsResidual_Pitch,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
1.600193,0,0.0636156499385833,0.0636156499385833,0.097520075801672,-0.0339044258630887,0.0339044258630887,0.01619,1,10.0,0.028077409906469203,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.700153,0,0.06507608294487,0.06507608294487,0.095994873823948,-0.030918790879078006,0.030918790879078006,0.01619,1,10.0,0.028294203545965863,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.800113,0,0.0666226148605346,0.0666226148605346,0.1003636840966296,-0.033741069236095,0.033741069236095,0.01619,1,10.0,0.028841137551418133,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.900073,0,0.0681289955973625,0.0681289955973625,0.0979216592862182,-0.02979266368885569,0.02979266368885569,0.01619,1,10.0,0.02899464286140906,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.000033,0,0.0696922987699508,0.0696922987699508,0.0970525315001949,-0.0273602327302441,0.0273602327302441,0.01619,1,10.0,0.028940693561226048,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.099993,0,0.0711564719676971,0.0711564719676971,0.0973424186413083,-0.026185946673611196,0.026185946673611196,0.01619,1,10.0,0.028681262340554108,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.200786,0,0.0724802613258361,0.0724802613258361,0.0967052660258016,-0.024225004699965497,0.024225004699965497,0.01619,1,10.0,0.028844820383219727,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.300746,0,0.0739029496908187,0.0739029496908187,0.0923192034280609,-0.01841625373724219,0.01841625373724219,0.01619,1,10.0,0.02794403958631007,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.400706,0,0.0756820365786552,0.0756820365786552,0.0904805615629752,-0.014798524984319994,0.014798524984319994,0.01619,0,9.0,0.02702210993455128,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.500666,0,0.0772563219070434,0.0772563219070434,0.0854688825513314,-0.008212560644287992,0.008212560644287992,0.01619,0,8.0,0.02475554731367884,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
