x,AttackActive,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,Residual_Roll,AbsResidual_Roll,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
1.4994,0,0.0777191296219825,0.0777191296219825,0.0962858373442182,-0.01856670772223569,0.01856670772223569,0.006861,1,10.0,0.018110916005024746,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.59936,0,0.0792558342218399,0.0792558342218399,0.1016369392226875,-0.022381105000847598,0.022381105000847598,0.006861,1,10.0,0.018357482552581916,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.69932,0,0.0806560069322586,0.0806560069322586,0.0986381872705395,-0.01798218033828089,0.01798218033828089,0.006861,1,10.0,0.018298967400814187,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.79928,0,0.0820135846734047,0.0820135846734047,0.098073975525625,-0.016060390852220302,0.016060390852220302,0.006861,1,10.0,0.017790327807057457,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.89924,0,0.0836405828595161,0.0836405828595161,0.0971163502016834,-0.013475767342167294,0.013475767342167294,0.006861,1,10.0,0.017095033648803538,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.9992,0,0.0851814225316047,0.0851814225316047,0.0950975084522818,-0.009916085920677109,0.009916085920677109,0.006861,1,10.0,0.016187877518281907,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
2.099993,0,0.086820587515831,0.086820587515831,0.0945531948207869,-0.00773260730495591,0.00773260730495591,0.006861,1,10.0,0.015674076290810503,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
2.199953,0,0.0882639661431312,0.0882639661431312,0.0991433270479641,-0.010879360904832894,0.010879360904832894,0.006861,1,10.0,0.015439389980690499,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
2.299913,0,0.0899310335516929,0.0899310335516929,0.0958130041754512,-0.005881970623758309,0.005881970623758309,0.006861,0,9.0,0.014153229843902868,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
2.399873,0,0.0916714444756507,0.0916714444756507,0.0975130519360233,-0.0058416074603726,0.0058416074603726,0.006861,0,8.0,0.01287177834703486,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
