x,AttackActive,CleanFuture_Pitch,AttackedFuture_Pitch,V9PredictedFuture_Pitch,Residual_Pitch,AbsResidual_Pitch,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
0.09996,0,0.057710912078619,0.057710912078619,0.0781978759914636,-0.020486963912844602,0.020486963912844602,0.009697,1,1.0,0.020486963912844602,0,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.19992,0,0.0575437620282173,0.0575437620282173,0.0896556992083787,-0.03211193718016139,0.03211193718016139,0.009697,1,2.0,0.026299450546502998,0,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.29988,0,0.0575075149536132,0.0575075149536132,0.0880962572991846,-0.030588742345571407,0.030588742345571407,0.009697,1,3.0,0.0277292144795258,0,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.39984,0,0.0575400590896606,0.0575400590896606,0.0960624739527702,-0.0385224148631096,0.0385224148631096,0.009697,1,4.0,0.03042751457542175,0,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.4998,0,0.0576982013881206,0.0576982013881206,0.1059245821088552,-0.0482263807207346,0.0482263807207346,0.009697,1,5.0,0.033987287804484324,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.59976,0,0.0579380840063095,0.0579380840063095,0.1123084779828787,-0.0543703939765692,0.0543703939765692,0.009697,1,6.0,0.03738447216649846,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.69972,0,0.0584530681371688,0.0584530681371688,0.1064544226974248,-0.048001354560256004,0.048001354560256004,0.009697,1,7.0,0.03890116965132097,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.79968,0,0.0590562745928764,0.0590562745928764,0.0894328989088535,-0.030376624315977103,0.030376624315977103,0.009697,1,8.0,0.037835601484402986,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.89964,0,0.0596795938909053,0.0596795938909053,0.0812113303691147,-0.0215317364782094,0.0215317364782094,0.009697,1,9.0,0.03602406092815926,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.9996,0,0.0604961216449737,0.0604961216449737,0.0778874456882477,-0.017391324043273995,0.017391324043273995,0.009697,1,10.0,0.03416078723967073,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.09956,0,0.06156687438488,0.06156687438488,0.073378250002861,-0.011811375617980992,0.011811375617980992,0.009697,1,11.0,0.03212902254678984,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.19952,0,0.0626412034034729,0.0626412034034729,0.0702227018773554,-0.007581498473882495,0.007581498473882495,0.009697,0,11.0,0.030083395540714233,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.29948,0,0.0639436393976211,0.0639436393976211,0.0681905932724476,-0.004246953874826501,0.004246953874826501,0.009697,0,11.0,0.028095976951030558,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.39944,0,0.0651717260479927,0.0651717260479927,0.0651091933250426,6.253272295010659e-05,6.253272295010659e-05,0.009697,0,11.0,0.026093588077596243,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.4994,0,0.0666558966040611,0.0666558966040611,0.0805305279791354,-0.013874631375074303,0.013874631375074303,0.009697,1,12.0,0.02527899096409478,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.59936,0,0.0681083649396896,0.0681083649396896,0.0859853979200125,-0.017877032980322907,0.017877032980322907,0.009697,1,13.0,0.024816368590109036,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.69932,0,0.0696394890546798,0.0696394890546798,0.0900735389441251,-0.020434049889445305,0.020434049889445305,0.009697,1,14.0,0.024558585137128816,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.79928,0,0.0711745470762252,0.0711745470762252,0.0978961624205111,-0.026721615344285896,0.026721615344285896,0.009697,1,15.0,0.024678753481970878,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.89924,0,0.0725896507501602,0.0725896507501602,0.0978574138134717,-0.025267763063311494,0.025267763063311494,0.009697,1,16.0,0.024709753986251963,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.9992,0,0.0742838755249977,0.0742838755249977,0.1005529519170523,-0.0262690763920546,0.0262690763920546,0.009697,1,17.0,0.024787720106542094,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.099993,0,0.0757796168327331,0.0757796168327331,0.1017985064536331,-0.0260188896209,0.0260188896209,0.009697,1,17.0,0.02506431639194486,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.199953,0,0.0771591961383819,0.0771591961383819,0.1035519670695066,-0.0263927709311247,0.0263927709311247,0.009697,1,17.0,0.02477835807949303,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.299913,0,0.0786434784531593,0.0786434784531593,0.1045920476317404,-0.0259485691785811,0.0259485691785811,0.009697,1,17.0,0.024546349421143514,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.399873,0,0.0804559290409088,0.0804559290409088,0.1066198255866766,-0.026163896545767798,0.026163896545767798,0.009697,1,17.0,0.023928423505276426,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.499833,0,0.0821543186902999,0.0821543186902999,0.107974514365196,-0.0258201956748961,0.0258201956748961,0.009697,1,17.0,0.0228081142529845,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.599793,0,0.0838711336255073,0.0838711336255073,0.1193162798881531,-0.035445146262645805,0.035445146262645805,0.009697,1,17.0,0.021861851867288333,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.699753,0,0.0855978578329086,0.0855978578329086,0.1295663639903067,-0.043968506157398085,0.043968506157398085,0.009697,1,17.0,0.021660209447145435,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.799713,0,0.0873139798641204,0.0873139798641204,0.1288848053663969,-0.041570825502276504,0.041570825502276504,0.009697,1,17.0,0.022219919506460406,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.899673,0,0.0890065655112266,0.0890065655112266,0.1203546877950428,-0.0313481222838162,0.0313481222838162,0.009697,1,17.0,0.022710738796740744,1,1,1,baseline_05_mixed_maneuver,Pitch,bias,W20_N5_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
