x,AttackActive,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,Residual_Roll,AbsResidual_Roll,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
1.59936,0,0.0792645290493965,0.0792645290493965,0.0982465241104363,-0.0189819950610398,0.0189819950610398,0.010307,1,9.0,0.0286946573853492,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.69932,0,0.0806486755609512,0.0806486755609512,0.0871338665485381,-0.006485190987586889,0.006485190987586889,0.010307,0,9.0,0.028572675734758295,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.79928,0,0.0820411294698715,0.0820411294698715,0.082164841517806,-0.00012371204793450163,0.00012371204793450163,0.010307,0,8.0,0.026583305522799416,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.89924,0,0.083660215139389,0.083660215139389,0.0772497624158858,0.006410452723503199,0.006410452723503199,0.010307,0,7.0,0.024960327483713567,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.9992,0,0.0852081850171089,0.0852081850171089,0.0767193049192427,0.008488880097866205,0.008488880097866205,0.010307,0,6.0,0.022591355778276888,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
2.099993,0,0.0868200585246086,0.0868200585246086,0.0731528624892234,0.013667196035385201,0.013667196035385201,0.010307,1,6.0,0.02020112700760362,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
2.199953,0,0.0884526297450065,0.0884526297450065,0.0705472961068152,0.0179053336381913,0.0179053336381913,0.010307,1,6.0,0.0182500622048974,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
2.299913,0,0.0902011394500732,0.0902011394500732,0.073532623425126,0.016668516024947205,0.016668516024947205,0.010307,1,6.0,0.01564193889498711,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
2.399873,0,0.0917853042483329,0.0917853042483329,0.0904274646192788,0.0013578396290541,0.0013578396290541,0.010307,0,5.0,0.01171302273869516,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
2.499833,0,0.0935286357998848,0.0935286357998848,0.0997935760766267,-0.006264940276741904,0.006264940276741904,0.010307,0,4.0,0.00963540565222503,1,0,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
