x,AttackActive,CleanFuture_Pitch,AttackedFuture_Pitch,V9PredictedFuture_Pitch,Residual_Pitch,AbsResidual_Pitch,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
1.39944,0,0.0615334659814834,0.0615334659814834,0.1055585877531945,-0.044025121771711105,0.044025121771711105,0.009161,1,14.0,0.03306470306891153,1,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.4994,0,0.0629769340157508,0.0629769340157508,0.0966305987050452,-0.0336536646892944,0.0336536646892944,0.009161,1,15.0,0.03310396717693705,1,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.59936,0,0.0641855373978614,0.0641855373978614,0.0980211423560893,-0.033835604958227905,0.033835604958227905,0.009161,1,16.0,0.03314969453826773,1,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.69932,0,0.065811350941658,0.065811350941658,0.09640647879984,-0.030595127858181997,0.030595127858181997,0.009161,1,17.0,0.03299942591002739,1,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.79928,0,0.0672469213604927,0.0672469213604927,0.0923864512254751,-0.0251395298649824,0.0251395298649824,0.009161,1,18.0,0.032562765018636,1,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.89924,0,0.0687980204820633,0.0687980204820633,0.0946710088782665,-0.02587298839620321,0.02587298839620321,0.009161,1,19.0,0.032210671512192174,1,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.9992,0,0.0703821629285812,0.0703821629285812,0.0869687931258595,-0.01658663019727831,0.01658663019727831,0.009161,1,20.0,0.03142946944644648,1,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.099993,0,0.0720409974455833,0.0720409974455833,0.0923296451453073,-0.020288647699723994,0.020288647699723994,0.009161,1,20.0,0.030917674165667784,1,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.199953,0,0.073582723736763,0.073582723736763,0.0948698803645017,-0.021287156627738696,0.021287156627738696,0.009161,1,20.0,0.030770883922808877,1,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
2.299913,0,0.0752987489104271,0.0752987489104271,0.0856295278264709,-0.010330778916043809,0.010330778916043809,0.009161,1,20.0,0.029761467374023548,1,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
