timestamp,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz,TimeSec,AttackActive_IMU,GyrZ_attacked
1778627314.4,54605649,0,0.0007621713448315,0.0007464044028893,0.0008045530994422,-0.0016368229407817,-0.0009166816598735,-9.817384719848633,0,0,28.221546173095703,1,1,1000,1000,0.0,0,0.0008045530994422
1778627314.4,54605649,1,0.0008958132239058,0.0009595470037311,0.0008400095975957,-0.0009316150681115,0.0001748023787513,-9.818760871887209,0,0,28.221546173095703,1,1,760,800,0.0,0,0.0008400095975957
1778627314.439984,54645633,0,0.0007561526726931,0.000727906008251,0.0006991310510784,-0.0010391267715021,-0.0001624229334993,-9.817513465881348,0,0,28.223783493041992,1,1,1000,1000,0.039984,0,0.0006991310510784
1778627314.439984,54645633,1,0.0008820737130008,0.000674074573908,0.0008326278766617,-0.0027284412644803,0.0003767177986446,-9.817137718200684,0,0,28.223783493041992,1,1,760,800,0.039984,0,0.0008326278766617
1778627314.479968,54685617,0,0.0007664449512958,0.0008223361801356,0.0007152702892199,-0.0012908626813441,-0.0011661614989861,-9.818693161010742,0,0,28.22601890563965,1,1,1000,1000,0.079968,0,0.0007152702892199
1778627314.479968,54685617,1,0.0008552761864848,0.0009141573682427,0.0008636125712655,-0.0003466502821538,-0.0012247862759977,-9.81658172607422,0,0,28.22601890563965,1,1,760,800,0.079968,0,0.0008636125712655
1778627314.519952,54725601,0,0.0007407722878269,0.0007561487145721,0.0006874857353977,-0.0002592925739008,-0.001295965979807,-9.817179679870604,0,0,28.228256225585938,1,1,1000,1000,0.119952,0,0.0006874857353977
1778627314.519952,54725601,1,0.0007429469842463,0.0008596171392127,0.0007406161166727,0.0002597603597678,-0.0003483250620774,-9.81707000732422,0,0,28.228256225585938,1,1,760,800,0.119952,0,0.0007406161166727
1778627314.559936,54765585,0,0.0006930320523679,0.0008019024389795,0.0007390644168481,-0.0002283317298861,-0.0001271478977287,-9.81558609008789,0,0,28.230491638183597,1,1,1000,1000,0.159936,0,0.0007390644168481
1778627314.559936,54765585,1,0.0007861219346523,0.0006291283643804,0.0008280631154775,-0.0021873374935239,-0.0007236102828755,-9.81782341003418,0,0,28.230491638183597,1,1,760,800,0.159936,0,0.0008280631154775
1778627314.59992,54805569,0,0.0007153604528866,0.0006910663796588,0.0008845624397508,-0.0011454437626525,-0.0024789609014987,-9.817925453186035,0,0,28.23272705078125,1,1,1000,1000,0.19992,0,0.0008845624397508
1778627314.59992,54805569,1,0.0005420793895609,0.0005514329532161,0.0009412296931259,0.000361760467058,-0.0025070796255022,-9.817121505737305,0,0,28.23272705078125,1,1,760,800,0.19992,0,0.0009412296931259
1778627314.639904,54845553,0,0.0007534229662269,0.0007936532492749,0.0008263419149443,-0.0012447668705135,-0.0016474908916279,-9.81739616394043,0,0,28.234962463378903,1,1,1000,1000,0.239904,0,0.0008263419149443
1778627314.639904,54845553,1,0.0006995175499469,0.0009388071484863,0.000742194650229,-0.0016684879083186,-0.0015766377327963,-9.81494140625,0,0,28.234962463378903,1,1,760,800,0.239904,0,0.000742194650229
1778627314.679888,54885537,0,0.0007886161911301,0.0008177086128853,0.0006787759484723,-0.0010044258087873,-0.0006870939978398,-9.81670379638672,0,0,28.23719787597656,1,1,1000,1000,0.279888,0,0.0006787759484723
