timestamp,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz,TimeSec,AttackActive_IMU,GyrZ_attacked
1778782973.10004,52284078,0,0.0007465238450095,0.0007412591949105,0.0007434969884343,-0.0004757160204462,-0.0002645292552188,-9.817083358764648,0,0,28.091176986694336,1,1,1000,1000,0.0,0,0.0007434969884343
1778782973.10004,52284078,1,0.0007235832163132,0.0005674272542819,0.0008347940747626,-0.0019663993734866,-0.0013274803059175,-9.81544589996338,0,0,28.091176986694336,1,1,760,800,0.0,0,0.0008347940747626
1778782973.140024,52324062,0,0.0006963924970477,0.0007593203336,0.0007636831142008,-6.0803682572441176e-05,-0.0006978246383368,-9.817998886108398,0,0,28.093486785888672,1,1,1000,1000,0.039984,0,0.0007636831142008
1778782973.140024,52324062,1,0.0006729742744937,0.000678246084135,0.0007450208067893,0.0003427665214985,-0.0008938979590311,-9.815789222717283,0,0,28.09343147277832,1,1,760,800,0.039984,0,0.0007450208067893
1778782973.180008,52364046,0,0.0006951491814106,0.0006693127797916,0.0007518978090956,-0.0019835052080452,-0.0008511206833645,-9.81734848022461,0,0,28.095741271972656,1,1,1000,1000,0.079968,0,0.0007518978090956
1778782973.180008,52364046,1,0.000628215551842,0.0006060446612536,0.0007632508641108,-4.8985697503667325e-05,-0.0027864095754921,-9.817038536071776,0,0,28.095685958862305,1,1,760,800,0.079968,0,0.0007632508641108
1778782973.219992,52404030,0,0.000738816044759,0.0007528847199864,0.0008112493669614,-0.0001730646763462,-0.0006093196570873,-9.81736946105957,0,0,28.097993850708008,1,1,1000,1000,0.119952,0,0.0008112493669614
1778782973.219992,52404030,1,0.0006065889610908,0.0006552988779731,0.0005643059266731,-0.0007032755529507,-0.0018305890262126,-9.81659984588623,0,0,28.097938537597656,1,1,760,800,0.119952,0,0.0005643059266731
1778782973.2608092,52444847,0,0.0007354685221798,0.0007922094082459,0.0006220255745574,-0.0005183048779144,-0.0007202445412985,-9.818108558654783,0,0,28.100248336791992,1,1,1000,1000,0.160769,0,0.0006220255745574
1778782973.2608092,52444847,1,0.0007041596109047,0.0006599382613785,0.000755503133405,-0.0017170975916087,-0.0022612542379647,-9.814448356628418,0,0,28.100248336791992,1,1,760,800,0.160769,0,0.000755503133405
1778782973.3007932,52484831,0,0.0006747443694621,0.000746204634197,0.0008033996564336,-0.0005878584343008,-0.001212322502397,-9.81717014312744,0,0,28.102500915527344,1,1,1000,1000,0.200753,0,0.0008033996564336
1778782973.3007932,52484831,1,0.0006735608330927,0.0005242623738013,0.0008959576953202,-0.0022118466440588,-0.0013930684654042,-9.81795597076416,0,0,28.102500915527344,1,1,760,800,0.200753,0,0.0008959576953202
1778782973.3407772,52524815,0,0.0007750287186354,0.0007080374052748,0.0007411651313304,-0.001024720724672,-0.0003005180915351,-9.818476676940918,0,0,28.10475349426269,1,1,1000,1000,0.240737,0,0.0007411651313304
1778782973.3407772,52524815,1,0.001089128665626,0.0005214473931118,0.0007205129950307,-0.0018433518707752,-0.003961862064898,-9.81652545928955,0,0,28.10475349426269,1,1,760,800,0.240737,0,0.0007205129950307
1778782973.3807611,52564799,0,0.0006965189240872,0.0006978996680118,0.0007347916834987,0.0002052924683084,-0.0006676716147921,-9.81851863861084,0,0,28.107006072998047,1,1,1000,1000,0.280721,0,0.0007347916834987
1778782973.3807611,52564799,1,0.0005106352036818,0.0007187216542661,0.0009520965395495,0.0004811869875993,-0.0011417178902775,-9.815584182739258,0,0,28.107006072998047,1,1,760,800,0.280721,0,0.0009520965395495
1778782973.4207451,52604783,0,0.0007667054887861,0.0007557753124274,0.000810116995126,-0.000518204527907,-0.001021834439598,-9.816067695617676,0,0,28.10926055908203,1,1,1000,1000,0.320705,0,0.000810116995126
1778782973.4207451,52604783,1,0.0006251197773963,0.0009214971214532,0.0005866338615305,-0.0015002160798758,-0.0029401688370853,-9.816922187805176,0,0,28.10926055908203,1,1,760,800,0.320705,0,0.0005866338615305
1778782973.4607291,52644767,0,0.000744571967516,0.0006692082388326,0.0007255672826431,-0.0012510111555457,-0.0014020742382854,-9.817830085754396,0,0,28.11151123046875,1,1,1000,1000,0.360689,0,0.0007255672826431
1778782973.4607291,52644767,1,0.0009131667320616,0.0006453867536038,0.0010840164031833,-0.0018957026768475,-0.0002248745440738,-9.815414428710938,0,0,28.11151123046875,1,1,760,800,0.360689,0,0.0010840164031833
1778782973.500713,52684751,0,0.000754838110879,0.0008145965402945,0.0007945000543259,-0.0006697273347526,-0.0011819161009043,-9.817950248718262,0,0,28.1137638092041,1,1,1000,1000,0.400673,0,0.0007945000543259
1778782973.500713,52684751,1,0.0008152302470989,0.0005120090791024,0.0008129237103275,0.0004825844953302,-0.0011439602822065,-9.818155288696287,0,0,28.1137638092041,1,1,760,800,0.400673,0,0.0008129237103275
1778782973.540697,52724735,0,0.0007135872147046,0.0007855999283492,0.0006456365808844,-0.0009698016801849,-0.0008001958485692,-9.817928314208984,0,0,28.11601448059082,1,1,1000,1000,0.440657,0,0.0006456365808844
1778782973.540697,52724735,1,0.0006383256986737,0.0005506145535036,0.0004355663259048,-0.0002829702862072,-0.0005754365702159,-9.817679405212402,0,0,28.11601448059082,1,1,760,800,0.440657,0,0.0004355663259048
1778782973.580681,52764719,0,0.0007011370616964,0.0007563335238955,0.0007851714035496,-0.0006091430550441,-0.0003626645775511,-9.81878662109375,0,0,28.11826515197754,1,1,1000,1000,0.480641,0,0.0007851714035496
1778782973.580681,52764719,1,0.0006338681560009,0.0006826521130278,0.0007860977202653,-0.0008394685573875,0.0007781541207805,-9.817957878112791,0,0,28.11826515197754,1,1,760,800,0.480641,0,0.0007860977202653
1778782973.620665,52804703,0,0.0007457840838469,0.0007099686190485,0.0008249541861005,-0.0012501120800152,-0.0008960177656263,-9.816513061523438,0,0,28.120515823364254,1,1,1000,1000,0.520625,0,0.0008249541861005
1778782973.620665,52804703,1,0.0006081539904698,0.0008935360820032,0.0008834641776047,-0.0048585594631731,-0.0041012945584952,-9.818674087524414,0,0,28.120515823364254,1,1,760,800,0.520625,0,0.0008834641776047
1778782973.660649,52844687,0,0.0007026743260212,0.0007445980445481,0.0007410897524096,-0.0004660148988477,-0.0005950636113993,-9.817463874816896,0,0,28.122766494750977,1,1,1000,1000,0.560609,0,0.0007410897524096
