time_sec,baseline_file,target,true_future,hybrid_prediction,hybrid_residual,hybrid_abs_residual,naive_prediction,naive_residual,naive_abs_residual,constant_velocity_prediction,constant_velocity_residual,constant_velocity_abs_residual,arx_prediction,arx_residual,arx_abs_residual
112.899822,baseline_02_high_altitude_hover,Pitch,0.109984278678894,0.1077826605340704,0.0022016181448236,0.0022016181448236,,,,,,,0.1087964129283799,0.0011878657505141055,0.0011878657505141055
112.999782,baseline_02_high_altitude_hover,Pitch,0.1107050478458404,0.1123252086099609,-0.0016201607641204985,0.0016201607641204985,,,,,,,0.1124343337709083,-0.0017292859250679082,0.0017292859250679082
113.099742,baseline_02_high_altitude_hover,Pitch,0.1050157696008682,0.1109069441193898,-0.0058911745185216,0.0058911745185216,,,,,,,0.1108012852461073,-0.005785515645239103,0.005785515645239103
113.199702,baseline_02_high_altitude_hover,Pitch,0.1012976318597793,0.1030229595645689,-0.0017253277047896004,0.0017253277047896004,,,,,,,0.1035908456220268,-0.0022932137622475035,0.0022932137622475035
113.299662,baseline_02_high_altitude_hover,Pitch,0.0941481441259384,0.0994703875634421,-0.005322243437503704,0.005322243437503704,,,,,,,0.0994916039462469,-0.0053434598203084965,0.0053434598203084965
113.399622,baseline_02_high_altitude_hover,Pitch,0.0886778086423873,0.0895357016538192,-0.0008578930114318956,0.0008578930114318956,,,,,,,0.0888439025836867,-0.0001660939412993917,0.0001660939412993917
113.499582,baseline_02_high_altitude_hover,Pitch,0.0873070582747459,0.0865100858378136,0.0007969724369323028,0.0007969724369323028,,,,,,,0.0868883824626149,0.0004186758121309947,0.0004186758121309947
113.599542,baseline_02_high_altitude_hover,Pitch,0.0876226872205734,0.0890931222838604,-0.0014704350632870067,0.0014704350632870067,,,,,,,0.090740748412484,-0.003118061191910604,0.003118061191910604
113.699502,baseline_02_high_altitude_hover,Pitch,0.0903151109814643,0.0890792015254504,0.0012359094560139006,0.0012359094560139006,,,,,,,0.0899450014134258,0.0003701095680384986,0.0003701095680384986
113.799462,baseline_02_high_altitude_hover,Pitch,0.0896311700344085,0.0922884999090038,-0.002657329874595299,0.002657329874595299,,,,,,,0.0927066179403998,-0.003075447905991305,0.003075447905991305
113.899422,baseline_02_high_altitude_hover,Pitch,0.089235745370388,0.0898443183962295,-0.0006085730258414968,0.0006085730258414968,,,,,,,0.0902143976197955,-0.0009786522494074912,0.0009786522494074912
113.999382,baseline_02_high_altitude_hover,Pitch,0.0922579318284988,0.090215977331547,0.0020419544969517978,0.0020419544969517978,,,,,,,0.0910012735269931,0.0012566583015057031,0.0012566583015057031
114.099342,baseline_02_high_altitude_hover,Pitch,0.096184529364109,0.0954297076534006,0.0007548217107083977,0.0007548217107083977,,,,,,,0.0965368293839649,-0.0003523000198559084,0.0003523000198559084
114.199302,baseline_02_high_altitude_hover,Pitch,0.1042545512318611,0.0996955081327323,0.004559043099128801,0.004559043099128801,,,,,,,0.1007272947999445,0.003527256431916606,0.003527256431916606
114.299262,baseline_02_high_altitude_hover,Pitch,0.1046815440058708,0.1082281294054815,-0.0035465853996106966,0.0035465853996106966,,,,,,,0.1081871742319777,-0.003505630226106893,0.003505630226106893
114.399222,baseline_02_high_altitude_hover,Pitch,0.1051850393414497,0.1043410425812196,0.0008439967602301007,0.0008439967602301007,,,,,,,0.1039717107067823,0.0012133286346674016,0.0012133286346674016
114.499182,baseline_02_high_altitude_hover,Pitch,0.102688543498516,0.1049963821992276,-0.0023078387007116064,0.0023078387007116064,,,,,,,0.1047027789925532,-0.002014235494037203,0.002014235494037203
114.599975,baseline_02_high_altitude_hover,Pitch,0.100106805562973,0.1019055909544256,-0.0017987853914526036,0.0017987853914526036,,,,,,,0.1022157878726765,-0.002108982309703508,0.002108982309703508
114.699935,baseline_02_high_altitude_hover,Pitch,0.1002732515335083,0.0994708910847141,0.0008023604487941982,0.0008023604487941982,,,,,,,0.0999075274110558,0.0003657241224525043,0.0003657241224525043
114.799895,baseline_02_high_altitude_hover,Pitch,0.1029968634247779,0.1013558847075976,0.0016409787171803025,0.0016409787171803025,,,,,,,0.102022158166812,0.0009747052579659049,0.0009747052579659049
114.899855,baseline_02_high_altitude_hover,Pitch,0.1012270152568817,0.1038955772707748,-0.0026685620138930943,0.0026685620138930943,,,,,,,0.1035868492043496,-0.0023598339474679014,0.0023598339474679014
114.999815,baseline_02_high_altitude_hover,Pitch,0.101658672094345,0.100268299691046,0.0013903724032989923,0.0013903724032989923,,,,,,,0.1002191053697875,0.0014395667245575006,0.0014395667245575006
115.099775,baseline_02_high_altitude_hover,Pitch,0.1043625921010971,0.1027269846946604,0.001635607406436701,0.001635607406436701,,,,,,,0.1032953074823828,0.0010672846187143037,0.0010672846187143037
115.199735,baseline_02_high_altitude_hover,Pitch,0.1041731983423233,0.1062555721808646,-0.0020823738385412904,0.0020823738385412904,,,,,,,0.1066162522317922,-0.002443053889468902,0.002443053889468902
