time_sec,baseline_file,target,true_future,hybrid_prediction,hybrid_residual,hybrid_abs_residual,naive_prediction,naive_residual,naive_abs_residual,constant_velocity_prediction,constant_velocity_residual,constant_velocity_abs_residual,arx_prediction,arx_residual,arx_abs_residual
112.899822,baseline_02_high_altitude_hover,Yaw,352.6233825683594,352.62571868896487,-0.0023361206054914874,0.0023361206054914874,,,,,,,352.62737470041225,-0.003992132052871966,0.003992132052871966
112.999782,baseline_02_high_altitude_hover,Yaw,352.61871337890625,352.6229431152344,-0.004229736328170475,0.004229736328170475,,,,,,,352.62503835370944,-0.006324974803192163,0.006324974803192163
113.099742,baseline_02_high_altitude_hover,Yaw,352.6155700683594,352.6166122436524,-0.001042175293036962,0.001042175293036962,,,,,,,352.619585266972,-0.004015198612648874,0.004015198612648874
113.199702,baseline_02_high_altitude_hover,Yaw,352.6167297363281,352.6141555786133,0.0025741577148323813,0.0025741577148323813,,,,,,,352.6165212677049,0.00020846862321377557,0.00020846862321377557
113.299662,baseline_02_high_altitude_hover,Yaw,352.6208190917969,352.6172515869141,0.0035675048827670253,0.0035675048827670253,,,,,,,352.6192762733691,0.001542818427765269,0.001542818427765269
113.399622,baseline_02_high_altitude_hover,Yaw,352.6229858398437,352.62265930175784,0.0003265380858579192,0.0003265380858579192,,,,,,,352.6228150250204,0.0001708148233205975,0.0001708148233205975
113.499582,baseline_02_high_altitude_hover,Yaw,352.6217041015625,352.6239608764648,-0.0022567749023210126,0.0022567749023210126,,,,,,,352.62326442320307,-0.0015603216405679632,0.0015603216405679632
113.599542,baseline_02_high_altitude_hover,Yaw,352.6199645996094,352.621127319336,-0.0011627197266079747,0.0011627197266079747,,,,,,,352.62222828196656,-0.002263682357181551,0.002263682357181551
113.699502,baseline_02_high_altitude_hover,Yaw,352.6197509765625,352.6191818237305,0.0005691528319857753,0.0005691528319857753,,,,,,,352.61984135806443,-9.038150193418915e-05,9.038150193418915e-05
113.799462,baseline_02_high_altitude_hover,Yaw,352.6202697753906,352.61965484619145,0.0006149291991732753,0.0006149291991732753,,,,,,,352.62046372821897,-0.00019395282834011596,0.00019395282834011596
113.899422,baseline_02_high_altitude_hover,Yaw,352.6205749511719,352.6205032348633,7.171630858238132e-05,7.171630858238132e-05,,,,,,,352.62080653817907,-0.00023158700719250191,0.00023158700719250191
113.999382,baseline_02_high_altitude_hover,Yaw,352.6189880371094,352.62071228027344,-0.0017242431640625,0.0017242431640625,,,,,,,352.6212617726256,-0.0022737355162121275,0.0022737355162121275
114.099342,baseline_02_high_altitude_hover,Yaw,352.6158142089844,352.6182739257813,-0.0024597167969204747,0.0024597167969204747,,,,,,,352.6205448893022,-0.0047306803178344126,0.0047306803178344126
114.199302,baseline_02_high_altitude_hover,Yaw,352.6155700683594,352.61438598632816,0.001184082031215894,0.001184082031215894,,,,,,,352.6187513980689,-0.0031813297095482085,0.0031813297095482085
114.299262,baseline_02_high_altitude_hover,Yaw,352.6183776855469,352.61546020507814,0.0029174804687386313,0.0029174804687386313,,,,,,,352.6175283718828,0.000849313664048168,0.000849313664048168
114.399222,baseline_02_high_altitude_hover,Yaw,352.6204528808594,352.61964111328126,0.0008117675781136313,0.0008117675781136313,,,,,,,352.6191772881873,0.0012755926720728894,0.0012755926720728894
114.499182,baseline_02_high_altitude_hover,Yaw,352.6203308105469,352.62138671875005,-0.0010559082031704747,0.0010559082031704747,,,,,,,352.62142276087064,-0.0010919503237687422,0.0010919503237687422
114.599975,baseline_02_high_altitude_hover,Yaw,352.6174621582031,352.6202758789062,-0.0028137207031022626,0.0028137207031022626,,,,,,,352.6197299846812,-0.0022678264780893187,0.0022678264780893187
114.699935,baseline_02_high_altitude_hover,Yaw,352.615478515625,352.6161712646484,-0.0006927490234147626,0.0006927490234147626,,,,,,,352.618234051228,-0.0027555356030006806,0.0027555356030006806
114.799895,baseline_02_high_altitude_hover,Yaw,352.6152038574219,352.61458587646484,0.00061798095703125,0.00061798095703125,,,,,,,352.6173089810573,-0.0021051236354310277,0.0021051236354310277
114.899855,baseline_02_high_altitude_hover,Yaw,352.6166076660156,352.6150802612305,0.001527404785122144,0.001527404785122144,,,,,,,352.6159101601347,0.0006975058809075563,0.0006975058809075563
114.999815,baseline_02_high_altitude_hover,Yaw,352.61749267578125,352.61723937988285,0.00025329589840339395,0.00025329589840339395,,,,,,,352.61588457032224,0.0016081054590131316,0.0016081054590131316
115.099775,baseline_02_high_altitude_hover,Yaw,352.6159362792969,352.6178909301758,-0.0019546508789289874,0.0019546508789289874,,,,,,,352.61833337486945,-0.002397095572575836,0.002397095572575836
115.199735,baseline_02_high_altitude_hover,Yaw,352.614501953125,352.61523590087893,-0.0007339477539289874,0.0007339477539289874,,,,,,,352.6143526241564,0.0001493289685754462,0.0001493289685754462
115.299695,baseline_02_high_altitude_hover,Yaw,352.61602783203125,352.6138565063477,0.0021713256835482753,0.0021713256835482753,,,,,,,352.61415749909725,0.0018703329340041819,0.0018703329340041819
115.399655,baseline_02_high_altitude_hover,Yaw,352.619384765625,352.61671447753906,0.0026702880859375,0.0026702880859375,,,,,,,352.6161242676409,0.003260497984115318,0.003260497984115318
115.499615,baseline_02_high_altitude_hover,Yaw,352.6206970214844,352.6208953857422,-0.0001983642578125,0.0001983642578125,,,,,,,352.6202278117255,0.000469209758875877,0.000469209758875877
115.599575,baseline_02_high_altitude_hover,Yaw,352.6180114746094,352.62128753662114,-0.0032760620117642247,0.0032760620117642247,,,,,,,352.6189243288144,-0.0009128542050120814,0.0009128542050120814
115.699535,baseline_02_high_altitude_hover,Yaw,352.61590576171875,352.61680297851564,-0.0008972167968863687,0.0008972167968863687,,,,,,,352.6173606173831,-0.0014548556643489974,0.0014548556643489974
115.799495,baseline_02_high_altitude_hover,Yaw,352.61639404296875,352.61495819091795,0.0014358520508039874,0.0014358520508039874,,,,,,,352.6162513401998,0.0001427027689260285,0.0001427027689260285
115.899455,baseline_02_high_altitude_hover,Yaw,352.6173400878906,352.6166137695312,0.0007263183593977374,0.0007263183593977374,,,,,,,352.61684453645944,0.0004955514311859588,0.0004955514311859588
115.999415,baseline_02_high_altitude_hover,Yaw,352.6179504394531,352.6177658081055,0.00018463134762214395,0.00018463134762214395,,,,,,,352.61665900131135,0.0012914381417772347,0.0012914381417772347
116.099375,baseline_02_high_altitude_hover,Yaw,352.6197509765625,352.61822509765625,0.00152587890625,0.00152587890625,,,,,,,352.6188281977353,0.0009227788272028192,0.0009227788272028192
116.199335,baseline_02_high_altitude_hover,Yaw,352.619384765625,352.62056121826174,-0.0011764526367414874,0.0011764526367414874,,,,,,,352.6215248923207,-0.0021401266956786458,0.0021401266956786458
116.299295,baseline_02_high_altitude_hover,Yaw,352.6163024902344,352.6192199707032,-0.002917480468852318,0.002917480468852318,,,,,,,352.621126954968,-0.004824464733644618,0.004824464733644618
116.399255,baseline_02_high_altitude_hover,Yaw,352.6145324707031,352.6149154663086,-0.00038299560549148737,0.00038299560549148737,,,,,,,352.6138583670252,0.0006741036779089882,0.0006741036779089882
116.499215,baseline_02_high_altitude_hover,Yaw,352.6168518066406,352.6137359619141,0.0031158447265511313,0.0031158447265511313,,,,,,,352.61521173777976,0.00164006886086554,0.00164006886086554
116.599175,baseline_02_high_altitude_hover,Yaw,352.6191711425781,352.6178955078125,0.0012756347656477374,0.0012756347656477374,,,,,,,352.6180636985405,0.0011074440376432904,0.0011074440376432904
