time_sec,baseline_file,target,true_future,hybrid_prediction,hybrid_residual,hybrid_abs_residual,naive_prediction,naive_residual,naive_abs_residual,constant_velocity_prediction,constant_velocity_residual,constant_velocity_abs_residual,arx_prediction,arx_residual,arx_abs_residual
100.299864,baseline_01_hover,Yaw,352.6801452636719,352.67983551025395,0.00030975341792327526,0.00030975341792327526,,,,,,,352.6798416401569,0.00030362351498069984,0.00030362351498069984
100.399824,baseline_01_hover,Yaw,352.6800842285156,352.6801177978516,-3.3569335982974735e-05,3.3569335982974735e-05,,,,,,,352.6797187250912,0.00036550342440477834,0.00036550342440477834
100.499784,baseline_01_hover,Yaw,352.6813049316406,352.68005676269536,0.0012481689452670253,0.0012481689452670253,,,,,,,352.67911675358005,0.0021881780605781387,0.0021881780605781387
100.599744,baseline_01_hover,Yaw,352.6837463378906,352.6818542480469,0.00189208984375,0.00189208984375,,,,,,,352.68126014357085,0.0024861943197720393,0.0024861943197720393
100.699704,baseline_01_hover,Yaw,352.6833801269531,352.6848449707031,-0.00146484375,0.00146484375,,,,,,,352.68265643067554,0.0007236962775891698,0.0007236962775891698
100.799664,baseline_01_hover,Yaw,352.6809997558594,352.6832153320313,-0.0022155761719204747,0.0022155761719204747,,,,,,,352.68232484725064,-0.001325091391265687,0.001325091391265687
100.899624,baseline_01_hover,Yaw,352.67889404296875,352.67992858886726,-0.001034545898505712,0.001034545898505712,,,,,,,352.67995612726656,-0.001062084297814181,0.001062084297814181
100.999584,baseline_01_hover,Yaw,352.6781005859375,352.677946472168,0.00015411376949714395,0.00015411376949714395,,,,,,,352.6778083765624,0.000292209375118091,0.000292209375118091
101.099544,baseline_01_hover,Yaw,352.6778869628906,352.67774353027346,0.00014343261716476263,0.00014343261716476263,,,,,,,352.6785540331653,-0.0006670702746873758,0.0006670702746873758
101.199504,baseline_01_hover,Yaw,352.67828369140625,352.6777908325196,0.0004928588866732753,0.0004928588866732753,,,,,,,352.6782888903053,-5.198899032166082e-06,5.198899032166082e-06
101.299464,baseline_01_hover,Yaw,352.6788024902344,352.6784622192383,0.00034027099604827526,0.00034027099604827526,,,,,,,352.6771609767037,0.0016415135306715456,0.0016415135306715456
101.399424,baseline_01_hover,Yaw,352.6795349121094,352.67903594970704,0.0004989624023323813,0.0004989624023323813,,,,,,,352.6772387241587,0.0022961879506624427,0.0022961879506624427
101.499384,baseline_01_hover,Yaw,352.67999267578125,352.67986450195315,0.00012817382810226263,0.00012817382810226263,,,,,,,352.6782232858307,0.00176938995053888,0.00176938995053888
101.599344,baseline_01_hover,Yaw,352.6800231933594,352.6801986694336,-0.00017547607421875,0.00017547607421875,,,,,,,352.6785540426628,0.0014691506965505141,0.0014691506965505141
101.699304,baseline_01_hover,Yaw,352.6806030273437,352.6800369262695,0.000566101074184644,0.000566101074184644,,,,,,,352.6792205435895,0.0013824837541847046,0.0013824837541847046
101.799264,baseline_01_hover,Yaw,352.68096923828125,352.6808639526366,0.00010528564462219947,0.00010528564462219947,,,,,,,352.67945635438844,0.001512883892814898,0.001512883892814898
