x,Baseline,Axis,AttackType,AttackMagnitude,AttackActive,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,Residual_Roll,AbsResidual_Roll,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,WindowRule,W,N,RollingMeanMultiplier,AlignmentOffset,PredictionColumn,CleanFile,PredictionFile,Roll_recovered_future_v9_phase5,Roll_recovery_source_phase5,Roll_attacked_error_vs_clean_phase5,Roll_recovered_error_vs_clean_phase5
1.000433,baseline_05_mixed_maneuver,Roll,pulse,0.082456,0,0.1058796271681785,0.1058796271681785,0.1104806270450353,-0.0046009998768568,0.0046009998768568,0.010307,0,0.0,0.0029362980648875,0,0,0,W10_N3_mean1.5x,10,3,1.5,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.1058796271681785,attacked_measurement,0.0,0.0
1.100393,baseline_05_mixed_maneuver,Roll,pulse,0.082456,0,0.1092900335788726,0.1092900335788726,0.1115067977458237,-0.0022167641669511,0.0022167641669511,0.010307,0,0.0,0.002695328593254,0,0,0,W10_N3_mean1.5x,10,3,1.5,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.1092900335788726,attacked_measurement,0.0,0.0
1.200353,baseline_05_mixed_maneuver,Roll,pulse,0.082456,0,0.1146807372570037,0.1146807372570037,0.1181846946477889,-0.0035039573907851,0.0035039573907851,0.010307,0,0.0,0.0027814068645238,0,0,0,W10_N3_mean1.5x,10,3,1.5,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.1146807372570037,attacked_measurement,0.0,0.0
1.300313,baseline_05_mixed_maneuver,Roll,pulse,0.082456,0,0.1163345500826835,0.1163345500826835,0.1174095284193753,-0.0010749783366918,0.0010749783366918,0.010307,0,0.0,0.0028586149215697,0,0,0,W10_N3_mean1.5x,10,3,1.5,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.1163345500826835,attacked_measurement,0.0,0.0
1.400273,baseline_05_mixed_maneuver,Roll,pulse,0.082456,0,0.1094492450356483,0.1094492450356483,0.1049737967550754,0.0044754482805729,0.0044754482805729,0.010307,0,0.0,0.0032520115375518,0,0,0,W10_N3_mean1.5x,10,3,1.5,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.1094492450356483,attacked_measurement,0.0,0.0
1.500233,baseline_05_mixed_maneuver,Roll,pulse,0.082456,0,0.1026597172021865,0.1026597172021865,0.0982465241104363,0.0044131930917502,0.0044131930917502,0.010307,0,0.0,0.0035554710775613,0,0,0,W10_N3_mean1.5x,10,3,1.5,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.1026597172021865,attacked_measurement,0.0,0.0
1.600193,baseline_05_mixed_maneuver,Roll,pulse,0.082456,0,0.0932501107454299,0.0932501107454299,0.0871338665485381,0.0061162441968918,0.0061162441968918,0.010307,0,0.0,0.0038322802633046,0,0,0,W10_N3_mean1.5x,10,3,1.5,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0932501107454299,attacked_measurement,0.0,0.0
1.700153,baseline_05_mixed_maneuver,Roll,pulse,0.082456,0,0.0865317657589912,0.0865317657589912,0.082164841517806,0.0043669242411852,0.0043669242411852,0.010307,0,0.0,0.003886487558484,0,0,0,W10_N3_mean1.5x,10,3,1.5,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0865317657589912,attacked_measurement,0.0,0.0
1.800113,baseline_05_mixed_maneuver,Roll,pulse,0.082456,0,0.0809063091874122,0.0809063091874122,0.0772497624158858,0.0036565467715264,0.0036565467715264,0.010307,0,0.0,0.0039656468108296,0,0,0,W10_N3_mean1.5x,10,3,1.5,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0809063091874122,attacked_measurement,0.0,0.0
1.900073,baseline_05_mixed_maneuver,Roll,pulse,0.082456,0,0.0783687308430671,0.0783687308430671,0.0767193049192427,0.0016494259238244,0.0016494259238244,0.010307,0,0.0,0.0036074482277035,0,0,0,W10_N3_mean1.5x,10,3,1.5,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0783687308430671,attacked_measurement,0.0,0.0
