baseline,axis,attack_type,threshold_method,dynamic_method_detail,dynamic_note,W,N,TP,FP,TN,FN,precision,recall,f1,false_positive_rate,detection_delay_samples,n_eval_samples,input_segment_csv
baseline_01_hover,Yaw,bias,yaw_static_global,yaw_static_global,Yaw uses conservative static global threshold,10,3,73,7,168,2,0.9125,0.9733333333333334,0.9419354838709678,0.04,2,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Yaw_bias_aligned_attacked_segment.csv
baseline_01_hover,Yaw,pulse,static_global,,,10,3,11,7,231,1,0.6111111111111112,0.9166666666666666,0.7333333333333334,0.029411764705882353,1,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Yaw_pulse_aligned_attacked_segment.csv
baseline_01_hover,Yaw,pulse,scenario_specific,,,10,3,11,7,231,1,0.6111111111111112,0.9166666666666666,0.7333333333333334,0.029411764705882353,1,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Yaw_pulse_aligned_attacked_segment.csv
baseline_01_hover,Yaw,pulse,yaw_static_global,yaw_static_global,Yaw uses conservative static global threshold,10,3,11,7,231,1,0.6111111111111112,0.9166666666666666,0.7333333333333334,0.029411764705882353,1,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Yaw_pulse_aligned_attacked_segment.csv
baseline_01_hover,Yaw,ramp,static_global,,,10,3,60,7,168,15,0.8955223880597015,0.8,0.8450704225352113,0.04,15,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Yaw_ramp_aligned_attacked_segment.csv
baseline_01_hover,Yaw,ramp,scenario_specific,,,10,3,60,7,168,15,0.8955223880597015,0.8,0.8450704225352113,0.04,15,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Yaw_ramp_aligned_attacked_segment.csv
baseline_01_hover,Yaw,ramp,yaw_static_global,yaw_static_global,Yaw uses conservative static global threshold,10,3,60,7,168,15,0.8955223880597015,0.8,0.8450704225352113,0.04,15,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Yaw_ramp_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Pitch,bias,static_global,,,10,3,83,7,190,2,0.9222222222222223,0.9764705882352941,0.9485714285714287,0.03553299492385787,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Pitch_bias_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Pitch,bias,scenario_specific,,,10,3,83,7,190,2,0.9222222222222223,0.9764705882352941,0.9485714285714287,0.03553299492385787,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Pitch_bias_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Pitch,bias,dynamic_xkf1,dynamic_xkf1,XKF1 dynamic threshold from /home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_XKF1.csv,10,3,83,7,190,2,0.9222222222222223,0.9764705882352941,0.9485714285714287,0.03553299492385787,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Pitch_bias_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Pitch,pulse,static_global,,,10,3,12,7,261,2,0.631578947368421,0.8571428571428571,0.7272727272727273,0.026119402985074626,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Pitch_pulse_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Pitch,pulse,scenario_specific,,,10,3,12,7,261,2,0.631578947368421,0.8571428571428571,0.7272727272727273,0.026119402985074626,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Pitch_pulse_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Pitch,pulse,dynamic_xkf1,dynamic_xkf1,XKF1 dynamic threshold from /home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_XKF1.csv,10,3,12,7,261,2,0.631578947368421,0.8571428571428571,0.7272727272727273,0.026119402985074626,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Pitch_pulse_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Pitch,ramp,static_global,,,10,3,54,7,190,31,0.8852459016393442,0.6352941176470588,0.7397260273972602,0.03553299492385787,31,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Pitch_ramp_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Pitch,ramp,scenario_specific,,,10,3,68,7,190,17,0.9066666666666666,0.8,0.8500000000000001,0.03553299492385787,17,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Pitch_ramp_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Pitch,ramp,dynamic_xkf1,dynamic_xkf1,XKF1 dynamic threshold from /home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_XKF1.csv,10,3,68,7,190,17,0.9066666666666666,0.8,0.8500000000000001,0.03553299492385787,17,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Pitch_ramp_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Roll,bias,static_global,,,10,3,83,7,190,2,0.9222222222222223,0.9764705882352941,0.9485714285714287,0.03553299492385787,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Roll_bias_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Roll,bias,scenario_specific,,,10,3,83,7,190,2,0.9222222222222223,0.9764705882352941,0.9485714285714287,0.03553299492385787,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Roll_bias_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Roll,bias,dynamic_xkf1,dynamic_xkf1,XKF1 dynamic threshold from /home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_XKF1.csv,10,3,83,7,190,2,0.9222222222222223,0.9764705882352941,0.9485714285714287,0.03553299492385787,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Roll_bias_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Roll,pulse,static_global,,,10,3,12,7,261,2,0.631578947368421,0.8571428571428571,0.7272727272727273,0.026119402985074626,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Roll_pulse_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Roll,pulse,scenario_specific,,,10,3,12,7,261,2,0.631578947368421,0.8571428571428571,0.7272727272727273,0.026119402985074626,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Roll_pulse_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Roll,pulse,dynamic_xkf1,dynamic_xkf1,XKF1 dynamic threshold from /home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_XKF1.csv,10,3,12,7,261,2,0.631578947368421,0.8571428571428571,0.7272727272727273,0.026119402985074626,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Roll_pulse_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Roll,ramp,static_global,,,10,3,59,7,190,26,0.8939393939393939,0.6941176470588235,0.7814569536423842,0.03553299492385787,26,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Roll_ramp_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Roll,ramp,scenario_specific,,,10,3,66,7,190,19,0.9041095890410958,0.7764705882352941,0.8354430379746836,0.03553299492385787,19,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Roll_ramp_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Roll,ramp,dynamic_xkf1,dynamic_xkf1,XKF1 dynamic threshold from /home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_XKF1.csv,10,3,66,7,190,19,0.9041095890410958,0.7764705882352941,0.8354430379746836,0.03553299492385787,19,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Roll_ramp_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Yaw,bias,static_global,,,10,3,83,7,190,2,0.9222222222222223,0.9764705882352941,0.9485714285714287,0.03553299492385787,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Yaw_bias_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Yaw,bias,scenario_specific,,,10,3,83,7,190,2,0.9222222222222223,0.9764705882352941,0.9485714285714287,0.03553299492385787,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Yaw_bias_aligned_attacked_segment.csv
baseline_02_high_altitude_hover,Yaw,bias,yaw_static_global,yaw_static_global,Yaw uses conservative static global threshold,10,3,83,7,190,2,0.9222222222222223,0.9764705882352941,0.9485714285714287,0.03553299492385787,2,282,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_02_high_altitude_hover_Yaw_bias_aligned_attacked_segment.csv
